Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Scott Shanle,NOR,1,12,0,12,1,0.0,9,7,2,0,0,0,0,0,0
Roman Harper,NOR,0,0,0,0,1,1.0,13,10,3,2,2,0,0,0,0
Malcolm Jenkins,NOR,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0
Jonathan Casillas,NOR,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Jo-Lonn Dunbar,NOR,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,1
Tracy Porter,NOR,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,1
Sedrick Ellis,NOR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Jabari Greer,NOR,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Cameron Jordan,NOR,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Jeff Charleston,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Leigh Torrence,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Will Herring,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ramon Humber,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Shaun Rogers,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Will Smith,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Tom Johnson,NOR,,,,,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Curtis Lofton,ATL,0,0,0,0,0,0.0,9,6,3,1,0,0,0,0,0
Thomas DeCoud,ATL,0,0,0,0,0,0.0,8,7,1,1,0,0,0,0,0
Sean Weatherspoon,ATL,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
John Abraham,ATL,0,0,0,0,0,0.0,5,2,3,1,1,0,0,0,0
Stephen Nicholas,ATL,0,0,0,0,0,0.0,5,1,4,1,0,0,0,0,0
James Sanders,ATL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Brent Grimes,ATL,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0
Kelvin Hayden,ATL,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Jonathan Babineaux,ATL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Ray Edwards,ATL,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Matthew Bosher,ATL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Akeem Dent,ATL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Kroy Biermann,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Dunta Robinson,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Antone Smith,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Vance Walker,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Peria Jerry,ATL,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Lawrence Sidbury,ATL,,,,,,0.0,,,,0,1,0,0,0,
