Quarter,Time,Down,ToGo,Location,NOR,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Thomas Morstead kicks off 67 yards, returned by Deji Karim for 22 yards (tackle by Isa Abdul-Quddus)",0.000,0.280
1,14:56,1,10,JAX 20,0,0,"Blaine Gabbert pass incomplete short right intended for Jason Hill. Penalty on Jabari Greer: Defensive Pass Interference, 8 yards (no play)",0.280,0.810
1,14:52,1,10,JAX 28,0,0,Blaine Gabbert pass complete deep middle to Marcedes Lewis for 18 yards (tackle by Malcolm Jenkins),0.810,1.990
1,14:17,1,10,JAX 46,0,0,Blaine Gabbert for 12 yards,1.990,2.790
1,13:48,1,10,NOR 42,0,0,Blaine Gabbert pass incomplete deep right intended for Jason Hill,2.790,2.240
1,13:42,2,10,NOR 42,0,0,Blaine Gabbert pass incomplete short left intended for Maurice Jones-Drew,2.240,1.550
1,13:37,3,10,NOR 42,0,0,Blaine Gabbert pass complete short right to Mike Thomas for 4 yards (tackle by Jabari Greer),1.550,0.720
1,12:53,4,6,NOR 38,0,0,Blaine Gabbert pass incomplete short right intended for Jason Hill,0.720,-1.470
1,12:48,1,10,NOR 38,0,0,Drew Brees pass complete short left to Lance Moore for 5 yards (tackle by Dwight Lowery),1.470,1.600
1,12:16,2,5,NOR 43,0,0,Drew Brees pass complete short right to Jimmy Graham for 5 yards (tackle by Rashean Mathis),1.600,2.130
1,11:43,1,10,NOR 48,0,0,Pierre Thomas up the middle for 3 yards (tackle by D'Anthony Smith),2.130,1.990
1,11:13,2,7,JAX 49,0,0,Drew Brees pass complete short right to Jimmy Graham for 9 yards (tackle by D'Anthony Smith and Dawan Landry),1.990,2.920
1,10:40,1,10,JAX 40,0,0,Darren Sproles up the middle for 19 yards (tackle by Dawan Landry),2.920,4.170
