Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,DEN 20,0,0,Willis McGahee up the middle for 4 yards (tackle by Takeo Spikes),0.280,0.270
1,14:28,2,6,DEN 24,0,0,Willis McGahee left guard for 3 yards (tackle by Donald Butler),0.270,-0.030
1,13:49,3,3,DEN 27,0,0,Kyle Orton pass incomplete short left intended for Eric Decker (defended by Dante Hughes),-0.030,-1.570
1,13:44,4,3,DEN 27,0,0,"Britton Colquitt punts 54 yards, returned by Patrick Crayton for 29 yards (tackle by Lance Ball)",-1.570,-2.130
1,13:31,1,10,SDG 48,0,0,Ryan Mathews right tackle for 6 yards (tackle by Kevin Vickerson),2.130,2.390
1,12:54,2,4,DEN 46,0,0,Ryan Mathews left end for 10 yards (tackle by Champ Bailey),2.390,3.180
1,12:14,1,10,DEN 36,0,0,Ryan Mathews right tackle for 5 yards (tackle by D.J. Williams),3.180,3.310
1,11:32,2,5,DEN 31,0,0,Philip Rivers pass incomplete deep middle intended for Vincent Jackson,3.310,2.610
1,11:26,3,5,DEN 31,0,0,Philip Rivers pass complete short middle to Mike Tolbert for 17 yards (tackle by Cassius Vaughn),2.610,4.650
1,10:43,1,10,DEN 14,0,0,Mike Tolbert up the middle for 5 yards (tackle by D.J. Williams),4.650,4.900
1,10:08,2,5,DEN 9,0,0,Ryan Mathews right end for 1 yard (tackle by Elvis Dumervil),4.900,4.280
1,9:23,3,4,DEN 8,0,0,Philip Rivers pass complete short right to Mike Tolbert for 2 yards (tackle by Wesley Woodyard),4.280,3.010
1,8:41,4,2,DEN 6,3,0,Nick Novak 24 yard field goal good,3.010,3.000
1,,,,SDG 35,3,0,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
1,8:37,1,10,DEN 20,3,0,Willis McGahee right tackle for 2 yards (tackle by Vaughn Martin),0.280,0.000
1,7:59,2,8,DEN 22,3,0,Kyle Orton pass complete short right to Knowshon Moreno for 6 yards (tackle by Shaun Phillips),0.000,0.100
1,7:29,3,2,DEN 28,3,0,Willis McGahee right tackle for 25 yards (tackle by Eric Weddle),0.100,2.460
1,6:54,1,10,SDG 47,3,0,Kyle Orton pass incomplete short right intended for Daniel Fells is intercepted by Donald Butler at SDG-44 and returned for 2 yards (tackle by Daniel Fells),2.460,-1.990
1,6:44,1,10,SDG 46,3,0,Ryan Mathews up the middle for 2 yards (tackle by Marcus Thomas),1.990,1.720
1,6:10,2,8,SDG 48,3,6,"Philip Rivers pass incomplete short right intended for Patrick Crayton is intercepted by Cassius Vaughn at DEN-45 and returned for 55 yards, touchdown",1.720,-7.000
1,,,,SDG 2,3,7,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 35,3,7,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
1,5:58,1,10,SDG 20,3,7,Ryan Mathews up the middle for no gain (tackle by Joe Mays),0.280,-0.270
1,5:17,2,10,SDG 20,3,7,Philip Rivers pass complete short left to Vincent Jackson for 11 yards (tackle by Andre' Goodman),-0.270,1.000
1,4:42,1,10,SDG 31,3,7,Ryan Mathews left tackle for 36 yards (tackle by Jason Hunter),1.000,3.380
1,4:07,1,10,DEN 33,3,7,Mike Tolbert right end for 4 yards (tackle by D.J. Williams),3.380,3.380
1,3:26,2,6,DEN 29,3,7,Philip Rivers pass complete short middle to Ryan Mathews for 7 yards (tackle by Wesley Woodyard),3.380,4.110
1,2:48,1,10,DEN 22,3,7,Mike Tolbert left tackle for 13 yards (tackle by Champ Bailey and Rahim Moore),4.110,5.140
1,2:11,1,9,DEN 9,3,7,Mike Tolbert up the middle for 2 yards (tackle by D.J. Williams and Mario Haggan),5.140,4.760
1,1:28,,,,3,7,Timeout #1 by Denver Broncos,0.000,4.760
1,1:28,2,7,DEN 7,3,7,Philip Rivers sacked by Ryan McBean for -7 yards,4.760,3.000
1,0:53,3,14,DEN 14,3,7,Philip Rivers pass incomplete short middle intended for Randy McMichael (defended by Brian Dawkins),3.000,2.510
1,0:49,4,14,DEN 14,6,7,Nick Novak 32 yard field goal good,2.510,3.000
1,,,,SDG 35,6,7,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
1,0:45,1,10,DEN 20,6,7,Willis McGahee right tackle for 17 yards (tackle by Quentin Jammer),0.280,1.400
1,0:05,1,10,DEN 37,6,7,Kyle Orton pass complete short left to Dante Rosario for 10 yards (tackle by Antoine Cason),1.400,2.060
Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 47,6,7,Tim Tebow left tackle for 2 yards (tackle by Donald Butler),2.060,1.790
2,14:22,2,8,DEN 49,6,7,Kyle Orton pass incomplete short left intended for Willis McGahee,1.790,1.090
2,14:16,3,8,DEN 49,6,7,Kyle Orton pass complete short left to Daniel Fells for 8 yards (tackle by Antoine Cason). Penalty on Shaun Phillips: Defensive Offside (Declined),1.090,2.720
2,13:55,1,10,SDG 43,6,7,Willis McGahee right tackle for 4 yards (tackle by Quentin Jammer),2.720,2.720
2,13:23,2,6,SDG 39,6,7,Willis McGahee right guard for 16 yards (tackle by Donald Butler),2.720,4.040
2,12:42,1,10,SDG 23,6,7,Willis McGahee left guard for no gain (tackle by Ogemdi Nwagbuo and Cam Thomas),4.040,3.500
2,12:00,2,10,SDG 23,6,7,Kyle Orton pass incomplete short left intended for Brandon Lloyd (defended by Antoine Cason),3.500,2.810
2,11:55,3,10,SDG 23,6,7,Kyle Orton pass complete short left to Knowshon Moreno for 6 yards (tackle by Eric Weddle),2.810,2.390
2,11:14,4,4,SDG 17,6,10,Matt Prater 35 yard field goal good,2.390,3.000
2,,,,DEN 35,6,10,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
2,11:10,1,10,SDG 20,6,10,Philip Rivers pass complete short right to Mike Tolbert for 6 yards (tackle by Joe Mays),0.280,0.540
2,10:25,2,4,SDG 26,6,10,"Philip Rivers pass complete short right to Kory Sperry for 32 yards (tackle by Von Miller). Penalty on Robert Ayers: Roughing the Passer, 15 yards",0.540,3.780
2,9:59,1,10,DEN 27,6,10,Jacob Hester left tackle for 7 yards (tackle by Joe Mays),3.780,4.180
2,9:21,2,3,DEN 20,6,10,"Jacob Hester left tackle for 16 yards (tackle by Quinton Carter). Penalty on Elvis Dumervil: Unnecessary Roughness (Offsetting), Penalty on Marcus McNeill: Unnecessary Roughness (Offsetting)",4.180,6.280
2,8:55,1,4,DEN 4,6,10,Jacob Hester up the middle for 2 yards (tackle by Robert Ayers and Marcus Thomas),6.280,5.720
2,8:10,2,2,DEN 2,6,10,Mike Tolbert up the middle for no gain (tackle by D.J. Williams),5.720,4.950
2,7:24,3,2,DEN 2,12,10,"Philip Rivers up the middle for 2 yards, touchdown",4.950,7.000
2,,,,DEN 2,13,10,Nick Novak kicks extra point good,0.000,0.000
2,,,,SDG 35,13,10,"Nick Novak kicks off 70 yards, returned by Quan Cosby for 28 yards (tackle by Andrew Gachkar)",0.000,0.480
2,7:13,1,10,DEN 23,13,10,"Kyle Orton pass incomplete. Penalty on Ryan Clady: Offensive Holding, 10 yards (no play)",0.480,-0.590
2,7:04,1,20,DEN 13,13,10,Willis McGahee left tackle for 3 yards (tackle by Larry English),-0.590,-1.150
2,6:26,2,17,DEN 16,13,10,Kyle Orton pass incomplete deep left intended for Eric Decker,-1.150,-1.960
2,6:19,3,17,DEN 16,13,10,Kyle Orton pass complete short right to Daniel Fells for 8 yards (tackle by Shaun Phillips),-1.960,-1.770
2,5:40,4,9,DEN 24,13,10,"Britton Colquitt punts 55 yards, returned by Patrick Crayton for 13 yards (tackle by Virgil Green)",-1.770,-1.200
2,5:29,1,10,SDG 34,13,10,Philip Rivers pass complete deep left to Malcom Floyd for 20 yards (tackle by Andre' Goodman),1.200,2.520
2,4:54,1,10,DEN 46,13,10,Ryan Mathews up the middle for 17 yards (tackle by Elvis Dumervil),2.520,3.640
2,4:15,1,10,DEN 29,13,10,Ryan Mathews up the middle for -5 yards (tackle by Joe Mays),3.640,2.420
2,3:34,,,,13,10,Timeout #1 by San Diego Chargers,0.000,2.420
2,3:34,2,15,DEN 34,13,10,Philip Rivers pass complete short right to Jacob Hester for 9 yards (tackle by Andre' Goodman),2.420,2.940
2,2:50,3,6,DEN 25,13,10,"Philip Rivers pass incomplete short left intended for Randy McMichael. Penalty on Quinton Carter: Unnecessary Roughness, 13 yards (no play)",2.940,4.780
2,2:44,1,10,DEN 12,13,10,Jacob Hester right tackle for 2 yards (tackle by Ryan McBean and Wesley Woodyard),4.780,4.450
2,2:04,2,8,DEN 10,13,10,Philip Rivers pass incomplete short left intended for Malcom Floyd,4.450,3.480
2,1:58,3,8,DEN 10,13,10,Philip Rivers pass incomplete short right intended for Randy McMichael,3.480,2.760
2,1:51,4,8,DEN 10,16,10,Nick Novak 28 yard field goal good,2.760,3.000
2,,,,SDG 35,16,10,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
2,1:47,1,10,DEN 20,16,10,Kyle Orton pass complete short left to Eric Decker for -4 yards (tackle by Dante Hughes),0.280,-0.940
2,1:27,2,14,DEN 16,16,10,Kyle Orton pass incomplete short right intended for Brandon Lloyd (defended by Eric Weddle),-0.940,-1.690
2,1:20,3,14,DEN 16,16,10,Kyle Orton pass incomplete deep right intended for Matt Willis (defended by Quentin Jammer),-1.690,-2.390
2,1:15,4,14,DEN 16,16,10,"Britton Colquitt punts 50 yards, returned by Patrick Crayton for 12 yards (tackle by Lance Ball)",-2.390,-1.990
2,1:02,1,10,SDG 46,16,10,Philip Rivers pass complete short middle to Randy McMichael for 6 yards (tackle by Wesley Woodyard),1.990,2.260
2,0:41,2,4,DEN 48,16,10,Ryan Mathews left guard for 3 yards (tackle by D.J. Williams),2.260,1.950
2,0:34,,,,16,10,Timeout #2 by San Diego Chargers,0.000,1.950
2,0:34,3,1,DEN 45,16,10,Ryan Mathews right guard for 3 yards (tackle by Wesley Woodyard),1.950,2.790
2,0:20,1,10,DEN 42,16,10,Philip Rivers spiked the ball,2.790,2.240
2,0:20,2,10,DEN 42,22,10,"Philip Rivers pass complete deep right to Malcom Floyd for 42 yards, touchdown",2.240,7.000
2,,,,DEN 2,23,10,Nick Novak kicks extra point good,0.000,0.000
