Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Brees,NOR,29,45,383,1,3,0,0,43,70.9,3,21,0,11,0,0,0,0,,0,
Mark Ingram,NOR,0,0,0,0,0,0,0,,,9,22,1,12,1,1,6,0,6,0,
Darren Sproles,NOR,0,0,0,0,0,0,0,,,1,16,0,16,11,8,46,0,9,0,
Pierre Thomas,NOR,0,0,0,0,0,0,0,,,7,11,0,6,1,1,5,0,5,1,1
Jimmy Graham,NOR,0,0,0,0,0,0,0,,,0,0,0,,11,7,124,0,43,0,
Marques Colston,NOR,0,0,0,0,0,0,0,,,0,0,0,,11,7,118,1,38,0,
Lance Moore,NOR,0,0,0,0,0,0,0,,,0,0,0,,3,2,46,0,40,0,
Robert Meachem,NOR,0,0,0,0,0,0,0,,,0,0,0,,2,1,23,0,23,0,
Devery Henderson,NOR,0,0,0,0,0,0,0,,,0,0,0,,2,1,12,0,12,0,
Jed Collins,NOR,0,0,0,0,0,0,0,,,0,0,0,,2,1,3,0,3,0,
John Gilmore,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Josh Freeman,TAM,23,41,303,2,0,0,0,65,95.9,4,3,0,3,0,0,0,0,,0,
Earnest Graham,TAM,0,0,0,0,0,0,0,,,17,109,0,34,2,2,22,0,19,0,
Kregg Lumpkin,TAM,0,0,0,0,0,0,0,,,2,13,0,9,0,0,0,0,,0,
Mike Williams,TAM,0,0,0,0,0,0,0,,,0,0,0,,13,6,59,0,19,0,
Dezmon Briscoe,TAM,0,0,0,0,0,0,0,,,0,0,0,,2,2,49,0,32,0,
Kellen Winslow,TAM,0,0,0,0,0,0,0,,,0,0,0,,10,5,40,0,15,0,
Zack Pianalto,TAM,0,0,0,0,0,0,0,,,0,0,0,,1,1,9,0,9,0,
Erik Lorig,TAM,0,0,0,0,0,0,0,,,0,0,0,,2,2,9,0,6,0,
Preston Parker,TAM,0,0,0,0,0,0,0,,,1,-3,0,-3,5,2,32,1,19,0,
Arrelious Benn,TAM,0,0,0,0,0,0,0,,,1,-5,0,-5,6,3,83,1,65,0,
