Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Reggie Nelson,CIN,1,75,1,75,2,0.0,5,5,0,0,0,0,0,0,0
Chris Crocker,CIN,0,0,0,0,1,1.0,4,4,0,1,1,0,0,0,0
Carlos Dunlap,CIN,0,0,0,0,1,1.0,4,2,2,1,5,0,0,0,0
Geno Atkins,CIN,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
Frostee Rucker,CIN,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
Leon Hall,CIN,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,0
Brandon Johnson,CIN,0,0,0,0,0,0.0,7,3,4,1,0,0,0,0,0
Domata Peko,CIN,0,0,0,0,0,0.0,5,4,1,0,1,0,0,0,0
Thomas Howard,CIN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,1
Kelly Jennings,CIN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Gibril Wilson,CIN,0,0,0,0,0,0.0,4,3,1,0,0,1,0,0,0
Manny Lawson,CIN,0,0,0,0,0,0.0,3,3,0,2,0,0,0,0,0
Dan Skuta,CIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Nate Clements,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Brian Leonard,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Taylor Mays,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jeromy Miles,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cedric Peerman,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Vincent Rey,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Pat Sims,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Robert Geathers,CIN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Kam Chancellor,SEA,1,8,0,8,1,0.0,7,4,3,0,0,0,0,0,0
Richard Sherman,SEA,1,0,0,0,3,0.0,5,4,1,0,0,0,0,0,0
Anthony Hargrove,SEA,0,0,0,0,0,1.0,2,1,1,,,0,0,0,0
Earl Thomas,SEA,0,0,0,0,0,0.0,10,4,6,0,0,0,0,0,0
David Hawthorne,SEA,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
LeRoy Hill,SEA,0,0,0,0,0,0.0,5,5,0,2,0,0,0,0,0
Roy Lewis,SEA,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Brandon Mebane,SEA,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
K.J. Wright,SEA,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
Heath Farwell,SEA,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Brandon Browner,SEA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Atari Bigby,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Alan Branch,SEA,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Raheem Brock,SEA,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Red Bryant,SEA,0,0,0,0,0,0.0,1,0,1,0,2,0,0,0,0
Chris Clemons,SEA,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Clinton McDonald,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Michael Robinson,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jon Ryan,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Malcolm Smith,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
