Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Curtis Painter,IND,26,49,250,0,2,2,9,23,50.6,7,79,0,24,0,0,0,0,,0,
Delone Carter,IND,0,0,0,0,0,0,0,,,9,46,0,14,2,2,1,0,2,0,
Donald Brown,IND,0,0,0,0,0,0,0,,,10,33,1,9,1,1,1,0,1,0,
Dallas Clark,IND,0,0,0,0,0,0,0,,,0,0,0,,10,6,77,0,21,0,
Pierre Garcon,IND,0,0,0,0,0,0,0,,,0,0,0,,15,7,66,0,20,0,
Reggie Wayne,IND,0,0,0,0,0,0,0,,,0,0,0,,14,5,61,0,23,0,
Austin Collie,IND,0,0,0,0,0,0,0,,,0,0,0,,7,5,44,0,21,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Hasselbeck,TEN,23,33,224,1,0,1,9,32,98.5,1,-1,0,-1,0,0,0,0,,0,
Javon Ringer,TEN,0,0,0,0,0,0,0,,,14,60,0,13,6,5,42,0,15,0,
Chris Johnson,TEN,0,0,0,0,0,0,0,,,14,34,0,11,5,3,17,0,10,0,
Nate Washington,TEN,0,0,0,0,0,0,0,,,1,3,1,3,6,4,34,1,14,0,
Damian Williams,TEN,0,0,0,0,0,0,0,,,0,0,0,,5,4,60,0,27,0,
Jared Cook,TEN,0,0,0,0,0,0,0,,,0,0,0,,2,2,40,0,32,0,
Lavelle Hawkins,TEN,0,0,0,0,0,0,0,,,0,0,0,,5,3,18,0,7,0,
Ahmard Hall,TEN,0,0,0,0,0,0,0,,,0,0,0,,2,2,13,0,7,0,
Jamie Harper,TEN,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,0,
Marc Mariani,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Daniel Graham,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
