Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Moore,MIA,17,23,244,3,0,0,0,35,147.5,4,3,0,5,0,0,0,0,,0,
Reggie Bush,MIA,0,0,0,0,0,0,0,,,13,92,1,28,3,3,50,0,27,0,
Daniel Thomas,MIA,0,0,0,0,0,0,0,,,7,12,0,4,0,0,0,0,,0,
Brandon Marshall,MIA,0,0,0,0,0,0,0,,,0,0,0,,11,8,106,1,30,0,
Charles Clay,MIA,0,0,0,0,0,0,0,,,0,0,0,,3,3,50,0,22,0,
Anthony Fasano,MIA,0,0,0,0,0,0,0,,,0,0,0,,3,2,38,2,35,0,
Davone Bess,MIA,0,0,0,0,0,0,0,,,0,0,0,,3,1,0,0,0,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Cassel,KAN,20,39,253,0,0,5,26,37,71.8,9,38,0,11,0,0,0,0,,1,0
Jackie Battle,KAN,0,0,0,0,0,0,0,,,14,40,0,8,2,1,9,0,9,0,
Dexter McCluster,KAN,0,0,0,0,0,0,0,,,7,36,0,11,4,1,8,0,8,0,
Thomas Jones,KAN,0,0,0,0,0,0,0,,,3,5,0,5,0,0,0,0,,0,
Steve Breaston,KAN,0,0,0,0,0,0,0,,,0,0,0,,11,7,115,0,37,0,
Dwayne Bowe,KAN,0,0,0,0,0,0,0,,,0,0,0,,10,6,88,0,31,0,
Jonathan Baldwin,KAN,0,0,0,0,0,0,0,,,0,0,0,,5,1,12,0,12,0,
Leonard Pope,KAN,0,0,0,0,0,0,0,,,0,0,0,,2,1,9,0,9,0,
Keary Colbert,KAN,0,0,0,0,0,0,0,,,0,0,0,,1,1,5,0,5,0,
Le'Ron McClain,KAN,0,0,0,0,0,0,0,,,0,0,0,,1,1,4,0,4,0,
Jake O'Connell,KAN,0,0,0,0,0,0,0,,,0,0,0,,3,1,3,0,3,0,
Dustin Colquitt,KAN,0,0,0,0,0,0,0,,,1,-3,0,-3,0,0,0,0,,1,0
