Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Ryan,ATL,34,52,411,3,1,1,3,52,100.7,2,2,0,1,0,0,0,0,,0,0
Jacquizz Rodgers,ATL,0,0,0,0,0,0,0,,,3,29,0,18,4,4,33,0,15,0,0
Michael Turner,ATL,0,0,0,0,0,0,0,,,13,15,0,9,1,0,0,0,,0,0
Tony Gonzalez,ATL,0,0,0,0,0,0,0,,,0,0,0,,15,11,122,2,19,0,0
Roddy White,ATL,0,0,0,0,0,0,0,,,0,0,0,,13,7,114,0,49,0,0
Julio Jones,ATL,0,0,0,0,0,0,0,,,0,0,0,,5,4,75,0,52,0,0
Harry Douglas,ATL,0,0,0,0,0,0,0,,,0,0,0,,7,4,49,0,23,0,0
Jason Snelling,ATL,0,0,0,0,0,0,0,,,0,0,0,,3,2,12,0,6,0,0
Michael Palmer,ATL,0,0,0,0,0,0,0,,,0,0,0,,1,1,5,0,5,0,0
Mike Johnson,ATL,0,0,0,0,0,0,0,,,0,0,0,,1,1,1,1,1,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Brees,NOR,21,32,298,3,1,1,6,46,113.8,1,-1,0,-1,0,0,0,0,,0,0
Chris Ivory,NOR,0,0,0,0,0,0,0,,,7,72,1,56,1,1,13,0,13,0,0
Mark Ingram,NOR,0,0,0,0,0,0,0,,,16,67,0,8,1,0,0,0,,0,0
Pierre Thomas,NOR,0,0,0,0,0,0,0,,,5,10,0,4,2,1,6,0,6,0,0
Jimmy Graham,NOR,0,0,0,0,0,0,0,,,0,0,0,,8,7,146,2,46,0,0
Lance Moore,NOR,0,0,0,0,0,0,0,,,0,0,0,,9,7,91,0,29,0,0
Marques Colston,NOR,0,0,0,0,0,0,0,,,0,0,0,,6,3,26,1,12,0,0
Travaris Cadet,NOR,0,0,0,0,0,0,0,,,0,0,0,,3,2,16,0,10,0,0
Devery Henderson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
