#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,ATL 27,1,0:19,0,Interception
2,1,13:54,ATL 20,3,0:55,0,Punt
3,1,10:59,ATL 21,4,2:52,21,Punt
4,1,6:27,ATL 48,5,1:46,23,Interception
5,1,3:34,ATL 7,3,0:54,4,Interception
6,1,1:02,ATL 20,13,6:23,47,Field Goal
7,2,6:48,ATL 9,10,4:56,81,Field Goal
8,2,0:32,ATL 20,5,0:32,50,Field Goal
9,3,9:07,ATL 41,5,2:05,21,Fumble
10,3,5:04,ATL 5,3,1:34,4,Punt
11,3,1:49,ATL 20,1,0:06,0,Interception
12,4,14:56,ATL 20,6,3:16,24,Punt
13,4,9:44,ATL 30,7,3:04,70,Touchdown
14,4,5:01,ATL 36,2,0:53,3,Interception
15,4,3:06,ATL 24,6,3:06,11,End of Game
