Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Jackrabbit Jenkins,STL,2,75,2,39,2,0.0,2,2,0,0,0,0,0,0,0
James Laurinaitis,STL,1,18,0,18,1,0.0,14,7,7,0,0,0,0,0,0
Craig Dahl,STL,1,38,0,38,1,0.0,2,2,0,0,0,0,0,0,0
Rocky McIntosh,STL,0,0,0,0,0,1.0,8,6,2,1,1,0,0,0,0
William Hayes,STL,0,0,0,0,1,1.0,2,2,0,1,1,0,0,0,0
Cortland Finnegan,STL,0,0,0,0,1,0.0,12,10,2,0,0,0,0,0,0
Jo-Lonn Dunbar,STL,0,0,0,0,1,0.0,10,8,2,1,0,0,0,0,0
Quintin Mikell,STL,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Michael Brockers,STL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Trumaine Johnson,STL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Bradley Fletcher,STL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Kendall Langford,STL,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Quinton Pointer,STL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jermelle Cudjo,STL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jake McQuaide,STL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Eugene Sims,STL,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Sam Bradford,STL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Patrick Peterson,ARI,1,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Daryl Washington,ARI,0,0,0,0,0,1.0,9,6,3,1,1,0,0,0,0
Quentin Groves,ARI,0,0,0,0,0,1.0,7,5,2,0,0,0,0,0,1
Kerry Rhodes,ARI,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Paris Lenon,ARI,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Dan Williams,ARI,0,0,0,0,0,0.0,4,3,1,2,0,0,0,0,0
Sam Acho,ARI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Darnell Dockett,ARI,0,0,0,0,1,0.0,2,1,1,1,0,0,0,0,0
William Gay,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Ronald Talley,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Greg Toler,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Adrian Wilson,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Michael Adams,ARI,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Justin Bethel,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
LaRon Byrd,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
David Carter,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Rashad Johnson,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
James Sanders,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Anthony Sherman,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
