Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Dallas Reynolds,G,50,100%,0,0%,4,14%
Evan Mathis,G,50,100%,0,0%,4,14%
Dennis Kelly,T,50,100%,0,0%,4,14%
Jake Scott,G,50,100%,0,0%,0,0%
Nick Foles,QB,50,100%,0,0%,0,0%
Jeremy Maclin,WR,49,98%,0,0%,0,0%
King Dunlap,T,47,94%,0,0%,4,14%
Brent Celek,TE,43,86%,0,0%,4,14%
Bryce Brown,RB,41,82%,0,0%,0,0%
Damaris Johnson,WR,40,80%,0,0%,5,18%
Riley Cooper,WR,36,72%,0,0%,6,21%
Stanley Havili,FB,12,24%,0,0%,19,68%
DeSean Jackson,WR,12,24%,0,0%,0,0%
Clay Harbor,TE,9,18%,0,0%,2,7%
Dion Lewis,RB,8,16%,0,0%,11,39%
Demetress Bell,T,3,6%,0,0%,0,0%
Nate Allen,SS,0,0%,68,100%,7,25%
DeMeco Ryans,LB,0,0%,68,100%,0,0%
Kurt Coleman,FS,0,0%,67,99%,7,25%
Dominique Rodgers-Cromartie,CB,0,0%,67,99%,5,18%
Nnamdi Asomugha,CB,0,0%,67,99%,0,0%
Mychal Kendricks,LB,0,0%,66,97%,0,0%
Trent Cole,DE,0,0%,47,69%,5,18%
Mike Patterson,DT,0,0%,45,66%,0,0%
Jason Babin,DE,0,0%,41,60%,5,18%
Cullen Jenkins,DT,0,0%,40,59%,0,0%
Brandon Boykin,CB,0,0%,35,51%,16,57%
Brandon Graham,DE,0,0%,30,44%,2,7%
Akeem Jordan,LB,0,0%,28,41%,19,68%
Cedric Thornton,DT,0,0%,26,38%,13,46%
Derek Landri,DT,0,0%,23,34%,5,18%
Vinny Curry,DE,0,0%,21,31%,0,0%
Fletcher Cox,DT,0,0%,5,7%,4,14%
Curtis Marsh,CB,0,0%,2,3%,16,57%
Casey Matthews,LB,0,0%,1,1%,24,86%
Darryl Tapp,DE,0,0%,1,1%,11,39%
Colt Anderson,SS,0,0%,0,0%,19,68%
Brandon Hughes,CB,0,0%,0,0%,19,68%
Jamar Chaney,LB,0,0%,0,0%,19,68%
David Sims,SS,0,0%,0,0%,17,61%
Alex Henery,K,0,0%,0,0%,10,36%
Mat McBriar,P,0,0%,0,0%,6,21%
Jon Dorenbos,LS,0,0%,0,0%,6,21%
Matt Tennant,C,0,0%,0,0%,4,14%
Danny Watkins,G,0,0%,0,0%,4,14%
