Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Christian Ponder,MIN,12,25,119,1,2,0,0,21,41.9,6,28,0,11,0,0,0,0,,1,0
Adrian Peterson,MIN,0,0,0,0,0,0,0,,,21,210,1,82,2,1,10,0,10,0,0
Toby Gerhart,MIN,0,0,0,0,0,0,0,,,1,2,0,2,1,1,7,0,7,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,,,0,0,0,,8,6,51,1,21,0,0
Jerome Simpson,MIN,0,0,0,0,0,0,0,,,0,0,0,,7,2,25,0,18,0,0
Jarius Wright,MIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,13,0,13,0,0
Jerome Felton,MIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,13,0,13,0,0
Stephen Burton,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Michael Jenkins,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Devin Aromashodu,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,GNB,27,35,286,1,1,2,3,33,98.0,4,15,0,8,0,0,0,0,,0,0
James Starks,GNB,0,0,0,0,0,0,0,,,15,66,1,22,2,2,16,0,9,0,0
Alex Green,GNB,0,0,0,0,0,0,0,,,12,58,0,11,1,1,12,0,12,0,0
John Kuhn,GNB,0,0,0,0,0,0,0,,,4,8,0,5,4,3,20,0,8,0,0
Randall Cobb,GNB,0,0,0,0,0,0,0,,,1,5,0,5,6,6,62,0,33,0,0
Jermichael Finley,GNB,0,0,0,0,0,0,0,,,0,0,0,,7,6,60,0,21,0,0
Greg Jennings,GNB,0,0,0,0,0,0,0,,,0,0,0,,8,4,46,0,18,0,0
James Jones,GNB,0,0,0,0,0,0,0,,,0,0,0,,2,2,40,1,32,0,0
Tom Crabtree,GNB,0,0,0,0,0,0,0,,,0,0,0,,2,2,20,0,15,0,0
Jordy Nelson,GNB,0,0,0,0,0,0,0,,,0,0,0,,1,1,10,0,10,0,0
Jarrett Boykin,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
