Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Ryan Wendell,C,77,100%,0,0%,4,19%
Sebastian Vollmer,T,77,100%,0,0%,4,19%
Nate Solder,T,77,100%,0,0%,4,19%
Dan Connolly,C,77,100%,0,0%,4,19%
Logan Mankins,G,77,100%,0,0%,4,19%
Tom Brady,QB,77,100%,0,0%,0,0%
Wes Welker,WR,72,94%,0,0%,5,24%
Deion Branch,WR,59,77%,0,0%,0,0%
Aaron Hernandez,TE,48,62%,0,0%,0,0%
Michael Hoomanawanui,TE,45,58%,0,0%,2,10%
Stevan Ridley,RB,31,40%,0,0%,0,0%
Brandon Lloyd,WR,31,40%,0,0%,0,0%
Danny Woodhead,RB,27,35%,0,0%,1,5%
Rob Gronkowski,TE,24,31%,0,0%,0,0%
Daniel Fells,TE,23,30%,0,0%,4,19%
Shane Vereen,RB,14,18%,0,0%,1,5%
Brandon Bolden,RB,6,8%,0,0%,16,76%
Matthew Slater,WR,3,4%,0,0%,16,76%
Donald Thomas,G,2,3%,0,0%,4,19%
Devin McCourty,CB,0,0%,59,100%,10,48%
Kyle Arrington,CB,0,0%,59,100%,7,33%
Steve Gregory,SS,0,0%,58,98%,0,0%
Jerod Mayo,LB,0,0%,55,93%,1,5%
Dont'a Hightower,LB,0,0%,52,88%,4,19%
Derrick Martin,SS,0,0%,51,86%,10,48%
Patrick Chung,SS,0,0%,50,85%,6,29%
Chandler Jones,DE,0,0%,46,78%,1,5%
Brandon Deaderick,DE,0,0%,40,68%,1,5%
Vince Wilfork,DT,0,0%,39,66%,1,5%
Justin Francis,DT,0,0%,34,58%,0,0%
Trevor Scott,DE,0,0%,23,39%,11,52%
Rob Ninkovich,DE,0,0%,22,37%,1,5%
Tavon Wilson,SS,0,0%,18,31%,12,57%
Kyle Love,DT,0,0%,18,31%,1,5%
Jermaine Cunningham,DE,0,0%,16,27%,0,0%
Brandon Spikes,LB,0,0%,8,14%,0,0%
Tracy White,LB,0,0%,1,2%,16,76%
Niko Koutouvides,LB,0,0%,0,0%,17,81%
Mike Rivera,LB,0,0%,0,0%,16,76%
Malcolm Williams,DB,0,0%,0,0%,16,76%
Zoltan Mesko,P,0,0%,0,0%,9,43%
Stephen Gostkowski,K,0,0%,0,0%,9,43%
Danny Aiken,LS,0,0%,0,0%,9,43%
Marcus Cannon,T,0,0%,0,0%,4,19%
