Quarter,Time,Down,ToGo,Location,BUF,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"John Potter kicks off 73 yards, returned by Josh Cribbs for 34 yards (tackle by Delano Howell)",0.000,0.670
1,14:55,1,10,CLE 26,0,0,"Brandon Weeden pass complete to Ben Watson for 2 yards. Ben Watson fumbles, recovered by Mohamed Massaquoi at CLE-28",0.670,0.400
1,14:00,2,8,CLE 28,0,0,Trent Richardson for -2 yards (tackle by Arthur Moats),0.400,-0.560
1,13:39,3,10,CLE 26,0,0,Brandon Weeden pass incomplete intended for Josh Gordon,-0.560,-1.630
1,13:32,4,10,CLE 26,0,0,"Reggie Hodges punts 52 yards, returned by Leodis McKelvin for 20 yards (tackle by Tashaun Gipson)",-1.630,-1.730
1,13:25,1,10,BUF 42,0,0,C.J. Spiller right guard for 1 yard (tackle by Usama Young),1.730,1.320
1,12:48,2,9,BUF 43,0,0,Ryan Fitzpatrick pass complete deep left to Donald Jones for 17 yards (tackle by Usama Young),1.320,2.920
1,12:06,1,10,CLE 40,0,0,Ryan Fitzpatrick pass incomplete short right intended for Donald Jones (defended by Ahtyba Rubin),2.920,2.370
1,12:06,2,10,CLE 40,0,0,"Penalty on Cordy Glenn: False Start, 5 yards (no play)",2.370,1.700
1,11:46,2,15,CLE 45,0,0,Ryan Fitzpatrick pass complete short left to Steve Johnson for 7 yards (tackle by Sheldon Brown),1.700,1.950
1,11:05,3,8,CLE 38,0,0,Ryan Fitzpatrick pass complete short left to Steve Johnson for 18 yards (tackle by Sheldon Brown),1.950,4.240
1,10:34,1,10,CLE 20,0,0,C.J. Spiller left tackle for 2 yards (tackle by T.J. Ward),4.240,3.960
1,9:51,2,8,CLE 18,0,0,Ryan Fitzpatrick pass complete short right to Donald Jones for 9 yards (tackle by Usama Young),3.960,5.140
1,9:08,1,9,CLE 9,6,0,"Ryan Fitzpatrick pass complete short middle to T.J. Graham for 9 yards, touchdown",5.140,7.000
1,9:08,,,CLE 2,7,0,Rian Lindell kicks extra point good,0.000,0.000
1,9:04,,,BUF 35,7,0,"John Potter kicks off 71 yards, returned by Josh Cribbs for 34 yards (tackle by Da'Norris Searcy)",0.000,0.810
1,8:59,1,10,CLE 28,7,0,Trent Richardson left guard for -2 yards (tackle by Kyle Williams),0.810,-0.010
1,8:24,2,12,CLE 26,7,0,Brandon Weeden sacked by Kyle Williams for -3 yards,-0.010,-1.090
1,7:47,3,15,CLE 23,7,0,Brandon Weeden pass complete short right to Ben Watson for 9 yards (tackle by Justin Rogers),-1.090,-1.240
1,7:12,4,6,CLE 32,7,0,"Reggie Hodges punts 50 yards, returned by Leodis McKelvin for 33 yards (tackle by Reggie Hodges)",-1.240,-2.320
1,6:59,1,10,CLE 49,7,0,C.J. Spiller left guard for 8 yards (tackle by Frostee Rucker),2.320,2.860
1,6:18,2,2,CLE 41,7,0,C.J. Spiller right guard for 5 yards (tackle by Frostee Rucker and Tashaun Gipson),2.860,3.180
1,5:43,1,10,CLE 36,7,0,Brad Smith for 4 yards (tackle by Tashaun Gipson),3.180,3.180
1,5:15,2,6,CLE 32,13,0,"Ryan Fitzpatrick pass complete short left to C.J. Spiller for 32 yards, touchdown",3.180,7.000
1,5:15,,,CLE 2,14,0,Rian Lindell kicks extra point good,0.000,0.000
1,5:06,,,BUF 35,14,0,"John Potter kicks off 73 yards, returned by Josh Cribbs for 17 yards (tackle by Nigel Bradham)",0.000,-0.380
1,5:00,1,10,CLE 9,14,0,Trent Richardson right guard for 3 yards (tackle by Nick Barnett),-0.380,-0.560
1,4:29,2,7,CLE 12,14,0,Brandon Weeden pass complete short left to Trent Richardson for 6 yards (tackle by Nick Barnett and Nigel Bradham),-0.560,-0.370
1,3:55,3,1,CLE 18,14,0,Trent Richardson right guard for no gain (tackle by Arthur Moats),-0.370,-2.240
1,3:13,4,1,CLE 18,14,0,"Reggie Hodges punts 45 yards, fair catch by Leodis McKelvin",-2.240,-1.400
1,3:05,1,10,BUF 37,14,0,"Ryan Fitzpatrick pass complete short middle to C.J. Spiller for 10 yards (tackle by Usama Young). Penalty on Steve Johnson: Offensive Holding, 10 yards",1.400,1.400
1,2:33,1,10,BUF 37,14,0,Tashard Choice right guard for 4 yards (tackle by D'Qwell Jackson),1.400,0.000
1,1:58,,,,14,0,Timeout #1 by Buffalo Bills,0.000,1.400
1,1:58,2,6,BUF 41,14,0,Ryan Fitzpatrick pass incomplete deep middle intended for Steve Johnson,1.400,0.700
1,1:54,3,6,BUF 41,14,0,Ryan Fitzpatrick pass complete short middle to Scott Chandler for 12 yards (tackle by T.J. Ward),0.700,2.460
1,1:14,1,10,CLE 47,14,0,Brad Smith right guard for 2 yards (tackle by Craig Robertson),2.460,2.180
1,0:32,2,8,CLE 45,14,0,Ryan Fitzpatrick pass complete short right to Scott Chandler for 10 yards (tackle by T.J. Ward),2.180,3.250
Quarter,Time,Down,ToGo,Location,BUF,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 35,14,0,Tashard Choice for -1 yards,3.250,2.570
2,14:31,2,11,CLE 36,14,0,Tashard Choice left guard for 10 yards (tackle by Craig Robertson),2.570,3.200
2,13:52,3,1,CLE 26,14,0,Tashard Choice right guard for 3 yards (tackle by Ahtyba Rubin),3.200,4.040
2,13:10,1,10,CLE 23,14,0,Ryan Fitzpatrick pass incomplete short right intended for Corey McIntyre,4.040,3.500
2,13:04,2,10,CLE 23,14,0,Ryan Fitzpatrick right end for 5 yards (tackle by Buster Skrine),3.500,3.490
2,12:20,3,5,CLE 18,14,0,"Ryan Fitzpatrick sacked for -7 yards. Ryan Fitzpatrick fumbles, recovered by Juqua Parker at CLE-20",3.490,-0.280
,,,,,,,"CLE challenged the runner was down by contact ruling, and the original play was overturned.",,
2,12:14,1,10,CLE 20,14,0,Brandon Weeden pass complete short left to Jordan Cameron for 12 yards (tackle by George Wilson),0.280,1.070
2,11:43,1,10,CLE 32,14,0,Brandon Weeden pass complete short right to Travis Benjamin for 22 yards (tackle by George Wilson),1.070,2.520
2,11:11,1,10,BUF 46,14,0,Trent Richardson left guard for no gain (tackle by Nick Barnett),2.520,1.980
2,10:43,2,10,BUF 46,14,0,Trent Richardson right guard for 2 yards (tackle by Justin Rogers),1.980,1.550
2,10:00,3,8,BUF 44,14,0,Brandon Weeden pass incomplete short right intended for Mohamed Massaquoi,1.550,0.330
2,9:55,4,8,BUF 44,14,0,"Reggie Hodges punts 33 yards, fair catch by Leodis McKelvin",0.330,0.370
2,9:47,1,10,BUF 11,14,0,Tashard Choice left guard for 1 yard (tackle by Juqua Parker),-0.370,-0.710
2,9:13,2,9,BUF 12,14,0,Ryan Fitzpatrick pass complete short left to Steve Johnson for 11 yards (tackle by Sheldon Brown),-0.710,0.480
2,8:32,1,10,BUF 23,14,0,Tashard Choice left guard for 2 yards (tackle by Frostee Rucker),0.480,0.200
2,7:51,2,8,BUF 25,14,0,Ryan Fitzpatrick pass complete short middle to Tashard Choice for 5 yards (tackle by T.J. Ward),0.200,0.170
2,7:10,3,3,BUF 30,14,0,Ryan Fitzpatrick pass incomplete short middle intended for T.J. Graham,0.170,-1.370
2,7:05,4,3,BUF 30,14,0,"Brian Moorman punts 49 yards, returned by Josh Cribbs for 12 yards (tackle by Nigel Bradham)",-1.370,-1.140
2,6:53,1,10,CLE 33,14,0,Brandon Weeden pass complete short left to Josh Cribbs for 24 yards (tackle by Nick Barnett),1.140,2.720
2,6:09,1,10,BUF 43,14,0,Brandon Weeden pass complete short right to Chris Ogbonnaya for 3 yards (tackle by Justin Rogers),2.720,2.580
2,5:42,2,7,BUF 40,14,0,Trent Richardson right tackle for 3 yards (tackle by Aaron Williams and Mario Williams),2.580,2.280
2,5:01,3,4,BUF 37,14,0,"Brandon Weeden pass incomplete deep right intended for Josh Gordon is intercepted by Jairus Byrd at BUF-20 and returned for 5 yards (tackle by Josh Gordon). Penalty on Aaron Williams: Illegal Contact, 5 yards (no play)",2.280,3.450
2,4:50,1,10,BUF 32,14,0,Brandon Weeden pass incomplete deep right intended for Mohamed Massaquoi (defended by Aaron Williams),3.450,2.900
2,4:45,2,10,BUF 32,14,0,"Penalty on Greg Little: False Start, 5 yards (no play)",2.900,2.230
2,4:45,2,15,BUF 37,14,0,Brandon Weeden pass complete deep middle to Jordan Cameron for 18 yards (tackle by George Wilson),2.230,4.310
2,4:10,1,10,BUF 19,14,0,Brandon Weeden sacked by Mario Williams for -6 yards,4.310,2.950
2,4:10,2,16,BUF 25,14,0,"Penalty on Mark Anderson: Encroachment, 5 yards (no play)",2.950,0.000
2,3:07,,,,14,0,Timeout #1 by Cleveland Browns,0.000,3.630
2,3:07,2,11,BUF 20,14,0,Brandon Weeden pass complete short right to Mohamed Massaquoi for 14 yards (tackle by Stephon Gilmore),3.630,5.830
2,2:23,1,6,BUF 6,14,0,Brandon Weeden pass incomplete short right intended for Jordan Cameron,5.830,4.950
2,2:17,2,6,BUF 6,14,6,"Trent Richardson right guard for 6 yards, touchdown",4.950,7.000
2,2:17,,,BUF 2,14,7,Phil Dawson kicks extra point good,0.000,0.000
2,2:12,,,CLE 35,14,7,"Phil Dawson kicks off 65 yards, touchback",0.000,0.280
2,2:12,1,10,BUF 20,14,7,Ryan Fitzpatrick pass incomplete short middle intended for Tashard Choice (defended by Billy Winn),0.280,-0.270
2,2:08,2,10,BUF 20,14,7,Ryan Fitzpatrick pass incomplete short middle intended for Scott Chandler (defended by Billy Winn),-0.270,-0.960
2,2:02,3,10,BUF 20,14,7,"Ryan Fitzpatrick pass complete short left to T.J. Graham for 6 yards (tackle by T.J. Ward). Penalty on D'Qwell Jackson: Unnecessary Roughness, 15 yards",-0.960,1.660
2,1:57,1,10,BUF 41,14,7,Ryan Fitzpatrick pass complete short right to Donald Jones for 6 yards (tackle by Dimitri Patterson and Craig Robertson),1.660,1.930
2,1:32,2,4,BUF 47,14,7,"Ryan Fitzpatrick pass complete short left to Donald Jones for 20 yards (tackle by Dimitri Patterson). Penalty on Donald Jones: Offensive Pass Interference, 10 yards (no play)",1.930,0.580
2,1:27,2,14,BUF 37,14,7,"Ryan Fitzpatrick pass complete short right to Tashard Choice for 3 yards (tackle by Usama Young). Penalty on Steve Johnson: Offensive Holding, 10 yards",0.580,-0.370
2,1:20,2,21,BUF 30,14,7,Ryan Fitzpatrick pass complete short left to Donald Jones for 3 yards (tackle by Sheldon Brown),-0.370,0.000
2,1:09,,,,14,7,Timeout #2 by Cleveland Browns,0.000,-0.630
2,1:09,3,18,BUF 33,14,7,Tashard Choice left guard for 11 yards (tackle by D'Qwell Jackson),-0.630,0.000
2,1:03,,,,14,7,Timeout #3 by Cleveland Browns,0.000,-0.460
2,1:03,4,7,BUF 44,14,7,"Penalty on Kelvin Sheppard: False Start, 5 yards (no play)",-0.460,-0.780
2,1:03,4,12,BUF 39,14,7,"Brian Moorman punts 27 yards, out of bounds",-0.780,-1.200
2,0:58,1,10,CLE 34,14,7,Chris Ogbonnaya right guard for 6 yards (tackle by Nigel Bradham),1.200,1.470
2,0:36,2,4,CLE 40,14,7,Brandon Weeden pass incomplete short right intended for Greg Little (defended by Justin Rogers),1.470,0.760
2,0:30,3,4,CLE 40,14,7,Brandon Weeden pass incomplete short right intended for Greg Little,0.760,-0.720
2,0:26,4,4,CLE 40,14,7,"Reggie Hodges punts 42 yards, fair catch by Leodis McKelvin",-0.720,-0.040
2,0:20,1,10,BUF 18,14,7,Ryan Fitzpatrick kneels for no gain,0.040,-0.490
Quarter,Time,Down,ToGo,Location,BUF,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,14,7,"Phil Dawson kicks off 69 yards, returned by Leodis McKelvin for 34 yards (tackle by Johnson Bademosi)",0.000,0.940
3,14:55,1,10,BUF 30,14,7,Tashard Choice left guard for 5 yards (tackle by Dimitri Patterson and D'Qwell Jackson),0.940,1.070
3,14:16,2,5,BUF 35,14,7,"Ryan Fitzpatrick pass incomplete intended for Steve Johnson (defended by Sheldon Brown). Penalty on Sheldon Brown: Defensive Pass Interference, 12 yards (no play)",1.070,2.060
3,14:11,1,10,BUF 47,14,7,Tashard Choice left tackle for 9 yards (tackle by Tashaun Gipson),2.060,2.730
3,13:35,2,1,CLE 44,14,7,Tashard Choice right guard for 8 yards (tackle by Tashaun Gipson),2.730,3.180
3,12:57,1,10,CLE 36,14,7,Johnny White left tackle for 9 yards (tackle by Craig Robertson),3.180,3.850
3,12:11,2,1,CLE 27,14,7,Ryan Fitzpatrick pass complete to Steve Johnson for 7 yards (tackle by Buster Skrine),3.850,4.240
3,11:34,1,10,CLE 20,14,7,Tashard Choice right guard for 1 yard (tackle by T.J. Ward),4.240,3.820
3,10:53,2,9,CLE 19,14,7,Ryan Fitzpatrick pass incomplete intended for Steve Johnson (defended by Sheldon Brown),3.820,3.100
3,10:47,3,9,CLE 19,14,7,Ryan Fitzpatrick pass incomplete deep right intended for Steve Johnson (defended by Buster Skrine),3.100,2.180
3,10:42,4,9,CLE 19,17,7,Rian Lindell 37 yard field goal good,2.180,3.000
3,10:38,,,BUF 35,17,7,"John Potter kicks off 65 yards, touchback",0.000,0.280
3,10:38,1,10,CLE 20,17,7,"Trent Richardson left tackle for 3 yards (tackle by George Wilson). Penalty on Joe Thomas: Offensive Holding, 10 yards",0.280,-0.510
3,10:17,1,17,CLE 13,17,7,Brandon Weeden pass complete short right to Trent Richardson for 10 yards (tackle by George Wilson),-0.510,0.140
3,10:17,2,7,CLE 23,17,7,"Penalty on Kyle Williams: Neutral Zone Infraction, 5 yards (no play)",0.140,0.810
3,9:35,2,2,CLE 28,17,7,Trent Richardson right tackle for 4 yards (tackle by Arthur Moats),0.810,1.070
3,8:57,1,10,CLE 32,17,7,Brandon Weeden pass incomplete deep right intended for Travis Benjamin (defended by Aaron Williams),1.070,0.530
3,8:50,2,10,CLE 32,17,7,"Penalty on Trent Richardson: False Start, 5 yards (no play)",0.530,-0.150
3,8:50,2,15,CLE 27,17,7,Brandon Weeden pass complete short left to Ben Watson for -4 yards (tackle by Kelvin Sheppard),-0.150,-1.350
3,8:06,3,19,CLE 23,17,7,Brandon Weeden pass incomplete short left intended for Travis Benjamin,-1.350,-1.830
3,8:02,4,19,CLE 23,17,7,"Reggie Hodges punts 40 yards, out of bounds",-1.830,-1.400
3,7:55,1,10,BUF 37,17,7,Ryan Fitzpatrick pass complete short middle to Donald Jones for 7 yards (tackle by Craig Robertson),1.400,1.800
3,7:19,2,3,BUF 44,17,7,Ryan Fitzpatrick pass incomplete short right intended for Scott Chandler,1.800,1.090
3,7:15,3,3,BUF 44,17,7,Ryan Fitzpatrick pass incomplete short right intended for Tashard Choice,1.090,-0.460
3,7:12,4,3,BUF 44,17,7,"Brian Moorman punts 36 yards, out of bounds",-0.460,-0.280
3,7:05,1,10,CLE 20,17,7,Brandon Weeden pass complete short right to Ben Watson for 8 yards (tackle by Nick Barnett),0.280,0.810
3,6:35,2,2,CLE 28,17,7,Trent Richardson right tackle for 5 yards (tackle by Arthur Moats),0.810,1.140
3,6:35,1,10,CLE 33,17,7,Brandon Weeden pass complete short left to Jordan Cameron for 4 yards (tackle by Jairus Byrd),1.140,1.130
3,5:26,2,6,CLE 37,17,7,Brandon Weeden pass incomplete deep middle intended for Josh Gordon (defended by Terrence McGee),1.130,0.430
3,5:18,3,6,CLE 37,17,7,Brandon Weeden pass complete short right to Josh Gordon for 15 yards (tackle by Terrence McGee),0.430,2.390
3,4:47,1,10,BUF 48,17,7,Brandon Weeden pass complete short right to Jordan Cameron for 3 yards (tackle by Kelvin Sheppard),2.390,2.250
3,4:14,2,7,BUF 45,17,7,Brandon Weeden pass complete short middle to Trent Richardson for 10 yards (tackle by Mark Anderson),2.250,3.250
3,3:42,1,10,BUF 35,17,7,Brandon Weeden pass incomplete deep right intended for Jordan Cameron,3.250,2.700
3,3:36,2,10,BUF 35,17,7,Brandon Weeden pass complete short right to Josh Gordon for 8 yards (tackle by Jairus Byrd),2.700,3.070
3,3:08,3,2,BUF 27,17,7,Brandon Weeden pass complete short right to Greg Little for 5 yards (tackle by Justin Rogers),3.070,4.110
3,2:41,1,10,BUF 22,17,7,Brandon Weeden pass incomplete short left intended for Ben Watson,4.110,3.560
3,2:37,2,10,BUF 22,17,7,Brandon Weeden pass incomplete short right intended for Trent Richardson,3.560,2.870
3,2:33,3,10,BUF 22,17,13,"Brandon Weeden pass complete deep left to Travis Benjamin for 22 yards, touchdown",2.870,7.000
3,2:33,,,BUF 2,17,14,Phil Dawson kicks extra point good,0.000,0.000
3,2:27,,,CLE 35,17,14,"Phil Dawson kicks off 65 yards, touchback",0.000,0.280
3,2:27,1,10,BUF 20,17,14,Tashard Choice left tackle for 1 yard (tackle by Jabaal Sheard),0.280,-0.130
3,1:44,2,9,BUF 21,17,14,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,-0.130,-0.820
3,1:38,3,9,BUF 21,17,14,Ryan Fitzpatrick pass incomplete intended for T.J. Graham,-0.820,-1.960
3,1:34,4,9,BUF 21,17,14,"Brian Moorman punts 66 yards, returned by Josh Cribbs for 27 yards (tackle by George Wilson)",-1.960,-1.600
3,1:21,1,10,CLE 40,17,14,Brandon Weeden pass complete short right to Jordan Cameron for 8 yards (tackle by Arthur Moats),1.600,2.130
3,0:57,2,2,CLE 48,17,14,Trent Richardson right guard for 5 yards (tackle by Kyle Williams and Arthur Moats),2.130,2.460
3,0:19,1,10,BUF 47,17,14,Brandon Weeden pass complete short right to Trent Richardson for -2 yards (tackle by Jairus Byrd),2.460,1.640
Quarter,Time,Down,ToGo,Location,BUF,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,BUF 49,17,14,Brandon Weeden pass incomplete short middle intended for Ben Watson (defended by Spencer Johnson),1.640,0.960
4,14:57,3,12,BUF 49,17,14,Brandon Weeden sacked by Mark Anderson for -11 yards. Penalty on Mitchell Schwartz: Offensive Holding (Declined),0.960,-0.720
4,14:42,4,23,CLE 40,17,14,"Reggie Hodges punts 28 yards, out of bounds",-0.720,-1.070
4,14:35,1,10,BUF 32,17,14,Tashard Choice left guard for 22 yards (tackle by Usama Young),1.070,2.520
4,13:49,1,10,CLE 46,17,14,Ryan Fitzpatrick pass complete short left to Steve Johnson for 8 yards (tackle by Sheldon Brown),2.520,3.060
4,13:13,2,2,CLE 38,17,14,Johnny White right guard for 6 yards (tackle by Frostee Rucker and T.J. Ward),3.060,3.450
4,12:32,1,10,CLE 32,17,14,Ryan Fitzpatrick pass complete short left to Corey McIntyre for 9 yards (tackle by D'Qwell Jackson),3.450,4.120
4,11:55,2,1,CLE 23,17,14,Tashard Choice right guard for 2 yards (tackle by Craig Robertson),4.120,4.170
4,11:14,1,10,CLE 21,17,14,Ryan Fitzpatrick pass complete short left to Steve Johnson for 1 yard (tackle by Sheldon Brown),4.170,3.760
4,10:35,2,9,CLE 20,17,14,Ryan Fitzpatrick pass incomplete short left intended for Tashard Choice,3.760,3.070
4,9:49,3,9,CLE 20,17,14,Ryan Fitzpatrick pass complete short right to T.J. Graham for 9 yards (tackle by Buster Skrine),3.070,4.840
4,9:39,1,10,CLE 11,17,14,Tashard Choice up the middle for 2 yards (tackle by Craig Robertson),4.840,0.000
4,9:12,,,,17,14,Timeout #1 by Buffalo Bills,0.000,4.510
4,9:12,2,8,CLE 9,23,14,"Ryan Fitzpatrick pass complete short middle to Steve Johnson for 9 yards, touchdown",4.510,7.000
4,9:12,,,CLE 2,24,14,Rian Lindell kicks extra point good,0.000,0.000
4,9:08,,,BUF 35,24,14,"John Potter kicks off 65 yards, touchback",0.000,0.280
4,9:08,1,10,CLE 20,24,14,"Brandon Weeden pass incomplete short left intended for Trent Richardson. Penalty on Mario Williams: Illegal Use of Hands, 5 yards (no play)",0.280,0.610
4,9:02,1,10,CLE 25,24,14,Brandon Weeden pass complete short right to Chris Ogbonnaya for 9 yards (tackle by Aaron Williams),0.610,1.280
4,8:35,2,1,CLE 34,24,14,Brandon Weeden pass complete short right to Trent Richardson for 1 yard (tackle by Bryan Scott),1.280,1.270
4,8:00,1,10,CLE 35,24,14,Brandon Weeden pass complete short right to Trent Richardson for -1 yards (tackle by Nick Barnett),1.270,0.590
4,7:23,2,11,CLE 34,24,14,Brandon Weeden pass incomplete short left intended for Ben Watson,0.590,-0.100
4,7:19,3,11,CLE 34,24,14,"Brandon Weeden pass complete deep left to Greg Little for 17 yards (tackle by Justin Rogers). Penalty on Alex Mack: Offensive Holding, 10 yards (no play)",-0.100,-1.420
4,6:48,3,21,CLE 24,24,14,Brandon Weeden pass complete short right to Greg Little for 12 yards (tackle by Nick Barnett),-1.420,-0.980
4,6:11,4,9,CLE 36,24,14,"Reggie Hodges punts 46 yards, out of bounds",-0.980,-0.040
4,6:03,1,10,BUF 18,24,14,Tashard Choice right guard for 3 yards (tackle by Craig Robertson),0.040,0.010
4,5:20,2,7,BUF 21,24,14,Tashard Choice right guard for 3 yards (tackle by D'Qwell Jackson),0.010,0.000
4,5:14,,,,24,14,Timeout #1 by Cleveland Browns,0.000,-0.400
4,5:14,3,4,BUF 24,24,14,Tashard Choice right tackle for 3 yards (tackle by Ahtyba Rubin),-0.400,0.000
4,5:05,,,,24,14,Timeout #2 by Cleveland Browns,0.000,-1.570
4,5:05,4,1,BUF 27,24,14,"Brian Moorman punts 30 yards, out of bounds. Penalty on Nigel Bradham: Unnecessary Roughness, 15 yards",-1.570,-2.790
4,4:59,1,10,BUF 42,24,14,Brandon Weeden sacked by Marcell Dareus and Mario Williams for -10 yards,2.790,0.890
4,4:29,2,20,CLE 48,24,14,Brandon Weeden pass incomplete deep right intended for Josh Gordon is intercepted by Leodis McKelvin at BUF-31 and returned for 9 yards (tackle by Chris Ogbonnaya),0.890,-1.600
4,4:21,1,10,BUF 40,24,14,Tashard Choice right tackle for -2 yards (tackle by Jabaal Sheard),1.600,0.000
4,4:17,,,,24,14,Timeout #3 by Cleveland Browns,0.000,0.780
4,4:17,2,12,BUF 38,24,14,Tashard Choice right guard for 4 yards (tackle by D'Qwell Jackson and Jabaal Sheard),0.780,0.630
4,3:33,3,8,BUF 42,24,14,Ryan Fitzpatrick for 7 yards (tackle by Ahtyba Rubin and Reggie Hodges),0.630,0.000
4,2:46,,,,24,14,Timeout #2 by Buffalo Bills,0.000,-0.130
4,2:46,4,1,BUF 49,24,14,"Brian Moorman punts 44 yards, muffed catch by Josh Cribbs, recovered by Josh Cribbs and returned for 4 yards (tackle by Da'Norris Searcy)",-0.130,0.320
4,2:37,1,10,CLE 13,24,14,Brandon Weeden pass complete short right to Josh Gordon for 17 yards (tackle by George Wilson),-0.320,0.940
