Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Brees,NOR,22,42,213,2,1,1,12,29,72.8,2,2,0,3,0,0,0,0,,1,0
Pierre Thomas,NOR,0,0,0,0,0,0,0,,,8,43,0,8,2,2,6,0,5,0,0
Mark Ingram,NOR,0,0,0,0,0,0,0,,,3,7,0,4,0,0,0,0,,0,0
Marques Colston,NOR,0,0,0,0,0,0,0,,,0,0,0,,10,5,63,0,16,0,0
Jimmy Graham,NOR,0,0,0,0,0,0,0,,,0,0,0,,10,5,63,1,20,0,0
Lance Moore,NOR,0,0,0,0,0,0,0,,,0,0,0,,6,3,25,0,12,0,0
Courtney Roby,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Devery Henderson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
Darren Sproles,NOR,0,0,0,0,0,0,0,,,4,-1,0,5,9,7,56,1,29,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Peyton Manning,DEN,22,30,305,3,0,0,0,41,138.9,1,4,0,4,0,0,0,0,,0,0
Willis McGahee,DEN,0,0,0,0,0,0,0,,,23,122,1,17,2,2,33,0,19,1,1
Ronnie Hillman,DEN,0,0,0,0,0,0,0,,,14,86,0,31,1,1,-4,0,-4,1,0
Lance Ball,DEN,0,0,0,0,0,0,0,,,2,14,0,10,0,0,0,0,,0,0
Demaryius Thomas,DEN,0,0,0,0,0,0,0,,,0,0,0,,9,7,137,1,41,0,0
Virgil Green,DEN,0,0,0,0,0,0,0,,,0,0,0,,3,3,44,0,28,0,0
Eric Decker,DEN,0,0,0,0,0,0,0,,,0,0,0,,6,4,43,2,23,0,0
Jacob Tamme,DEN,0,0,0,0,0,0,0,,,0,0,0,,4,3,33,0,23,0,0
Brandon Stokley,DEN,0,0,0,0,0,0,0,,,0,0,0,,2,2,19,0,17,0,0
Joel Dreessen,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Matt Willis,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brock Osweiler,DEN,0,0,0,0,0,0,0,,,1,-1,0,-1,0,0,0,0,,0,0
