#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,TEN 20,1,0:16,23,Fumble
2,1,12:09,TEN 20,3,2:03,9,Punt
3,1,8:48,TEN 19,3,2:04,1,Blocked Punt
4,1,6:44,TEN 22,3,1:37,8,Punt
5,1,4:51,TEN 26,3,1:03,-17,Punt
6,1,3:40,TEN 24,2,0:41,18,Interception
7,1,2:59,TEN 20,1,0:10,2,Fumble
8,1,1:33,TEN 20,3,0:52,2,Punt
9,2,11:44,TEN 11,10,5:09,69,Fumble
10,2,1:05,,8,1:05,29,Field Goal
11,3,12:53,TEN 41,4,1:28,59,Touchdown
12,3,7:37,TEN 18,5,2:38,25,Punt
13,3,0:38,TEN 12,3,1:28,3,Punt
14,4,11:21,TEN 20,1,0:13,-1,Fumble
15,4,10:20,TEN 20,1,0:11,80,Touchdown
16,4,3:50,TEN 11,5,2:01,17,Downs
