Quarter,Time,Down,ToGo,Location,MIN,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Blair Walsh kicks off 74 yards, touchback",0.000,-0.280
1,15:00,1,10,DET 20,0,0,Matthew Stafford pass incomplete short right intended for Calvin Johnson,0.280,-0.270
1,14:56,2,10,DET 20,0,0,Reggie Bush left tackle for 12 yards (tackle by Chad Greenway),-0.270,1.070
1,14:15,1,10,DET 32,0,0,Matthew Stafford pass complete short right to Joseph Fauria for 4 yards (tackle by Josh Robinson),1.070,1.070
1,13:37,2,6,DET 36,0,0,Matthew Stafford pass incomplete short left intended for Reggie Bush (defended by Jared Allen),1.070,0.370
1,13:33,3,6,DET 36,0,0,Matthew Stafford pass complete short middle to Reggie Bush for 13 yards (tackle by Jamarca Sanford),0.370,2.190
1,12:53,1,10,DET 49,0,0,Matthew Stafford pass complete short right to Joique Bell for 29 yards (tackle by Harrison Smith),2.190,4.110
1,12:14,1,10,MIN 22,0,0,Matthew Stafford pass complete short right to Calvin Johnson for 9 yards (tackle by Erin Henderson and Chad Greenway),4.110,5.060
1,11:32,2,1,MIN 13,0,0,Reggie Bush up the middle for no gain (tackle by Fred Evans and Brian Robison),5.060,4.390
1,11:02,3,1,MIN 13,0,0,Matthew Stafford pass incomplete short right intended for Reggie Bush,4.390,2.720
1,10:57,4,1,MIN 13,0,0,"Sam Martin for no gain. Sam Martin fumbles, recovered by Sam Martin at MIN-22",2.720,-0.410
1,10:52,1,10,MIN 22,6,0,"Adrian Peterson up the middle for 78 yards, touchdown",0.410,7.000
1,10:52,,,DET 2,7,0,Blair Walsh kicks extra point good,0.000,0.000
1,10:52,,,MIN 35,7,0,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,10:39,1,10,DET 20,7,0,Reggie Bush right end for 7 yards (tackle by Erin Henderson),0.280,0.680
