Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Clint Boling,G,89,100%,0,0%,4,13%
Kevin Zeitler,G,89,100%,0,0%,4,13%
Andrew Whitworth,T,89,100%,0,0%,4,13%
Andre Smith,T,89,100%,0,0%,4,13%
Tyler Eifert,TE,89,100%,0,0%,4,13%
Kyle Cook,C,89,100%,0,0%,1,3%
Andy Dalton,QB,89,100%,0,0%,0,0%
A.J. Green,WR,87,98%,0,0%,0,0%
Mohamed Sanu,WR,74,83%,0,0%,0,0%
Marvin Jones,WR,61,69%,0,0%,0,0%
Giovani Bernard,RB,60,67%,0,0%,0,0%
Alex Smith,TE,31,35%,0,0%,23,74%
BenJarvus Green-Ellis,RB,28,31%,0,0%,0,0%
Andrew Hawkins,WR,6,7%,0,0%,18,58%
Dane Sanzenbacher,WR,5,6%,0,0%,0,0%
Orson Charles,TE,3,3%,0,0%,23,74%
Anthony Collins,T,1,1%,0,0%,8,26%
George Iloka,SS,0,0%,73,99%,0,0%
Reggie Nelson,FS,0,0%,72,97%,7,23%
Carlos Dunlap,DE,0,0%,72,97%,5,16%
Adam Jones,CB,0,0%,72,97%,1,3%
Vincent Rey,LB,0,0%,71,96%,14,45%
Terence Newman,CB,0,0%,69,93%,4,13%
Michael Johnson,DE,0,0%,68,92%,0,0%
Vontaze Burfict,LB,0,0%,66,89%,4,13%
Domata Peko,NT,0,0%,58,78%,8,26%
Brandon Thompson,NT,0,0%,55,74%,4,13%
Chris Crocker,SS,0,0%,53,72%,0,0%
Wallace Gilberry,DE,0,0%,27,36%,0,0%
James Harrison,LB,0,0%,25,34%,4,13%
Dre Kirkpatrick,CB,0,0%,16,22%,18,58%
J.K. Schaffer,LB,0,0%,11,15%,24,77%
Jayson DiManche,LB,0,0%,2,3%,23,74%
Brandon Ghee,CB,0,0%,2,3%,16,52%
Margus Hunt,DE,0,0%,2,3%,4,13%
Shawn Williams,SS,0,0%,0,0%,27,87%
Cedric Peerman,RB,0,0%,0,0%,23,74%
Rex Burkhead,RB,0,0%,0,0%,17,55%
Brandon Tate,WR,0,0%,0,0%,13,42%
Clark Harris,LS,0,0%,0,0%,10,32%
Kevin Huber,P,0,0%,0,0%,10,32%
Mike Nugent,K,0,0%,0,0%,7,23%
Ryan Whalen,WR,0,0%,0,0%,5,16%
