Quarter,Time,Down,ToGo,Location,DAL,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NOR 20,0,0,Pierre Thomas right end for 7 yards (tackle by Bruce Carter and Barry Church),0.280,0.680
1,14:24,2,3,NOR 27,0,0,Drew Brees pass complete short right to Marques Colston for 6 yards (tackle by Bruce Carter),0.680,1.140
1,13:49,1,10,NOR 33,0,0,Drew Brees pass complete short right to Darren Sproles for 2 yards (tackle by Barry Church),1.140,0.860
1,13:12,2,8,NOR 35,0,0,Pierre Thomas left tackle for 8 yards (tackle by Sean Lee and Justin Durant),0.860,1.800
1,12:28,1,10,NOR 43,0,0,Drew Brees pass incomplete deep left intended for Marques Colston,1.800,1.250
1,12:22,2,10,NOR 43,0,0,Drew Brees pass incomplete short middle intended for Mark Ingram,1.250,0.560
1,12:16,3,10,NOR 43,0,0,Drew Brees pass complete short left to Pierre Thomas for 8 yards (tackle by Bruce Carter and Barry Church),0.560,0.000
1,11:34,4,2,DAL 49,0,0,"Thomas Morstead punts 33 yards, out of bounds",0.000,0.140
1,11:25,1,10,DAL 16,0,0,DeMarco Murray left end for -1 yards (tackle by Ramon Humber),-0.140,-0.780
1,10:49,2,11,DAL 15,0,0,Tony Romo pass complete short right to James Hanna for 7 yards (tackle by Ramon Humber),-0.780,-0.570
1,10:25,3,4,DAL 22,0,0,DeMarco Murray right tackle for 3 yards (tackle by Chris Carr and Cameron Jordan),-0.570,-1.700
1,9:46,4,1,DAL 25,0,0,"Chris Jones punts 56 yards, muffed catch by Darren Sproles, recovered by Dwayne Harris and returned for no gain",-1.700,4.110
1,9:36,1,10,NOR 22,0,0,DeMarco Murray right end for 6 yards (tackle by Akiem Hicks and Will Herring),4.110,4.460
1,9:02,2,4,NOR 16,0,0,DeMarco Murray right tackle for 3 yards (tackle by Curtis Lofton),4.460,4.460
1,8:27,2,4,NOR 16,0,0,Timeout #1 by Dallas Cowboys,4.460,4.390
1,8:27,3,1,NOR 13,0,0,"Penalty on James Hanna: False Start, 5 yards (no play)",4.390,3.400
1,8:27,3,6,NOR 18,0,0,Tony Romo pass incomplete short right intended for DeMarco Murray (defended by Chris Carr). Penalty on Ronald Leary: Offensive Holding (Declined),3.400,2.270
1,8:19,4,6,NOR 18,3,0,Dan Bailey 37 yard field goal good,2.270,3.000
1,8:19,,,DAL 35,3,0,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,8:14,1,10,NOR 20,3,0,Drew Brees pass complete short left to Pierre Thomas for 2 yards (tackle by Orlando Scandrick),0.280,0.000
1,7:41,2,8,NOR 22,3,0,Darren Sproles right end for 5 yards (tackle by DeMarcus Ware),0.000,-0.030
1,7:07,3,3,NOR 27,3,0,Drew Brees pass complete short middle to Marques Colston for 6 yards (tackle by Sean Lee),-0.030,1.140
1,6:27,1,10,NOR 33,3,0,Drew Brees pass complete short left to Pierre Thomas for 4 yards (tackle by Bruce Carter),1.140,1.130
