Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Corey Graham,BAL,0,0,0,0,1,1.0,9,9,0,0,1,0,0,0,0
DeAngelo Tyson,BAL,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
James Ihedigbo,BAL,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Daryl Smith,BAL,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,1
Matt Elam,BAL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Chris Canty,BAL,0,0,0,0,0,0.0,4,4,0,1,1,0,0,0,0
Jimmy Smith,BAL,0,0,0,0,2,0.0,4,3,1,0,0,0,0,0,0
Lardarius Webb,BAL,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Jameel McClain,BAL,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Josh Bynes,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Arthur Jones,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Terrence Cody,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Pernell McPhee,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Terrell Suggs,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brynden Trawick,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Courtney Upshaw,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Elvis Dumervil,BAL,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Joe Flacco,BAL,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Jonathan Bostic,CHI,1,0,0,0,1,0.0,5,5,0,1,0,0,0,0,0
David Bass,CHI,1,24,1,24,1,0.0,4,2,2,1,0,0,0,0,0
Julius Peppers,CHI,0,0,0,0,0,2.0,11,8,3,4,2,0,0,0,0
Cheta Ozougwu,CHI,0,0,0,0,0,1.0,1,1,0,0,0,0,0,0,1
Zackary Bowman,CHI,0,0,0,0,0,0.0,9,9,0,1,0,0,0,0,0
James Anderson,CHI,0,0,0,0,0,0.0,8,7,1,1,0,0,0,0,0
Chris Conte,CHI,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
Khaseem Greene,CHI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Corey Wootton,CHI,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Major Wright,CHI,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Landon Cohen,CHI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Isaiah Frey,CHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Tim Jennings,CHI,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Sherrick McManis,CHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Craig Steltz,CHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Michael Ford,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Eric Weems,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Alshon Jeffery,CHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Josh McCown,CHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
