Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Branden Albert,T,78,100%,0,0%,3,9%
Jeff Allen,G,78,100%,0,0%,3,9%
Rodney Hudson,C,78,100%,0,0%,3,9%
Alex Smith,QB,78,100%,0,0%,0,0%
Eric Fisher,T,73,94%,0,0%,3,9%
Anthony Fasano,TE,71,91%,0,0%,0,0%
Dwayne Bowe,WR,68,87%,0,0%,0,0%
Jamaal Charles,RB,65,83%,0,0%,0,0%
Jon Asamoah,G,62,79%,0,0%,2,6%
Donnie Avery,WR,62,79%,0,0%,0,0%
Dexter McCluster,WR,52,67%,0,0%,7,21%
Anthony Sherman,FB,23,29%,0,0%,18,55%
Sean McGrath,TE,17,22%,0,0%,0,0%
Geoff Schwartz,T,16,21%,0,0%,3,9%
Junior Hemingway,WR,15,19%,0,0%,20,61%
Knile Davis,RB,12,15%,0,0%,3,9%
Donald Stephenson,T,7,9%,0,0%,3,9%
A.J. Jenkins,WR,2,3%,0,0%,0,0%
Cyrus Gray,RB,1,1%,0,0%,24,73%
Tamba Hali,LB,0,0%,80,100%,6,18%
Justin Houston,LB,0,0%,80,100%,6,18%
Dontari Poe,NT,0,0%,80,100%,6,18%
Derrick Johnson,LB,0,0%,80,100%,5,15%
Brandon Flowers,CB,0,0%,80,100%,0,0%
Eric Berry,SS,0,0%,80,100%,0,0%
Sean Smith,CB,0,0%,79,99%,0,0%
Kendrick Lewis,FS,0,0%,79,99%,0,0%
Quintin Demps,SS,0,0%,72,90%,4,12%
Marcus Cooper,CB,0,0%,68,85%,12,36%
Allen Bailey,DE,0,0%,45,56%,4,12%
Tyson Jackson,DE,0,0%,22,28%,4,12%
Anthony Toribio,DE,0,0%,10,12%,1,3%
Akeem Jordan,LB,0,0%,9,11%,26,79%
Husain Abdullah,FS,0,0%,7,9%,30,91%
Mike DeVito,DE,0,0%,6,8%,1,3%
Sanders Commings,DB,0,0%,3,4%,21,64%
Ron Parker,DB,0,0%,0,0%,30,91%
Frank Zombo,LB,0,0%,0,0%,24,73%
James-Michael Johnson,LB,0,0%,0,0%,24,73%
Mike Catapano,DE,0,0%,0,0%,18,55%
Dezman Moses,LB,0,0%,0,0%,17,52%
Thomas Gafford,LS,0,0%,0,0%,10,30%
Dustin Colquitt,P,0,0%,0,0%,10,30%
Ryan Succop,K,0,0%,0,0%,7,21%
Kyle Williams,WR,0,0%,0,0%,4,12%
