Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,TEN 20,0,0,Ryan Fitzpatrick sacked by Cory Redding for -1 yards,0.280,-0.460
1,14:36,2,11,TEN 19,0,0,Ryan Fitzpatrick pass complete short left to Delanie Walker for 10 yards (tackle by Jerrell Freeman),-0.460,-0.460
1,13:55,2,11,TEN 19,0,0,Timeout #1 by Indianapolis Colts,-0.460,0.230
1,13:55,3,1,TEN 29,0,0,Ryan Fitzpatrick pass complete short left to Delanie Walker for 12 yards (tackle by Pat Angerer),0.230,1.660
1,13:24,1,10,TEN 41,0,0,Ryan Fitzpatrick pass incomplete short middle intended for Kendall Wright,1.660,1.120
1,13:21,2,10,TEN 41,0,0,Chris Johnson left tackle for 1 yard (tackle by Robert Mathis),1.120,0.560
1,12:46,3,9,TEN 42,0,0,Ryan Fitzpatrick pass complete short middle to Kendall Wright for 17 yards (tackle by Antoine Bethea),0.560,2.850
1,12:11,1,10,IND 41,0,0,Ryan Fitzpatrick pass complete short middle to Kendall Wright for 11 yards (tackle by LaRon Landry). Penalty on Cassius Vaughn: Defensive Holding (Declined),2.850,3.580
1,11:43,1,10,IND 30,0,6,"Chris Johnson right guard for 30 yards, touchdown",3.580,7.000
1,11:43,,,IND 2,0,7,Rob Bironas kicks extra point good,0.000,0.000
1,11:43,,,TEN 35,0,7,"Rob Bironas kicks off 65 yards, returned by David Reed for 25 yards (tackle by Jackie Battle)",0.000,-0.610
1,11:31,1,10,IND 25,0,7,Trent Richardson up the middle for 1 yard (tackle by Alterraun Verner),0.610,0.200
1,10:53,2,9,IND 26,0,7,Andrew Luck pass complete short right to Coby Fleener for 3 yards (tackle by Jason McCourty),0.200,-0.100
1,10:11,3,6,IND 29,0,7,Andrew Luck pass incomplete short left intended for Griff Whalen (defended by Alterraun Verner). Penalty on Anthony Castonzo: Illegal Formation (Declined),-0.100,-1.440
1,10:05,4,6,IND 29,0,7,"Pat McAfee punts 43 yards, returned by Devon Wylie for 4 yards (tackle by LaVon Brazill)",-1.440,-1.070
1,9:57,1,10,TEN 32,0,7,Chris Johnson right guard for 9 yards (tackle by Cassius Vaughn),1.070,1.740
1,9:19,2,1,TEN 41,0,7,Chris Johnson left guard for 6 yards (tackle by Pat Angerer),1.740,2.060
1,8:38,1,10,TEN 47,0,7,Ryan Fitzpatrick right end for 2 yards (tackle by Erik Walden),2.060,1.790
1,8:05,2,8,TEN 49,0,7,Ryan Fitzpatrick pass complete short left to Kendall Wright for 1 yard (tackle by Vontae Davis),1.790,1.220
1,7:36,3,7,,0,7,Ryan Fitzpatrick pass complete short right to Delanie Walker for 14 yards (tackle by Antoine Bethea),1.220,3.180
1,7:05,1,10,IND 36,0,7,Ryan Fitzpatrick pass complete short middle to Delanie Walker for 7 yards (tackle by Pat Angerer),3.180,3.580
1,6:37,2,3,IND 29,0,7,Chris Johnson left guard for 4 yards (tackle by Jerrell Freeman),3.580,3.910
1,6:01,1,10,IND 25,0,7,Ryan Fitzpatrick right end for 5 yards (tackle by Jerrell Freeman),3.910,4.040
1,5:23,2,5,IND 20,0,7,Chris Johnson right end for 5 yards (tackle by Cassius Vaughn),4.040,4.580
1,4:46,1,10,IND 15,0,7,Chris Johnson left tackle for 8 yards (tackle by Vontae Davis),4.580,5.410
1,4:13,2,2,IND 7,0,13,"Chris Johnson left guard for 7 yards, touchdown",5.410,7.000
1,4:13,,,IND 2,0,14,Rob Bironas kicks extra point good,0.000,0.000
1,4:13,,,TEN 35,0,14,"Rob Bironas kicks off 64 yards, returned by David Reed for 4 yards (tackle by George Wilson)",0.000,0.380
1,4:01,1,10,IND 5,0,14,Andrew Luck pass complete short left to Trent Richardson for 14 yards (tackle by Bernard Pollard),-0.380,0.150
1,3:22,1,10,IND 19,0,14,Andrew Luck pass complete short right to Trent Richardson for no gain,0.150,-0.390
1,2:40,2,10,IND 19,0,14,Andrew Luck pass complete short middle to Trent Richardson for 5 yards (tackle by Akeem Ayers),-0.390,-0.420
1,1:54,3,5,IND 24,0,14,Andrew Luck pass complete short left to T.Y. Hilton for 17 yards (tackle by Coty Sensabaugh),-0.420,1.660
1,1:16,1,10,IND 41,0,14,Donald Brown up the middle for 9 yards (tackle by Michael Griffin),1.660,2.340
1,0:37,2,1,,0,14,Donald Brown right tackle for 4 yards (tackle by Zach Brown),2.340,2.520
1,0:19,1,10,TEN 46,0,14,"Donald Brown right tackle for 3 yards (tackle by Mike Martin and Karl Klug). Penalty on TEN: Defensive 12 On-field, 5 yards (no play)",2.520,3.250
,,,,,,,"IND challenged the too many players on field ruling, and the original play was overturned.",,
Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,TEN 41,0,14,Andrew Luck left tackle for 3 yards (tackle by Zach Brown),3.250,3.060
2,14:13,2,2,TEN 38,0,14,Donald Brown right guard for 1 yard (tackle by Bernard Pollard),3.060,2.480
2,13:47,3,1,TEN 37,0,14,Andrew Luck up the middle for 2 yards (tackle by Colin McCarthy),2.480,3.250
2,13:08,1,10,TEN 35,0,14,Andrew Luck pass incomplete deep middle intended for Darrius Heyward-Bey,3.250,2.700
2,13:00,2,10,TEN 35,0,14,"Penalty on Mike McGlynn: False Start, 5 yards (no play)",2.700,2.030
2,13:00,2,15,TEN 40,0,14,Andrew Luck pass complete short left to Trent Richardson for 7 yards (tackle by Colin McCarthy),2.030,2.280
2,12:14,3,8,TEN 33,0,14,Andrew Luck right end for 3 yards (tackle by Colin McCarthy),2.280,1.450
2,11:31,4,5,TEN 30,3,14,Adam Vinatieri 48 yard field goal good,1.450,3.000
2,11:31,,,IND 35,3,14,"Pat McAfee kicks off 67 yards, returned by Devon Wylie for 22 yards (tackle by Mario Harvey)",0.000,-0.280
2,11:19,1,10,TEN 20,3,14,Shonn Greene left end for 4 yards (tackle by LaRon Landry),0.280,0.270
2,10:40,2,6,TEN 24,3,14,Shonn Greene right guard for 5 yards (tackle by Aubrayo Franklin and LaRon Landry),0.270,0.230
2,9:57,3,1,TEN 29,3,14,Ryan Fitzpatrick pass incomplete short right intended for Kendall Wright (defended by Cassius Vaughn),0.230,-1.440
2,9:53,4,1,TEN 29,3,14,"Brett Kern punts 25 yards, out of bounds",-1.440,-1.990
2,9:46,1,10,IND 46,3,14,Donald Brown right guard for 15 yards (tackle by Michael Griffin),1.990,2.980
2,9:08,1,10,TEN 39,3,14,Andrew Luck pass incomplete short left intended for T.Y. Hilton,2.980,2.440
2,9:00,2,10,TEN 39,3,14,Andrew Luck pass incomplete short left intended for LaVon Brazill (defended by Alterraun Verner),2.440,1.750
2,8:55,3,10,TEN 39,3,14,Andrew Luck pass incomplete short middle intended for Coby Fleener,1.750,0.660
2,8:51,4,10,TEN 39,3,14,"Pat McAfee punts 39 yards, touchback",0.660,-0.280
2,8:41,1,10,TEN 20,3,14,Chris Johnson right tackle for no gain (tackle by Antoine Bethea),0.280,-0.270
2,8:06,2,10,TEN 20,3,14,Ryan Fitzpatrick pass complete short left to Kendall Wright for 9 yards (tackle by Antoine Bethea),-0.270,0.230
2,7:34,3,1,TEN 29,3,14,Chris Johnson left guard for 4 yards (tackle by Pat Angerer),0.230,1.140
2,6:52,1,10,TEN 33,3,14,Ryan Fitzpatrick pass complete short left to Kendall Wright for 5 yards (tackle by Vontae Davis),1.140,1.270
2,6:16,2,5,TEN 38,3,14,Ryan Fitzpatrick pass complete short left to Kendall Wright for 3 yards (tackle by Robert Mathis),1.270,0.960
2,5:32,3,2,TEN 41,3,14,"Ryan Fitzpatrick pass incomplete short middle intended for Nate Washington. Penalty on Robert Mathis: Roughing the Passer, 14 yards, Penalty on Cassius Vaughn: Defensive Pass Interference (Declined) (no play)",0.960,2.590
2,5:29,1,10,IND 45,3,14,"Shonn Greene right tackle for 1 yard (tackle by Aubrayo Franklin). Penalty on Cassius Vaughn: Unnecessary Roughness, 15 yards",2.590,3.640
2,5:03,1,10,IND 29,3,14,"Chris Johnson right tackle for 4 yards (tackle by Cassius Vaughn). Penalty on Erik Walden: Unnecessary Roughness, 12 yards",3.640,4.710
2,4:24,1,10,IND 13,3,14,Chris Johnson right guard for 3 yards (tackle by Ricardo Mathews and Pat Angerer),4.710,4.580
2,3:44,2,7,IND 10,3,14,Chris Johnson right guard for -1 yards (tackle by Pat Angerer),4.580,4.580
2,2:58,2,7,IND 10,3,14,Timeout #1 by Tennessee Titans,4.580,3.450
2,2:58,3,8,IND 11,3,14,Ryan Fitzpatrick right end for 4 yards (tackle by Jerrell Freeman),3.450,2.990
2,2:35,4,4,IND 7,3,17,Rob Bironas 25 yard field goal good,2.990,3.000
