Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Khalif Barnes,T,57,100%,0,0%,7,23%
Stefen Wisniewski,C,57,100%,0,0%,7,23%
Tony Pashos,T,57,100%,0,0%,7,23%
Lucas Nix,G,57,100%,0,0%,7,23%
Matt McGloin,QB,57,100%,0,0%,0,0%
Mike Brisiel,G,56,98%,0,0%,6,19%
Rashad Jennings,RB,50,88%,0,0%,0,0%
Andre Holmes,WR,48,84%,0,0%,0,0%
Rod Streater,WR,41,72%,0,0%,0,0%
Marcel Reece,FB,36,63%,0,0%,0,0%
Jeron Mastrud,TE,33,58%,0,0%,13,42%
Brice Butler,WR,17,30%,0,0%,8,26%
Nick Kasa,TE,17,30%,0,0%,6,19%
Jacoby Ford,WR,13,23%,0,0%,5,16%
Matt McCants,T,13,23%,0,0%,1,3%
Mychal Rivera,TE,10,18%,0,0%,4,13%
Jamize Olawale,FB,7,12%,0,0%,19,61%
Andre Gurode,G,1,2%,0,0%,7,23%
Charles Woodson,FS,0,0%,79,100%,5,16%
Lamarr Houston,DE,0,0%,79,100%,5,16%
Nick Roach,LB,0,0%,79,100%,5,16%
Tracy Porter,CB,0,0%,76,96%,5,16%
Vance Walker,DT,0,0%,67,85%,5,16%
Sio Moore,LB,0,0%,66,84%,5,16%
Kevin Burnett,LB,0,0%,65,82%,2,6%
Brandian Ross,SS,0,0%,58,73%,6,19%
Mike Jenkins,CB,0,0%,56,71%,3,10%
Phillip Adams,CB,0,0%,48,61%,13,42%
Stacy McGee,NT,0,0%,45,57%,5,16%
Pat Sims,NT,0,0%,45,57%,4,13%
Usama Young,FS,0,0%,37,47%,20,65%
Daniel Muir,DT,0,0%,19,24%,0,0%
Miles Burris,LB,0,0%,14,18%,14,45%
Ryan Robinson,DE,0,0%,13,16%,8,26%
Chimdi Chekwa,CB,0,0%,9,11%,19,61%
Jack Crawford,DE,0,0%,9,11%,17,55%
Brian Sanford,DT,0,0%,5,6%,0,0%
Jeremy Stewart,RB,0,0%,0,0%,19,61%
Taiwan Jones,CB,0,0%,0,0%,19,61%
Kaelin Burnett,LB,0,0%,0,0%,19,61%
Sebastian Janikowski,K,0,0%,0,0%,13,42%
Jon Condo,LS,0,0%,0,0%,9,29%
Kaluka Maiava,LB,0,0%,0,0%,9,29%
Marquette King,P,0,0%,0,0%,9,29%
Greg Jenkins,WR,0,0%,0,0%,6,19%
