Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Charles Brown,T,65,100%,0,0%,5,18%
Zach Strief,T,65,100%,0,0%,5,18%
Jahri Evans,G,65,100%,0,0%,5,18%
Ben Grubbs,G,65,100%,0,0%,5,18%
Drew Brees,QB,65,100%,0,0%,0,0%
Brian De La Puente,C,65,100%,0,0%,0,0%
Marques Colston,WR,50,77%,0,0%,1,4%
Jimmy Graham,TE,47,72%,0,0%,6,21%
Kenny Stills,WR,40,62%,0,0%,0,0%
Pierre Thomas,RB,37,57%,0,0%,4,14%
Jed Collins,FB,31,48%,0,0%,13,46%
Ben Watson,TE,28,43%,0,0%,6,21%
Lance Moore,WR,28,43%,0,0%,1,4%
Robert Meachem,WR,19,29%,0,0%,0,0%
Darren Sproles,RB,15,23%,0,0%,6,21%
Mark Ingram,RB,15,23%,0,0%,0,0%
Bryce Harris,T,8,12%,0,0%,8,29%
Khiry Robinson,RB,3,5%,0,0%,11,39%
Malcolm Jenkins,FS,2,3%,63,100%,12,43%
Tim Lelito,G,1,2%,0,0%,5,18%
Josh Hill,TE,1,2%,0,0%,3,11%
Kenny Vaccaro,SS,0,0%,63,100%,4,14%
Curtis Lofton,LB,0,0%,63,100%,4,14%
Keenan Lewis,CB,0,0%,63,100%,0,0%
Junior Galette,LB,0,0%,62,98%,0,0%
Corey White,CB,0,0%,60,95%,9,32%
Cameron Jordan,DE,0,0%,59,94%,4,14%
David Hawthorne,LB,0,0%,51,81%,7,25%
Roman Harper,SS,0,0%,47,75%,14,50%
Akiem Hicks,DE,0,0%,45,71%,3,11%
John Jenkins,NT,0,0%,39,62%,6,21%
Tom Johnson,DE,0,0%,19,30%,0,0%
Tyrunn Walker,DT,0,0%,18,29%,3,11%
Parys Haralson,LB,0,0%,17,27%,9,32%
Isa Abdul-Quddus,FS,0,0%,12,19%,18,64%
Brodrick Bunkley,NT,0,0%,7,11%,0,0%
Will Herring,LB,0,0%,5,8%,23,82%
Ramon Humber,LB,0,0%,0,0%,23,82%
Kevin Reddick,LB,0,0%,0,0%,18,64%
Rod Sweeting,CB,0,0%,0,0%,18,64%
Travaris Cadet,RB,0,0%,0,0%,14,50%
Thomas Morstead,P,0,0%,0,0%,10,36%
Justin Drescher,LS,0,0%,0,0%,9,32%
Luke McCown,QB,0,0%,0,0%,5,18%
Chris Carr,CB,0,0%,0,0%,5,18%
Garrett Hartley,K,0,0%,0,0%,5,18%
