Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Chris Houston,DET,1,30,0,30,1,0.0,3,3,0,0,0,0,0,0,0
Ndamukong Suh,DET,0,0,0,0,0,0.0,10,7,3,0,1,0,0,0,0
Stephen Tulloch,DET,0,0,0,0,0,0.0,10,6,4,0,0,0,0,0,0
Nick Fairley,DET,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
DeAndre Levy,DET,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Glover Quin,DET,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Willie Young,DET,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
Ezekiel Ansah,DET,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Louis Delmas,DET,0,0,0,0,1,0.0,3,3,0,1,0,0,0,0,0
Israel Idonije,DET,0,0,0,0,0,0.0,2,2,0,2,0,0,0,0,0
Bill Bentley,DET,0,0,0,0,0,0.0,1,1,0,,,0,0,0,0
Rashean Mathis,DET,0,0,0,0,3,0.0,1,1,0,0,0,0,0,0,0
Ashlee Palmer,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Theo Riddick,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jeremy Ross,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Julian Stanford,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tahir Whitehead,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Joique Bell,DET,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Andre Fluellen,DET,0,0,0,0,0,0.0,0,0,0,,,1,0,0,0
Matthew Stafford,DET,0,0,0,0,0,0.0,0,0,0,0,0,3,-24,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Connor Barwin,PHI,0,0,0,0,0,0.0,5,5,0,2,0,1,0,0,0
Mychal Kendricks,PHI,0,0,0,0,1,0.0,5,4,1,0,1,1,0,0,0
DeMeco Ryans,PHI,0,0,0,0,1,0.0,5,4,1,0,1,0,0,0,0
Bennie Logan,PHI,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Cedric Thornton,PHI,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,1
Patrick Chung,PHI,0,0,0,0,0,0.0,3,2,1,0,0,1,0,0,0
Trent Cole,PHI,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Fletcher Cox,PHI,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Vinny Curry,PHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Cary Williams,PHI,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Clifton Geathers,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Brandon Graham,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,1
Nate Allen,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Colt Anderson,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
James Casey,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kurt Coleman,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Bradley Fletcher,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jeff Maehl,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Casey Matthews,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brandon Boykin,PHI,0,0,0,0,1,0.0,0,0,0,,,0,0,0,0
Nick Foles,PHI,0,0,0,0,0,0.0,0,0,0,0,0,1,-8,0,0
