Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Zane Beadles,G,54,100%,0,0%,4,15%
Chris Clark,T,54,100%,0,0%,4,15%
Louis Vasquez,G,54,100%,0,0%,4,15%
Eric Decker,WR,54,100%,0,0%,2,7%
Peyton Manning,QB,54,100%,0,0%,0,0%
Manuel Ramirez,C,54,100%,0,0%,0,0%
Demaryius Thomas,WR,54,100%,0,0%,0,0%
Orlando Franklin,T,54,100%,0,0%,0,0%
Julius Thomas,TE,49,91%,0,0%,0,0%
Andre Caldwell,WR,37,69%,0,0%,7,26%
Knowshon Moreno,RB,35,65%,0,0%,0,0%
Montee Ball,RB,19,35%,0,0%,10,37%
Virgil Green,TE,13,24%,0,0%,14,52%
Jacob Tamme,TE,9,17%,0,0%,15,56%
Mike Adams,SS,0,0%,72,100%,8,30%
Omar Bolden,FS,0,0%,70,97%,7,26%
Danny Trevathan,LB,0,0%,70,97%,5,19%
Dominique Rodgers-Cromartie,CB,0,0%,70,97%,4,15%
Von Miller,LB,0,0%,68,94%,0,0%
Chris Harris Jr.,CB,0,0%,67,93%,1,4%
Terrance Knighton,NT,0,0%,56,78%,10,37%
Malik Jackson,DE,0,0%,53,74%,6,22%
Sylvester Williams,NT,0,0%,44,61%,1,4%
Shaun Phillips,LB,0,0%,42,58%,1,4%
Kayvon Webster,CB,0,0%,35,49%,10,37%
Paris Lenon,LB,0,0%,32,44%,3,11%
Wesley Woodyard,LB,0,0%,31,43%,16,59%
Robert Ayers,DE,0,0%,30,42%,5,19%
Mitch Unrein,DT,0,0%,26,36%,11,41%
Quentin Jammer,CB,0,0%,11,15%,10,37%
Duke Ihenacho,SS,0,0%,10,14%,7,26%
David Bruton,FS,0,0%,3,4%,22,81%
Sione Fua,G,0,0%,2,3%,0,0%
Nate Irving,LB,0,0%,1,1%,23,85%
Steven Johnson,LB,0,0%,0,0%,22,81%
Joel Dreessen,TE,0,0%,0,0%,11,41%
Steve Vallos,C,0,0%,0,0%,10,37%
Matt Prater,K,0,0%,0,0%,9,33%
Britton Colquitt,P,0,0%,0,0%,8,30%
Tony Carter,CB,0,0%,0,0%,8,30%
Aaron Brewer,LS,0,0%,0,0%,8,30%
Trindon Holliday,WR,0,0%,0,0%,7,26%
Winston Justice,T,0,0%,0,0%,4,15%
