Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Cam Newton,CAR,15,27,149,2,1,1,0,56,80.6,12,72,0,16,0,0,0,0,,0,0
DeAngelo Williams,CAR,0,0,0,0,0,0,0,,,10,33,0,24,2,2,75,0,56,1,1
Mike Tolbert,CAR,0,0,0,0,0,0,0,,,7,29,0,17,3,3,10,0,8,0,0
Greg Olsen,CAR,0,0,0,0,0,0,0,,,0,0,0,,8,6,42,1,8,0,0
Domenik Hixon,CAR,0,0,0,0,0,0,0,,,0,0,0,,3,2,16,0,12,0,0
Ted Ginn Jr.,CAR,0,0,0,0,0,0,0,,,0,0,0,,5,2,6,1,3,0,0
Brandon LaFell,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0
Marvin McNutt,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Ryan,ATL,28,40,280,2,1,9,49,39,95.8,2,-1,0,0,0,0,0,0,,0,0
Steven Jackson,ATL,0,0,0,0,0,0,0,,,13,41,0,17,7,5,53,0,25,0,0
Jason Snelling,ATL,0,0,0,0,0,0,0,,,5,36,0,16,2,2,15,1,9,0,0
Roddy White,ATL,0,0,0,0,0,0,0,,,0,0,0,,14,8,91,1,39,0,0
Harry Douglas,ATL,0,0,0,0,0,0,0,,,0,0,0,,9,7,58,0,12,0,0
Tony Gonzalez,ATL,0,0,0,0,0,0,0,,,0,0,0,,4,4,56,0,23,0,0
Darius Johnson,ATL,0,0,0,0,0,0,0,,,0,0,0,,3,1,4,0,4,0,0
Patrick DiMarco,ATL,0,0,0,0,0,0,0,,,0,0,0,,1,1,3,0,3,0,0
