Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Larry Warford,G,60,100%,0,0%,4,15%
Riley Reiff,T,60,100%,0,0%,4,15%
Rob Sims,G,60,100%,0,0%,4,15%
Jason Fox,T,60,100%,0,0%,4,15%
Dominic Raiola,C,60,100%,0,0%,1,4%
Kevin Ogletree,WR,60,100%,0,0%,0,0%
Matthew Stafford,QB,60,100%,0,0%,0,0%
Nate Burleson,WR,49,82%,0,0%,0,0%
Kris Durham,WR,48,80%,0,0%,0,0%
Reggie Bush,RB,42,70%,0,0%,0,0%
Joseph Fauria,TE,35,58%,0,0%,4,15%
Joique Bell,RB,25,42%,0,0%,0,0%
Jeremy Ross,WR,20,33%,0,0%,19,73%
Corey Hilliard,T,20,33%,0,0%,3,12%
Theo Riddick,RB,1,2%,0,0%,19,73%
Stephen Tulloch,LB,0,0%,58,100%,3,12%
DeAndre Levy,LB,0,0%,58,100%,3,12%
Glover Quin,SS,0,0%,56,97%,1,4%
Rashean Mathis,CB,0,0%,56,97%,0,0%
Louis Delmas,FS,0,0%,55,95%,0,0%
Darius Slay,CB,0,0%,50,86%,2,8%
Willie Young,DE,0,0%,47,81%,3,12%
Ndamukong Suh,DT,0,0%,46,79%,3,12%
Ezekiel Ansah,DE,0,0%,45,78%,2,8%
Nick Fairley,DT,0,0%,42,72%,3,12%
Ashlee Palmer,LB,0,0%,33,57%,12,46%
Chris Greenwood,DB,0,0%,21,36%,6,23%
Devin Taylor,DE,0,0%,20,34%,10,38%
C.J. Mosley,DT,0,0%,16,28%,4,15%
Andre Fluellen,DT,0,0%,16,28%,2,8%
Rocky McIntosh,LB,0,0%,10,17%,19,73%
Don Carey,FS,0,0%,7,12%,4,15%
DeJon Gomes,SS,0,0%,2,3%,21,81%
John Wendling,SS,0,0%,0,0%,21,81%
Julian Stanford,LB,0,0%,0,0%,19,73%
Tahir Whitehead,LB,0,0%,0,0%,19,73%
Micheal Spurlock,WR,0,0%,0,0%,17,65%
Akwasi Owusu-Ansah,FS,0,0%,0,0%,13,50%
Sam Martin,P,0,0%,0,0%,11,42%
Don Muhlbach,LS,0,0%,0,0%,11,42%
David Akers,K,0,0%,0,0%,8,31%
Leroy Harris,G,0,0%,0,0%,3,12%
Rodney Austin,G,0,0%,0,0%,3,12%
Matt Veldman,TE,0,0%,0,0%,1,4%
