Quarter,Time,Down,ToGo,Location,CAR,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Dan Carpenter kicks off 66 yards, returned by Ted Ginn for 29 yards (tackle by Brandon Burton)",0.000,-0.810
1,14:54,1,10,CAR 28,0,0,Cam Newton pass complete short left to Steve Smith for 9 yards (tackle by Leodis McKelvin),0.810,1.480
1,14:34,2,1,CAR 37,0,0,DeAngelo Williams up the middle for 3 yards (tackle by Arthur Moats and Marcell Dareus),1.480,1.600
1,13:53,1,10,CAR 40,0,0,Cam Newton pass incomplete short right intended for Brandon LaFell (defended by Justin Rogers),1.600,1.050
1,13:48,2,10,CAR 40,0,0,Cam Newton pass complete short left to Steve Smith for 9 yards (tackle by Leodis McKelvin),1.050,1.550
1,13:20,3,1,CAR 49,0,0,Cam Newton pass complete short left to Greg Olsen for 31 yards (tackle by Da'Norris Searcy),1.550,4.240
1,12:43,1,10,BUF 20,0,0,Cam Newton sacked by Mario Williams for -6 yards,4.240,2.880
1,12:04,2,16,BUF 26,0,0,Cam Newton pass incomplete short right intended for Mike Tolbert is intercepted by Kiko Alonso at BUF-19,2.880,-0.150
1,11:58,1,10,BUF 19,0,0,EJ Manuel pass complete short left to Frank Summers for 34 yards (tackle by Jon Beason),0.150,2.460
1,11:24,1,10,CAR 47,0,0,C.J. Spiller right guard for 1 yard (tackle by Quintin Mikell and Dwan Edwards),2.460,2.050
1,10:57,2,9,CAR 46,0,0,C.J. Spiller up the middle for 10 yards (tackle by Charles Johnson and Josh Thomas),2.050,3.180
1,10:29,1,10,CAR 36,0,0,Fred Jackson left guard for 5 yards (tackle by Quintin Mikell and Luke Kuechly),3.180,3.310
1,10:06,2,5,CAR 31,0,0,EJ Manuel pass incomplete deep middle intended for Steve Johnson,3.310,2.610
1,10:01,3,5,CAR 31,0,0,Fred Jackson left end for 5 yards (tackle by Quintin Mikell and Luke Kuechly),2.610,3.840
1,9:21,1,10,CAR 26,0,0,EJ Manuel pass complete short left to Robert Woods for 6 yards (tackle by Thomas Davis),3.840,4.110
1,8:55,2,4,CAR 20,0,0,EJ Manuel pass incomplete deep left intended for Scott Chandler,4.110,3.400
