Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Eric Reid,SFO,1,1,0,1,1,0.0,2,2,0,0,0,0,0,0,0
Aldon Smith,SFO,0,0,0,0,0,2.0,7,6,1,4,3,0,0,0,0
Ahmad Brooks,SFO,0,0,0,0,0,1.0,9,7,2,2,1,0,0,0,0
Glenn Dorsey,SFO,0,0,0,0,0,1.0,5,1,4,1,1,0,0,0,0
NaVorro Bowman,SFO,0,0,0,0,0,0.0,11,4,7,0,0,0,0,0,0
Justin Smith,SFO,0,0,0,0,0,0.0,9,4,5,1,0,0,0,0,0
Patrick Willis,SFO,0,0,0,0,0,0.0,8,4,4,1,0,0,0,0,0
Ray McDonald,SFO,0,0,0,0,0,0.0,7,3,4,0,1,0,0,0,0
Donte Whitner,SFO,0,0,0,0,2,0.0,5,3,2,0,0,0,0,0,0
Craig Dahl,SFO,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Tarell Brown,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Demarcus Dobbs,SFO,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
C.J. Spillman,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Nnamdi Asomugha,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Anthony Dixon,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Corey Lemonier,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Carlos Rogers,SFO,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Dan Skuta,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Michael Wilhoite,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Kam Chancellor,SEA,1,30,0,30,1,0.0,5,2,3,0,0,0,0,0,0
Earl Thomas,SEA,1,11,0,11,1,0.0,3,3,0,0,0,0,0,0,0
Richard Sherman,SEA,1,28,0,28,1,0.0,2,2,0,0,0,0,0,0,0
K.J. Wright,SEA,0,0,0,0,1,1.0,6,3,3,0,1,1,0,0,0
Michael Bennett,SEA,0,0,0,0,0,1.0,4,2,2,2,2,0,0,0,0
Cliff Avril,SEA,0,0,0,0,1,1.0,1,1,0,0,1,0,0,0,1
Bobby Wagner,SEA,0,0,0,0,1,0.0,7,2,5,0,0,0,0,0,0
D'Anthony Smith,SEA,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Malcolm Smith,SEA,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Walter Thurmond,SEA,0,0,0,0,2,0.0,3,2,1,0,0,0,0,0,0
Red Bryant,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jeremy Lane,SEA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Heath Farwell,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1
Tony McDaniel,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Brandon Mebane,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Mike Morgan,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
O'Brien Schofield,SEA,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Byron Maxwell,SEA,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Clinton McDonald,SEA,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Russell Wilson,SEA,0,0,0,0,0,0.0,0,0,0,0,0,1,-3,0,0
