Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Donte Whitner,SFO,1,0,0,0,2,0.0,3,3,0,1,0,0,0,0,0
NaVorro Bowman,SFO,0,0,0,0,1,2.0,6,5,1,3,2,0,0,0,1
Ahmad Brooks,SFO,0,0,0,0,1,1.5,7,5,2,0,2,0,0,0,0
Glenn Dorsey,SFO,0,0,0,0,0,1.0,4,4,0,1,1,0,0,0,0
Justin Smith,SFO,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
Tarell Brown,SFO,0,0,0,0,3,0.0,7,6,1,0,0,0,0,0,0
Michael Wilhoite,SFO,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Tramaine Brock,SFO,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0
Corey Lemonier,SFO,0,0,0,0,1,0.0,3,3,0,0,1,0,0,0,0
Nathan Stupar,SFO,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Ray McDonald,SFO,0,0,0,0,0,0.0,2,1,1,1,1,0,0,0,0
Eric Reid,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Dan Skuta,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Anthony Dixon,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1
Tony Jerod-Eddie,SFO,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0
Darryl Morris,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kassim Osgood,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
C.J. Spillman,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Raymond Ventrone,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Robert Quinn,STL,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Chris Long,STL,0,0,0,0,0,0.5,3,1,2,0,1,0,0,0,0
Michael Brockers,STL,0,0,0,0,0,0.5,2,1,1,0,2,0,0,0,0
James Laurinaitis,STL,0,0,0,0,2,0.0,12,9,3,2,0,0,0,0,0
Alec Ogletree,STL,0,0,0,0,0,0.0,10,7,3,0,0,0,0,0,1
Jackrabbit Jenkins,STL,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Trumaine Johnson,STL,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Rodney McLeod,STL,0,0,0,0,0,0.0,4,2,2,0,0,1,0,0,0
Will Witherspoon,STL,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Ray-Ray Armstrong,STL,0,0,0,0,0,0.0,3,3,0,0,0,1,0,0,0
T.J. McDonald,STL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Kendall Langford,STL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Eugene Sims,STL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Daren Bates,STL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cortland Finnegan,STL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Matt Giordano,STL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Gerald Rivers,STL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tavon Austin,STL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
