#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,PHI 20,3,0:59,-1,Punt
2,1,11:37,PHI 20,10,4:48,58,Field Goal
3,1,1:36,PHI 20,5,1:28,32,Punt
4,2,14:01,PHI 40,8,3:21,51,Field Goal
5,2,9:40,PHI 29,4,1:29,71,Touchdown
6,2,6:29,NYG 47,8,3:51,36,Field Goal
7,2,1:33,PHI 7,11,1:33,75,Field Goal
8,3,13:23,PHI 22,6,2:41,18,Punt
9,3,6:58,PHI 20,3,1:15,3,Punt
10,3,3:46,PHI 20,8,2:42,57,Field Goal
11,4,13:57,PHI 36,3,0:50,-5,Punt
12,4,10:35,NYG 25,1,0:09,25,Touchdown
13,4,10:02,NYG 38,4,1:38,38,Touchdown
14,4,7:05,NYG 49,3,2:50,-5,Punt
15,4,2:33,PHI 41,5,2:33,27,End of Game
