Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 61 yards, returned by Jacoby Jones for 25 yards (tackle by Jonathan Casillas)",0.000,-0.870
1,14:55,1,10,BAL 29,0,0,Joe Flacco pass complete short middle to Steve Smith for 19 yards (tackle by Patrick Chung),0.870,2.130
1,14:19,1,10,BAL 48,0,0,Joe Flacco pass complete short right to Crockett Gillmore for 9 yards (tackle by Patrick Chung and Dont'a Hightower),2.130,2.800
1,13:47,2,1,NWE 43,0,0,Justin Forsett left tackle for 2 yards (tackle by Dont'a Hightower),2.800,2.850
1,13:11,1,10,NWE 41,0,0,Joe Flacco pass complete deep middle to Torrey Smith for 22 yards (tackle by Devin McCourty),2.850,4.310
1,12:32,1,10,NWE 19,6,0,"Joe Flacco pass complete short right to Kamar Aiken for 19 yards, touchdown",4.310,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
1,12:32,,,NWE 2,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,12:32,,,BAL 35,7,0,"Justin Tucker kicks off 65 yards, returned by Danny Amendola for 22 yards (tackle by Jeromy Miles). Danny Amendola fumbles, recovered by Chris Jones at NWE-22 (tackle by Jeromy Miles)",0.000,-0.410
1,12:10,1,10,NWE 22,7,0,Tom Brady pass complete short left to Brandon Bolden for 11 yards,0.410,1.140
1,11:42,1,10,NWE 33,7,0,Tom Brady pass incomplete short middle intended for Julian Edelman,1.140,0.590
1,11:37,2,10,NWE 33,7,0,Tom Brady pass complete short left to Rob Gronkowski for 5 yards (tackle by Rashaan Melvin and C.J. Mosley),0.590,0.560
1,10:57,3,5,NWE 38,7,0,Tom Brady pass incomplete short right intended for Danny Amendola,0.560,-0.850
,,,,,,,"BAL challenged the pass completion ruling, and the original play was overturned.",,
1,10:53,4,5,NWE 38,7,0,"Ryan Allen punts 48 yards, returned by Jacoby Jones for 7 yards",-0.850,-0.340
1,10:44,1,10,BAL 21,7,0,Justin Forsett left tackle for 10 yards (tackle by Dont'a Hightower and Jamie Collins),0.340,1.000
1,10:08,1,10,BAL 31,7,0,Justin Forsett left tackle for 12 yards (tackle by Dont'a Hightower),1.000,1.800
1,9:30,1,10,BAL 43,7,0,"Joe Flacco pass incomplete deep middle intended for Jacoby Jones. Penalty on Chandler Jones: Defensive Offside, 5 yards (no play)",1.800,2.530
1,9:25,1,5,BAL 48,7,0,Joe Flacco pass complete short right to Kyle Juszczyk for 1 yard (tackle by Jamie Collins),2.530,2.060
1,8:49,2,4,BAL 49,7,0,Justin Forsett up the middle for 7 yards (tackle by Kyle Arrington),2.060,2.650
1,8:08,1,10,NWE 44,7,0,Bernard Pierce left end for 2 yards (tackle by Chandler Jones and Dont'a Hightower),2.650,2.380
1,7:37,2,8,NWE 42,7,0,Joe Flacco pass complete deep middle to Steve Smith for 16 yards (tackle by Brandon Browner and Rob Ninkovich),2.380,3.840
1,6:56,1,10,NWE 26,7,0,Joe Flacco pass complete short left to Justin Forsett for 1 yard (tackle by Jamie Collins),3.840,3.430
1,6:19,2,9,NWE 25,7,0,Joe Flacco pass complete short right to Marlon Brown for 13 yards (tackle by Darrelle Revis),3.430,4.780
1,5:37,1,10,NWE 12,7,0,Joe Flacco pass incomplete short left intended for Owen Daniels,4.780,4.100
1,5:31,2,10,NWE 12,7,0,Justin Forsett up the middle for 3 yards (tackle by Vince Wilfork),4.100,3.700
1,4:51,3,7,NWE 9,13,0,"Joe Flacco pass complete short middle to Steve Smith for 9 yards, touchdown",3.700,7.000
1,4:51,,,NWE 2,14,0,Justin Tucker kicks extra point good,0.000,0.000
1,4:51,,,BAL 35,14,0,"Justin Tucker kicks off 70 yards, returned by Danny Amendola for 27 yards (tackle by Albert McClellan)",0.000,-0.410
1,4:38,1,10,NWE 22,14,0,Tom Brady pass incomplete short left intended for Julian Edelman,0.410,-0.130
1,4:33,2,10,NWE 22,14,0,LeGarrette Blount right tackle for 2 yards (tackle by C.J. Mosley and Haloti Ngata),-0.130,-0.560
1,3:48,3,8,NWE 24,14,0,Tom Brady pass complete short middle to Rob Gronkowski for 16 yards (tackle by Pernell McPhee and Will Hill),-0.560,1.600
1,3:11,1,10,NWE 40,14,0,Tom Brady pass complete deep left to Rob Gronkowski for 46 yards (tackle by Rashaan Melvin),1.600,4.650
1,2:24,1,10,BAL 14,14,0,Tom Brady pass complete short middle to Julian Edelman for 13 yards (tackle by Will Hill),4.650,6.970
1,1:44,1,1,BAL 1,14,0,LeGarrette Blount right end for -3 yards (tackle by Brandon Williams),6.970,5.340
1,0:59,2,4,BAL 4,14,0,Tom Brady pass incomplete short right intended for Julian Edelman,5.340,4.490
1,0:54,3,4,BAL 4,14,6,"Tom Brady up the middle for 4 yards, touchdown",4.490,7.000
1,0:54,,,BAL 2,14,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,0:54,,,NWE 35,14,7,"Stephen Gostkowski kicks off 63 yards, returned by Jacoby Jones for 23 yards (tackle by Darius Fleming)",0.000,-0.610
1,0:43,1,10,BAL 25,14,7,Joe Flacco pass incomplete short right intended for Owen Daniels,0.610,0.060
1,0:36,2,10,BAL 25,14,7,Justin Forsett right end for 19 yards (tackle by Devin McCourty),0.060,1.860
Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BAL 44,14,7,Joe Flacco pass incomplete short left intended for Owen Daniels,1.860,1.320
2,14:56,2,10,BAL 44,14,7,"Justin Forsett left guard for 4 yards (tackle by Alan Branch). Penalty on Torrey Smith: Unnecessary Roughness, 15 yards",1.320,-0.820
2,14:28,3,21,BAL 33,14,7,Joe Flacco pass complete short middle to Michael Campanaro for 2 yards (tackle by Vince Wilfork and Jamie Collins). Penalty on John Urschel: Ineligible Downfield Pass (Declined),-0.820,-1.040
2,14:12,4,19,BAL 35,14,7,"Sam Koch punts 53 yards, returned by Julian Edelman for 12 yards (tackle by Kamar Aiken)",-1.040,-0.540
2,14:01,1,10,NWE 24,14,7,Tom Brady pass complete short left to Brandon LaFell for 14 yards (tackle by Will Hill),0.540,1.470
2,13:25,1,10,NWE 38,14,7,Tom Brady pass complete short left to Julian Edelman for 12 yards (tackle by Rashaan Melvin),1.470,2.260
2,12:53,1,10,,14,7,Tom Brady pass complete short left to Shane Vereen for 14 yards (tackle by C.J. Mosley),2.260,3.180
2,12:29,1,10,BAL 36,14,7,Tom Brady pass complete short left to Shane Vereen for 6 yards (tackle by Rashaan Melvin),3.180,3.450
2,12:05,2,4,BAL 30,14,7,Shane Vereen left tackle for 6 yards (tackle by C.J. Mosley),3.450,3.970
2,11:38,1,10,BAL 24,14,7,Tom Brady pass incomplete deep middle intended for Julian Edelman,3.970,3.430
2,11:31,2,10,BAL 24,14,7,Tom Brady sacked by Timmy Jernigan for -6 yards,3.430,1.950
2,10:55,3,16,BAL 30,14,7,Tom Brady sacked by Pernell McPhee and Terrell Suggs for -4 yards,1.950,1.060
2,10:55,4,20,BAL 34,14,7,"Penalty on Stephen Gostkowski: Delay of Game, 5 yards (no play)",1.060,0.660
2,9:36,4,25,BAL 39,14,7,"Ryan Allen punts 34 yards, returned by Antoine Cason for 5 yards (tackle by Akeem Ayers). Penalty on Chris White: Taunting, 15 yards",0.660,-0.610
2,9:26,1,10,BAL 25,14,7,Justin Forsett left tackle for 12 yards (tackle by Devin McCourty and Patrick Chung),0.610,1.400
2,8:55,1,10,BAL 37,14,7,Justin Forsett right guard for 5 yards (tackle by Vince Wilfork and Sealver Siliga),1.400,1.530
2,8:20,2,5,BAL 42,14,7,Joe Flacco pass complete short left to Fitzgerald Toussaint for -7 yards (tackle by Dont'a Hightower),1.530,-0.100
2,7:36,3,12,BAL 35,14,7,Joe Flacco pass incomplete deep left intended for Owen Daniels,-0.100,-1.040
2,7:25,4,12,BAL 35,14,7,"Sam Koch punts 51 yards, returned by Julian Edelman for 19 yards (tackle by Albert McClellan)",-1.040,-1.140
2,7:13,1,10,NWE 33,14,7,Tom Brady pass incomplete deep right intended for Brandon LaFell,1.140,0.590
2,7:08,2,10,NWE 33,14,7,"Tom Brady pass complete short middle to Julian Edelman for 11 yards (tackle by C.J. Mosley). Julian Edelman fumbles (forced by C.J. Mosley), recovered by Julian Edelman at NWE-44",0.590,1.860
2,6:50,1,10,NWE 44,14,7,LeGarrette Blount right end for 2 yards (tackle by C.J. Mosley),1.860,1.590
2,6:16,2,8,NWE 46,14,7,Tom Brady pass incomplete short left intended for Brandon LaFell,1.590,0.890
2,6:08,3,8,NWE 46,14,7,Tom Brady pass complete short middle to Rob Gronkowski for 23 yards (tackle by Daryl Smith),0.890,3.510
