#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:36,NWE 15,4,1:50,15,Touchdown
2,1,5:10,MIA 23,3,1:31,12,Fumble
3,1,0:47,MIA 26,6,2:51,37,Interception
4,2,8:37,MIA 20,5,1:23,40,Fumble
5,2,6:24,MIA 25,11,4:25,55,Field Goal
6,2,0:06,MIA 20,1,0:06,-1,End of Half
7,3,15:00,MIA 28,8,4:14,66,Field Goal
8,3,8:59,NWE 34,4,2:04,34,Touchdown
9,3,5:53,MIA 47,10,3:15,50,Field Goal
10,4,14:48,MIA 23,3,0:46,-2,Punt
11,4,12:35,MIA 11,3,1:33,-2,Punt
12,4,9:30,MIA 15,12,6:01,85,Touchdown
13,4,3:04,NWE 14,4,0:20,5,Field Goal
14,4,0:08,MIA 34,1,0:08,-1,End of Game
