Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tony Romo,DAL,21,26,205,3,0,1,2,43,138.0,2,-2,0,-1,0,0,0,0,,0,0
DeMarco Murray,DAL,0,0,0,0,0,0,0,,,32,179,1,40,10,9,49,0,11,0,0
Joseph Randle,DAL,0,0,0,0,0,0,0,,,1,17,1,17,0,0,0,0,,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,,,0,0,0,,8,6,82,0,43,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,,,0,0,0,,3,3,42,2,24,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,,,0,0,0,,3,2,26,0,19,0,0
Gavin Escobar,DAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,6,1,6,0,0
Dwayne Harris,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jay Cutler,CHI,32,46,341,2,1,0,0,42,96.4,2,9,1,10,0,0,0,0,,0,0
Matt Forte,CHI,0,0,0,0,0,0,0,,,13,26,1,7,9,8,74,0,21,1,1
Alshon Jeffery,CHI,0,0,0,0,0,0,0,,,0,0,0,,9,6,95,1,27,0,0
Martellus Bennett,CHI,0,0,0,0,0,0,0,,,0,0,0,,15,12,84,1,16,0,0
Brandon Marshall,CHI,0,0,0,0,0,0,0,,,0,0,0,,4,3,61,0,42,0,0
Marquess Wilson,CHI,0,0,0,0,0,0,0,,,0,0,0,,5,2,19,0,10,0,0
Josh Morgan,CHI,0,0,0,0,0,0,0,,,0,0,0,,4,1,8,0,8,0,0
