Quarter,Time,Down,ToGo,Location,SFO,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,SFO 20,0,0,Colin Kaepernick pass incomplete deep left intended for Michael Crabtree is intercepted by Brandian Ross at OAK-49,0.280,-2.190
1,14:51,1,10,OAK 49,0,0,Darren McFadden up the middle for 1 yard (tackle by Justin Smith and Dan Skuta),2.190,1.780
1,14:21,2,9,,0,0,Derek Carr for 11 yards (tackle by Chris Borland),1.780,2.980
1,13:47,1,10,SFO 39,0,0,Derek Carr pass complete short right to Marcel Reece for 11 yards (tackle by Dontae Johnson),2.980,3.710
1,13:05,1,10,SFO 28,0,0,Latavius Murray left guard for no gain (tackle by Antoine Bethea),3.710,3.170
1,12:29,2,10,SFO 28,0,0,"Derek Carr pass complete short right to Latavius Murray for 4 yards (tackle by Dontae Johnson and Perrish Cox). Penalty on Austin Howard: Unnecessary Roughness, 15 yards",3.170,1.020
1,11:55,3,21,SFO 39,0,0,Derek Carr pass incomplete short right intended for Kenbrell Thompkins,1.020,0.660
1,11:51,4,21,SFO 39,0,3,Sebastian Janikowski 57 yard field goal good,0.660,3.000
1,11:51,,,OAK 35,0,3,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,11:46,1,10,SFO 20,0,3,Colin Kaepernick left end for -7 yards (tackle by Sio Moore),0.280,-1.280
1,11:00,2,17,SFO 13,0,3,Frank Gore up the middle for 7 yards (tackle by Miles Burris and Charles Woodson),-1.280,-0.960
1,10:13,3,10,SFO 20,0,3,"Penalty on Colin Kaepernick: Delay of Game, 5 yards (no play)",-0.960,-1.860
1,9:54,3,15,SFO 15,0,3,Colin Kaepernick pass complete short middle to Michael Crabtree for 18 yards (tackle by Brandian Ross),-1.860,1.140
1,9:17,1,10,SFO 33,0,3,Colin Kaepernick pass complete short right to Michael Crabtree for -1 yards (tackle by Travis Carrie),1.140,0.460
1,8:41,2,11,SFO 32,0,3,Colin Kaepernick pass incomplete deep left intended for Michael Crabtree,0.460,-0.230
1,8:36,3,11,SFO 32,0,3,Colin Kaepernick sacked by Benson Mayowa for -2 yards,-0.230,-1.370
1,8:00,4,13,SFO 30,0,3,"Andy Lee punts 60 yards, returned by Travis Carrie for 9 yards (tackle by Chris Borland)",-1.370,-0.150
1,7:48,1,10,OAK 19,0,3,Latavius Murray right guard for 2 yards (tackle by Aldon Smith),0.150,-0.060
1,7:18,2,8,OAK 21,0,3,"Derek Carr pass complete short left to Andre Holmes for 19 yards (tackle by Perrish Cox). Penalty on Andre Holmes: Offensive Pass Interference, 10 yards (no play)",-0.060,-1.360
1,6:57,2,18,OAK 11,0,3,Derek Carr pass incomplete short left intended for Andre Holmes,-1.360,-2.360
1,6:49,3,18,OAK 11,0,3,Derek Carr pass complete short right to Mychal Rivera for 5 yards (tackle by Michael Wilhoite),-2.360,-2.390
1,6:07,4,13,OAK 16,0,3,Marquette King punts 44 yards,-2.390,-1.600
1,5:55,1,10,SFO 40,0,3,Colin Kaepernick pass complete short middle to Vernon Davis for 23 yards (tackle by D.J. Hayden),1.600,3.120
1,5:12,1,10,OAK 37,0,3,Frank Gore left guard for 5 yards (tackle by Brandian Ross),3.120,3.250
1,4:33,2,5,OAK 32,0,3,Frank Gore left tackle for 11 yards (tackle by Charles Woodson),3.250,4.170
1,3:56,1,10,OAK 21,0,3,Anquan Boldin up the middle for 4 yards (tackle by Miles Burris),4.170,4.200
1,3:21,2,6,OAK 17,0,3,Carlos Hyde right end for 2 yards (tackle by D.J. Hayden),4.200,3.810
1,2:45,3,4,OAK 15,0,3,Colin Kaepernick pass complete short left to Anquan Boldin for 7 yards (tackle by Charles Woodson),3.810,5.370
1,2:00,1,8,OAK 8,6,3,"Colin Kaepernick pass complete short left to Bruce Miller for 8 yards, touchdown",5.370,7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
1,2:00,,,OAK 2,7,3,Phil Dawson kicks extra point good,0.000,0.000
1,2:00,,,SFO 35,7,3,"Phil Dawson kicks off 59 yards, returned by Travis Carrie for 20 yards (tackle by Nick Moody)",0.000,-0.670
1,1:49,1,10,OAK 26,7,3,Derek Carr pass complete short middle to Marcel Reece for 6 yards (tackle by Chris Borland),0.670,0.940
1,1:15,2,4,OAK 32,7,3,Latavius Murray up the middle for 4 yards (tackle by Tony Jerod-Eddie),0.940,1.330
1,0:35,1,10,OAK 36,7,3,Latavius Murray right end for 15 yards (tackle by Chris Culliver),1.330,2.320
Quarter,Time,Down,ToGo,Location,SFO,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 49,7,3,"Penalty on Marcel Reece: False Start, 5 yards (no play)",2.320,1.990
2,15:00,1,15,OAK 46,7,3,Latavius Murray up the middle for 3 yards (tackle by Chris Borland),1.990,1.990
2,14:14,1,15,OAK 46,7,3,Timeout #1 by Oakland Raiders,1.990,1.510
2,14:14,2,12,OAK 49,7,3,Marcel Reece up the middle for 3 yards (tackle by Ray McDonald and Justin Smith),1.510,1.220
2,13:39,3,9,SFO 48,7,3,Derek Carr pass complete deep left to Vincent Brown for 20 yards (tackle by Dontae Johnson and Michael Wilhoite),1.220,3.710
2,12:54,1,10,SFO 28,7,3,Latavius Murray left tackle for 2 yards (tackle by Chris Borland),3.710,3.440
2,12:17,2,8,SFO 26,7,3,Derek Carr pass complete short middle to Mychal Rivera for 19 yards (tackle by Antoine Bethea),3.440,5.600
2,11:32,1,7,SFO 7,7,3,Derek Carr pass incomplete short left intended for Brice Butler (defended by Chris Culliver),5.600,4.760
2,11:27,2,7,SFO 7,7,3,Latavius Murray left tackle for 4 yards (tackle by Antoine Bethea),4.760,4.720
2,10:51,3,3,SFO 3,7,9,"Derek Carr pass complete short left to Donald Penn for 3 yards, touchdown",4.720,7.000
2,10:45,3,3,SFO 3,7,9,Timeout #1 by San Francisco 49ers,4.720,0.000
2,10:51,,,SFO 2,7,10,Sebastian Janikowski kicks extra point good,0.000,0.000
2,10:51,,,OAK 35,7,10,"Sebastian Janikowski kicks off 62 yards, returned by Bruce Ellington for 27 yards (tackle by Denico Autry)",0.000,-0.940
2,10:40,1,10,SFO 30,7,10,Carlos Hyde left guard for 2 yards (tackle by Justin Ellis),0.940,0.660
2,10:02,2,8,SFO 32,7,10,"Colin Kaepernick pass incomplete deep left intended for Michael Crabtree. Penalty on Tarell Brown: Defensive Pass Interference, 21 yards (no play)",0.660,2.460
2,9:58,1,10,OAK 47,7,10,"Colin Kaepernick pass incomplete short right intended for Michael Crabtree (defended by D.J. Hayden). Penalty on D.J. Hayden: Defensive Holding, 5 yards (no play)",2.460,2.790
2,9:52,1,10,OAK 42,7,10,Frank Gore left tackle for 4 yards (tackle by Justin Ellis),2.790,2.780
2,9:19,2,6,OAK 38,7,10,Colin Kaepernick pass incomplete deep right intended for Anquan Boldin,2.780,2.080
2,9:11,3,6,OAK 38,7,10,"Penalty on Colin Kaepernick: Delay of Game, 5 yards (no play)",2.080,1.420
2,9:11,3,11,OAK 43,7,10,Colin Kaepernick pass complete short right to Michael Crabtree for 7 yards (tackle by Travis Carrie),1.420,0.890
