Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Chris Spencer,G,67,100%,0,0%,3,12%
Byron Stingily,T,67,100%,0,0%,3,12%
Chance Warmack,G,67,100%,0,0%,3,12%
Andy Levitre,G,67,100%,0,0%,0,0%
Jamon Meredith,T,67,100%,0,0%,0,0%
Charlie Whitehurst,QB,67,100%,0,0%,0,0%
Delanie Walker,TE,64,96%,0,0%,0,0%
Nate Washington,WR,61,91%,0,0%,0,0%
Derek Hagan,WR,43,64%,0,0%,0,0%
Kendall Wright,WR,42,63%,0,0%,0,0%
Leon Washington,RB,30,45%,0,0%,11,42%
Kris Durham,WR,23,34%,0,0%,4,15%
Bishop Sankey,RB,23,34%,0,0%,0,0%
Matthew Mulligan,TE,16,24%,0,0%,11,42%
Shonn Greene,RB,14,21%,0,0%,0,0%
Chase Coffman,TE,7,10%,0,0%,7,27%
Jackie Battle,TE,6,9%,0,0%,20,77%
Eric Olsen,G,4,6%,0,0%,0,0%
Rico Richardson,WR,2,3%,0,0%,0,0%
Avery Williamson,LB,0,0%,59,100%,8,31%
Michael Griffin,FS,0,0%,58,98%,3,12%
Coty Sensabaugh,CB,0,0%,57,97%,14,54%
George Wilson,FS,0,0%,57,97%,5,19%
Jason McCourty,CB,0,0%,57,97%,3,12%
Derrick Morgan,LB,0,0%,57,97%,3,12%
Jurrell Casey,DT,0,0%,52,88%,3,12%
Wesley Woodyard,LB,0,0%,37,63%,8,31%
Sammie Lee Hill,NT,0,0%,37,63%,3,12%
Marqueston Huff,CB,0,0%,32,54%,19,73%
Kamerion Wimbley,LB,0,0%,29,49%,6,23%
Ropati Pitoitua,DE,0,0%,26,44%,2,8%
Daimion Stafford,SS,0,0%,24,41%,20,77%
Quentin Groves,LB,0,0%,23,39%,9,35%
DaQuan Jones,DE,0,0%,16,27%,1,4%
Karl Klug,DT,0,0%,14,24%,7,27%
Al Woods,NT,0,0%,13,22%,3,12%
Justin Staples,LB,0,0%,1,2%,20,77%
Brandon Harris,CB,0,0%,0,0%,20,77%
Khalid Wooten,DB,0,0%,0,0%,15,58%
Kaelin Burnett,LB,0,0%,0,0%,15,58%
Antonio Andrews,RB,0,0%,0,0%,11,42%
Beau Brinkley,LS,0,0%,0,0%,8,31%
Brett Kern,P,0,0%,0,0%,8,31%
Ryan Succop,K,0,0%,0,0%,7,27%
Will Svitek,T,0,0%,0,0%,3,12%
