Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Philip Rivers,SDG,18,25,256,2,0,2,6,49,131.4,1,9,0,9,0,0,0,0,,0,0
Donald Brown,SDG,0,0,0,0,0,0,0,,,31,62,0,14,6,5,27,0,13,0,0
Branden Oliver,SDG,0,0,0,0,0,0,0,,,3,11,0,6,0,0,0,0,,0,0
Danny Woodhead,SDG,0,0,0,0,0,0,0,,,1,1,0,1,0,0,0,0,,0,0
Malcom Floyd,SDG,0,0,0,0,0,0,0,,,0,0,0,,4,2,98,0,49,0,0
Ladarius Green,SDG,0,0,0,0,0,0,0,,,0,0,0,,6,4,64,0,26,0,0
Eddie Royal,SDG,0,0,0,0,0,0,0,,,0,0,0,,6,4,42,2,23,0,0
Keenan Allen,SDG,0,0,0,0,0,0,0,,,0,0,0,,2,2,17,0,11,0,0
Antonio Gates,SDG,0,0,0,0,0,0,0,,,0,0,0,,1,1,8,0,8,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
EJ Manuel,BUF,23,39,238,1,0,3,33,37,85.2,5,24,0,8,0,0,0,0,,1,0
Fred Jackson,BUF,0,1,0,0,0,0,0,0,39.6,6,34,0,17,10,8,78,1,21,0,0
C.J. Spiller,BUF,0,0,0,0,0,0,0,,,10,25,0,6,3,3,37,0,25,0,0
Frank Summers,BUF,0,0,0,0,0,0,0,,,1,4,0,4,0,0,0,0,,0,0
Scott Chandler,BUF,0,0,0,0,0,0,0,,,0,0,0,,5,5,74,0,37,0,0
Sammy Watkins,BUF,0,0,0,0,0,0,0,,,0,0,0,,8,2,19,0,16,0,0
Robert Woods,BUF,0,0,0,0,0,0,0,,,0,0,0,,8,3,19,0,15,0,0
Mike Williams,BUF,0,0,0,0,0,0,0,,,0,0,0,,4,2,11,0,6,0,0
Marquise Goodwin,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
