Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Chad Rinehart,G,66,100%,0,0%,4,15%
D.J. Fluker,T,66,100%,0,0%,4,15%
King Dunlap,T,66,100%,0,0%,4,15%
Rich Ohrnberger,G,66,100%,0,0%,0,0%
Philip Rivers,QB,66,100%,0,0%,0,0%
Johnnie Troutman,G,66,100%,0,0%,0,0%
Keenan Allen,WR,65,98%,0,0%,4,15%
Malcom Floyd,WR,59,89%,0,0%,1,4%
Donald Brown,RB,59,89%,0,0%,0,0%
Eddie Royal,WR,48,73%,0,0%,6,23%
Antonio Gates,TE,42,64%,0,0%,0,0%
Ladarius Green,TE,21,32%,0,0%,19,73%
David Johnson,TE,14,21%,0,0%,3,12%
John Phillips,TE,11,17%,0,0%,19,73%
Branden Oliver,RB,6,9%,0,0%,6,23%
Seyi Ajirotutu,WR,4,6%,0,0%,19,73%
Danny Woodhead,RB,1,2%,0,0%,0,0%
Eric Weddle,FS,0,0%,70,100%,14,54%
Shareece Wright,CB,0,0%,70,100%,7,27%
Brandon Flowers,CB,0,0%,70,100%,3,12%
Marcus Gilchrist,SS,0,0%,68,97%,12,46%
Donald Butler,LB,0,0%,66,94%,9,35%
Manti Te'o,LB,0,0%,59,84%,9,35%
Dwight Freeney,LB,0,0%,49,70%,0,0%
Jarret Johnson,LB,0,0%,48,69%,2,8%
Kendall Reyes,DE,0,0%,47,67%,6,23%
Corey Liuget,DT,0,0%,47,67%,0,0%
Reggie Walker,LB,0,0%,30,43%,12,46%
Sean Lissemore,NT,0,0%,26,37%,0,0%
Richard Marshall,CB,0,0%,25,36%,10,38%
Jason Verrett,CB,0,0%,23,33%,4,15%
Lawrence Guy,DE,0,0%,20,29%,6,23%
Tenny Palepoi,DT,0,0%,20,29%,2,8%
Tourek Williams,LB,0,0%,15,21%,10,38%
Jahleel Addae,SS,0,0%,11,16%,1,4%
Darrell Stuckey,SS,0,0%,3,4%,17,65%
Kavell Conner,LB,0,0%,1,1%,20,77%
Andrew Gachkar,LB,0,0%,1,1%,20,77%
Jeremiah Attaochu,LB,0,0%,1,1%,0,0%
Mike Scifres,P,0,0%,0,0%,10,38%
Mike Windt,LS,0,0%,0,0%,10,38%
Nick Novak,K,0,0%,0,0%,9,35%
Willie Smith,T,0,0%,0,0%,4,15%
