Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Michael Johnson,TAM,0,0,0,0,0,2.0,5,4,1,1,2,0,0,0,1
Da'Quan Bowers,TAM,0,0,0,0,0,1.0,5,2,3,1,1,0,0,0,0
Gerald McCoy,TAM,0,0,0,0,1,1.0,2,1,1,1,1,0,0,0,0
Scott Solomon,TAM,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Lavonte David,TAM,0,0,0,0,0,0.0,12,10,2,3,0,0,0,0,1
Major Wright,TAM,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
Leonard Johnson,TAM,0,0,0,0,1,0.0,8,4,4,0,0,0,0,0,0
Mark Barron,TAM,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Dane Fletcher,TAM,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
Alterraun Verner,TAM,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
William Gholston,TAM,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Clinton McDonald,TAM,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0
Danny Lansanah,TAM,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Johnthan Banks,TAM,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Dashon Goldson,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brandon Magee,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jacquies Smith,TAM,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Cortez Allen,PIT,1,27,0,27,3,0.0,7,5,2,0,0,0,0,0,0
Cameron Heyward,PIT,0,0,0,0,0,1.0,2,2,0,2,1,0,0,0,0
Lawrence Timmons,PIT,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
Mike Mitchell,PIT,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Troy Polamalu,PIT,0,0,0,0,1,0.0,5,3,2,1,0,0,0,0,0
William Gay,PIT,0,0,0,0,2,0.0,4,4,0,0,0,0,0,0,0
Steve McLendon,PIT,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Sean Spence,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Brice McCain,PIT,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Antwon Blake,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Terence Garvin,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Robert Golden,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brett Keisel,PIT,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Arthur Moats,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cam Thomas,PIT,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Greg Warren,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jason Worilds,PIT,0,0,0,0,0,0.0,1,1,0,0,2,0,0,0,0
Marcus Gilbert,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Stephon Tuitt,PIT,,,,,,0.0,,,,0,1,0,0,0,
