Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Riley Reiff,T,62,100%,0,0%,5,16%
Rob Sims,G,62,100%,0,0%,5,16%
Larry Warford,G,62,100%,0,0%,5,16%
Dominic Raiola,C,62,100%,0,0%,0,0%
Matthew Stafford,QB,62,100%,0,0%,0,0%
LaAdrian Waddle,T,62,100%,0,0%,0,0%
Golden Tate,WR,51,82%,0,0%,1,3%
Jeremy Ross,WR,45,73%,0,0%,16,50%
Corey Fuller,WR,38,61%,0,0%,8,25%
Eric Ebron,TE,37,60%,0,0%,25,78%
Brandon Pettigrew,TE,37,60%,0,0%,6,19%
George Winn,RB,36,58%,0,0%,0,0%
Calvin Johnson,WR,28,45%,0,0%,0,0%
Reggie Bush,RB,23,37%,0,0%,0,0%
Jed Collins,FB,10,16%,0,0%,22,69%
Ryan Broyles,WR,5,8%,0,0%,1,3%
DeAndre Levy,LB,0,0%,71,100%,5,16%
Glover Quin,FS,0,0%,71,100%,5,16%
Tahir Whitehead,LB,0,0%,70,99%,13,41%
Rashean Mathis,CB,0,0%,70,99%,5,16%
Darius Slay,CB,0,0%,70,99%,3,9%
James Ihedigbo,SS,0,0%,68,96%,0,0%
Ndamukong Suh,DT,0,0%,55,77%,4,12%
Jason Jones,DE,0,0%,51,72%,4,12%
Ezekiel Ansah,DE,0,0%,50,70%,0,0%
Nick Fairley,DT,0,0%,48,68%,0,0%
Danny Gorrer,DB,0,0%,31,44%,11,34%
George Johnson,DE,0,0%,30,42%,7,22%
Ashlee Palmer,LB,0,0%,26,37%,26,81%
C.J. Mosley,DT,0,0%,23,32%,4,12%
Isa Abdul-Quddus,SS,0,0%,16,23%,27,84%
Darryl Tapp,DE,0,0%,11,15%,4,12%
Devin Taylor,DE,0,0%,11,15%,0,0%
Caraun Reid,DT,0,0%,8,11%,0,0%
Jerome Couplin,SS,0,0%,1,1%,14,44%
Julian Stanford,LB,0,0%,0,0%,22,69%
Josh Bynes,LB,0,0%,0,0%,22,69%
Mohammed Seisay,CB,0,0%,0,0%,22,69%
Sam Martin,P,0,0%,0,0%,15,47%
Don Muhlbach,LS,0,0%,0,0%,12,38%
Travis Swanson,C,0,0%,0,0%,9,28%
Don Carey,FS,0,0%,0,0%,9,28%
Alex Henery,K,0,0%,0,0%,5,16%
Cornelius Lucas,T,0,0%,0,0%,5,16%
Garrett Reynolds,G,0,0%,0,0%,5,16%
