Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kyle Orton,BUF,30,43,308,1,1,2,14,42,88.1,1,0,0,0,0,0,0,0,,0,0
Fred Jackson,BUF,0,0,0,0,0,0,0,,,10,49,0,10,9,7,58,0,26,1,0
C.J. Spiller,BUF,0,0,0,0,0,0,0,,,10,8,0,2,4,3,25,0,15,0,0
Sammy Watkins,BUF,0,0,0,0,0,0,0,,,0,0,0,,12,7,87,0,22,0,0
Robert Woods,BUF,0,0,0,0,0,0,0,,,0,0,0,,4,3,37,0,18,0,0
Chris Hogan,BUF,0,0,0,0,0,0,0,,,0,0,0,,2,2,27,0,21,0,0
Scott Chandler,BUF,0,0,0,0,0,0,0,,,0,0,0,,6,4,21,0,16,0,0
Mike Williams,BUF,0,0,0,0,0,0,0,,,0,0,0,,2,1,8,0,8,0,0
Chris Gragg,BUF,0,0,0,0,0,0,0,,,0,0,0,,1,1,2,1,2,0,0
Frank Summers,BUF,0,0,0,0,0,0,0,,,0,0,0,,2,1,1,0,1,0,0
Marquise Goodwin,BUF,0,0,0,0,0,0,0,,,1,-8,0,-8,1,1,42,0,42,1,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,18,31,231,1,1,6,27,55,78.8,3,8,0,8,0,0,0,0,,2,0
George Winn,DET,0,0,0,0,0,0,0,,,11,48,0,16,2,0,0,0,,0,0
Reggie Bush,DET,0,0,0,0,0,0,0,,,6,13,0,5,5,2,30,0,28,0,0
Golden Tate,DET,0,0,0,0,0,0,0,,,0,0,0,,9,7,134,1,55,0,0
Corey Fuller,DET,0,0,0,0,0,0,0,,,0,0,0,,4,3,27,0,10,1,1
Jeremy Ross,DET,0,0,0,0,0,0,0,,,0,0,0,,2,1,13,0,13,0,0
Brandon Pettigrew,DET,0,0,0,0,0,0,0,,,0,0,0,,3,2,12,0,7,0,0
Eric Ebron,DET,0,0,0,0,0,0,0,,,0,0,0,,4,2,8,0,5,0,0
Calvin Johnson,DET,0,0,0,0,0,0,0,,,0,0,0,,1,1,7,0,7,0,0
Ryan Broyles,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
