Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Austin Pasztor,T,56,100%,0,0%,3,12%
Zane Beadles,G,56,100%,0,0%,3,12%
Brandon Linder,G,56,100%,0,0%,3,12%
Luke Joeckel,T,56,100%,0,0%,3,12%
Blake Bortles,QB,56,100%,0,0%,0,0%
Luke Bowanko,C,56,100%,0,0%,0,0%
Allen Hurns,WR,55,98%,0,0%,0,0%
Allen Robinson,WR,51,91%,0,0%,0,0%
Clay Harbor,TE,50,89%,0,0%,0,0%
Mike Brown,WR,24,43%,0,0%,6,23%
Jordan Todman,RB,23,41%,0,0%,18,69%
Denard Robinson,RB,19,34%,0,0%,7,27%
Will Ta'ufo'ou,FB,17,30%,0,0%,11,42%
Nic Jacobs,TE,15,27%,0,0%,2,8%
Toby Gerhart,RB,10,18%,0,0%,0,0%
Ace Sanders,WR,9,16%,0,0%,5,19%
Storm Johnson,RB,7,12%,0,0%,0,0%
Johnathan Cyprien,SS,0,0%,69,100%,4,15%
Josh Evans,SS,0,0%,69,100%,3,12%
Alan Ball,CB,0,0%,68,99%,8,31%
Paul Posluszny,LB,0,0%,65,94%,3,12%
Will Blackmon,CB,0,0%,63,91%,4,15%
Demetrius McCray,CB,0,0%,57,83%,7,27%
Roy Miller,DT,0,0%,41,59%,0,0%
Red Bryant,DE,0,0%,40,58%,3,12%
Chris Clemons,DE,0,0%,39,57%,3,12%
Sen'Derrick Marks,DT,0,0%,39,57%,3,12%
Telvin Smith,LB,0,0%,36,52%,16,62%
Andre Branch,DE,0,0%,34,49%,0,0%
Geno Hayes,LB,0,0%,33,48%,0,0%
Evander Hood,DT,0,0%,31,45%,5,19%
Tyson Alualu,DE,0,0%,26,38%,13,50%
Abry Jones,DT,0,0%,21,30%,4,15%
J.T. Thomas,LB,0,0%,18,26%,18,69%
Ryan Davis,DE,0,0%,5,7%,19,73%
LaRoy Reynolds,LB,0,0%,3,4%,20,77%
Sherrod Martin,FS,0,0%,2,3%,15,58%
Craig Loston,SS,0,0%,0,0%,23,88%
Dekoda Watson,LB,0,0%,0,0%,18,69%
Carson Tinker,LS,0,0%,0,0%,8,31%
Bryan Anger,P,0,0%,0,0%,8,31%
Josh Scobee,K,0,0%,0,0%,7,27%
Jeremy Harris,CB,0,0%,0,0%,7,27%
Jacques McClendon,C,0,0%,0,0%,3,12%
Sam Young,T,0,0%,0,0%,3,12%
