Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
John Jerry,G,68,100%,0,0%,6,19%
Weston Richburg,C,68,100%,0,0%,6,19%
Eli Manning,QB,68,100%,0,0%,0,0%
Will Beatty,T,68,100%,0,0%,0,0%
J.D. Walton,C,68,100%,0,0%,0,0%
Justin Pugh,T,68,100%,0,0%,0,0%
Victor Cruz,WR,64,94%,0,0%,0,0%
Rueben Randle,WR,63,93%,0,0%,1,3%
Larry Donnell,TE,52,76%,0,0%,7,23%
Andre Williams,RB,36,53%,0,0%,1,3%
Odell Beckham Jr.,WR,35,51%,0,0%,1,3%
Daniel Fells,TE,26,38%,0,0%,12,39%
Rashad Jennings,RB,22,32%,0,0%,1,3%
Preston Parker,WR,17,25%,0,0%,7,23%
Henry Hynoski,FB,17,25%,0,0%,5,16%
Peyton Hillis,RB,6,9%,0,0%,16,52%
Adrien Robinson,TE,2,3%,0,0%,8,26%
Jameel McClain,LB,0,0%,72,100%,5,16%
Jacquian Williams,LB,0,0%,72,100%,3,10%
Antrel Rolle,SS,0,0%,72,100%,2,6%
Quintin Demps,FS,0,0%,71,99%,9,29%
Prince Amukamara,CB,0,0%,71,99%,0,0%
Jason Pierre-Paul,DE,0,0%,63,88%,8,26%
Mathias Kiwanuka,DE,0,0%,58,81%,9,29%
Trumaine McBride,CB,0,0%,52,72%,8,26%
Dominique Rodgers-Cromartie,CB,0,0%,49,68%,0,0%
Cullen Jenkins,DT,0,0%,42,58%,6,19%
Robert Ayers,DE,0,0%,39,54%,0,0%
Johnathan Hankins,DT,0,0%,36,50%,6,19%
Mark Herzlich,LB,0,0%,27,38%,25,81%
Damontre Moore,DE,0,0%,21,29%,6,19%
Mike Patterson,DT,0,0%,19,26%,9,29%
Zackary Bowman,CB,0,0%,15,21%,24,77%
Markus Kuhn,DT,0,0%,12,17%,9,29%
Spencer Paysinger,LB,0,0%,1,1%,11,35%
Nat Berhe,SS,0,0%,0,0%,25,81%
Devon Kennard,LB,0,0%,0,0%,21,68%
Chandler Fenner,CB,0,0%,0,0%,20,65%
Stevie Brown,FS,0,0%,0,0%,15,48%
Josh Brown,K,0,0%,0,0%,13,42%
Zak DeOssie,LS,0,0%,0,0%,9,29%
Steve Weatherford,P,0,0%,0,0%,9,29%
Dallas Reynolds,C,0,0%,0,0%,6,19%
Corey Washington,WR,0,0%,0,0%,6,19%
Brandon Mosley,G,0,0%,0,0%,6,19%
