Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Andrew Whitworth,T,69,100%,0,0%,5,20%
Andre Smith,T,69,100%,0,0%,5,20%
Jermaine Gresham,TE,69,100%,0,0%,5,20%
Russell Bodine,C,69,100%,0,0%,1,4%
Clint Boling,G,69,100%,0,0%,0,0%
Andy Dalton,QB,69,100%,0,0%,0,0%
Mohamed Sanu,WR,64,93%,0,0%,0,0%
Kevin Zeitler,G,51,74%,0,0%,4,16%
Brandon Tate,WR,50,72%,0,0%,2,8%
Giovani Bernard,RB,37,54%,0,0%,0,0%
Ryan Hewitt,TE,33,48%,0,0%,11,44%
Jeremy Hill,RB,31,45%,0,0%,1,4%
Greg Little,WR,30,43%,0,0%,0,0%
Mike Pollak,G,18,26%,0,0%,5,20%
James Wright,WR,8,12%,0,0%,13,52%
Dane Sanzenbacher,WR,6,9%,0,0%,0,0%
Domata Peko,NT,5,7%,44,68%,9,36%
Marshall Newhouse,T,5,7%,0,0%,5,20%
Kevin Brock,TE,4,6%,0,0%,6,24%
Cedric Peerman,RB,3,4%,0,0%,16,64%
Emmanuel Lamur,LB,0,0%,65,100%,2,8%
Reggie Nelson,FS,0,0%,63,97%,10,40%
Leon Hall,CB,0,0%,63,97%,4,16%
George Iloka,SS,0,0%,63,97%,0,0%
Carlos Dunlap,DE,0,0%,61,94%,5,20%
Vontaze Burfict,LB,0,0%,60,92%,1,4%
Terence Newman,CB,0,0%,59,91%,1,4%
Wallace Gilberry,DE,0,0%,50,77%,2,8%
Geno Atkins,DT,0,0%,44,68%,0,0%
Vincent Rey,LB,0,0%,37,57%,10,40%
Adam Jones,CB,0,0%,33,51%,5,20%
Robert Geathers,DE,0,0%,33,51%,0,0%
Devon Still,DT,0,0%,24,37%,4,16%
Margus Hunt,DE,0,0%,6,9%,14,56%
Marquis Flowers,LB,0,0%,3,5%,16,64%
Dre Kirkpatrick,CB,0,0%,3,5%,10,40%
Shawn Williams,SS,0,0%,2,3%,20,80%
Nico Johnson,LB,0,0%,2,3%,16,64%
Taylor Mays,FS,0,0%,0,0%,16,64%
Darqueze Dennard,CB,0,0%,0,0%,13,52%
Mike Nugent,K,0,0%,0,0%,11,44%
Jayson DiManche,LB,0,0%,0,0%,11,44%
Kevin Huber,P,0,0%,0,0%,8,32%
Clark Harris,LS,0,0%,0,0%,8,32%
