Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Michael Vick,NYJ,21,28,196,1,0,3,10,42,105.7,4,18,0,6,0,0,0,0,,1,0
Matt Simms,NYJ,3,8,39,0,0,0,0,21,53.6,1,2,0,2,0,0,0,0,,0,0
Chris Johnson,NYJ,0,0,0,0,0,0,0,,,11,69,0,21,3,2,32,0,26,0,0
Chris Ivory,NYJ,0,0,0,0,0,0,0,,,8,22,0,6,0,0,0,0,,0,0
Bilal Powell,NYJ,0,0,0,0,0,0,0,,,5,20,0,12,0,0,0,0,,0,0
Percy Harvin,NYJ,0,0,0,0,0,0,0,,,1,8,0,8,13,11,129,0,42,0,0
Eric Decker,NYJ,0,0,0,0,0,0,0,,,0,0,0,,12,9,63,1,15,0,0
Jeremy Kerley,NYJ,0,0,0,0,0,0,0,,,0,0,0,,4,2,11,0,7,0,0
Jeff Cumberland,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Greg Salas,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Alex Smith,KAN,21,31,199,2,0,1,3,34,106.8,0,0,0,,0,0,0,0,,0,0
Jamaal Charles,KAN,0,0,0,0,0,0,0,,,20,78,1,11,4,2,10,0,12,0,0
De'Anthony Thomas,KAN,0,0,0,0,0,0,0,,,1,26,0,26,1,1,5,0,5,0,0
Knile Davis,KAN,0,0,0,0,0,0,0,,,3,9,0,4,0,0,0,0,,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,,,0,0,0,,5,4,67,1,34,1,0
Dwayne Bowe,KAN,0,0,0,0,0,0,0,,,0,0,0,,10,6,55,0,13,0,0
Anthony Fasano,KAN,0,0,0,0,0,0,0,,,0,0,0,,3,3,24,1,12,0,0
Albert Wilson,KAN,0,0,0,0,0,0,0,,,0,0,0,,1,1,13,0,13,0,0
A.J. Jenkins,KAN,0,0,0,0,0,0,0,,,0,0,0,,3,1,10,0,10,0,0
Junior Hemingway,KAN,0,0,0,0,0,0,0,,,0,0,0,,2,2,9,0,5,0,0
Demetrius Harris,KAN,0,0,0,0,0,0,0,,,0,0,0,,1,1,6,0,6,0,0
Anthony Sherman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
