Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Sebastian Vollmer,T,83,100%,0,0%,3,9%
Shaq Mason,G,83,100%,0,0%,3,9%
Marcus Cannon,T,83,100%,0,0%,3,9%
Tom Brady,QB,83,100%,0,0%,0,0%
Bryan Stork,C,83,100%,0,0%,0,0%
Josh Kline,G,83,100%,0,0%,0,0%
Julian Edelman,WR,80,96%,0,0%,1,3%
Rob Gronkowski,TE,75,90%,0,0%,0,0%
Keshawn Martin,WR,59,71%,0,0%,4,12%
James White,RB,57,69%,0,0%,0,0%
Danny Amendola,WR,55,66%,0,0%,9,27%
Brandon LaFell,WR,33,40%,0,0%,0,0%
Brandon Bolden,RB,16,19%,0,0%,25,76%
Michael Williams,TE,16,19%,0,0%,15,45%
Steven Jackson,RB,11,13%,0,0%,0,0%
Scott Chandler,TE,9,11%,0,0%,3,9%
Cameron Fleming,T,2,2%,0,0%,0,0%
Matthew Slater,WR,1,1%,0,0%,25,76%
David Andrews,C,1,1%,0,0%,0,0%
Patrick Chung,SS,0,0%,68,100%,20,61%
Devin McCourty,SS,0,0%,68,100%,15,45%
Malcolm Butler,CB,0,0%,68,100%,10,30%
Logan Ryan,CB,0,0%,68,100%,8,24%
Dont'a Hightower,LB,0,0%,56,82%,0,0%
Jamie Collins,LB,0,0%,53,78%,6,18%
Rob Ninkovich,DE,0,0%,51,75%,6,18%
Jabaal Sheard,DE,0,0%,47,69%,0,0%
Chandler Jones,DE,0,0%,46,68%,8,24%
Justin Coleman,DB,0,0%,43,63%,0,0%
Malcom Brown,DT,0,0%,36,53%,5,15%
Alan Branch,DT,0,0%,35,51%,8,24%
Duron Harmon,FS,0,0%,34,50%,8,24%
Akiem Hicks,DE,0,0%,33,49%,0,0%
Jonathan Freeny,LB,0,0%,21,31%,21,64%
Sealver Siliga,DT,0,0%,15,22%,7,21%
Jordan Richards,DB,0,0%,4,6%,24,73%
Nate Ebner,FS,0,0%,2,3%,30,91%
Brandon King,LB,0,0%,0,0%,25,76%
Dekoda Watson,LB,0,0%,0,0%,24,73%
Darius Fleming,LB,0,0%,0,0%,19,58%
Joe Cardona,LS,0,0%,0,0%,10,30%
Ryan Allen,P,0,0%,0,0%,10,30%
Stephen Gostkowski,K,0,0%,0,0%,8,24%
