Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PIT 20,0,0,Ben Roethlisberger pass incomplete deep left intended for Markus Wheaton,0.280,-0.270
1,14:55,2,10,PIT 20,0,0,Jordan Todman right end for 2 yards (tackle by Derek Wolfe and Danny Trevathan),-0.270,-0.690
1,14:10,3,8,PIT 22,0,0,Ben Roethlisberger pass complete short left to Markus Wheaton for -2 yards (tackle by T.J. Ward),-0.690,-2.030
1,13:37,4,10,PIT 20,0,0,"Jordan Berry punts 52 yards, returned by Omar Bolden for 42 yards (tackle by Shamarko Thomas)",-2.030,-3.580
1,13:18,1,10,PIT 30,0,0,Peyton Manning pass complete short right to Demaryius Thomas for 11 yards (tackle by Brandon Boykin),3.580,4.310
1,12:52,1,10,PIT 19,0,0,Peyton Manning pass incomplete short right intended for Demaryius Thomas,4.310,3.750
1,12:47,2,10,PIT 19,0,0,Ronnie Hillman right tackle for 5 yards (tackle by Brandon Boykin),3.750,3.760
1,11:58,3,5,PIT 14,0,0,Peyton Manning pass complete short left to C.J. Anderson for 4 yards (tackle by Ryan Shazier),3.760,2.910
1,11:25,4,1,PIT 10,0,3,Brandon McManus 28 yard field goal good,2.910,3.000
1,11:25,,,DEN 35,0,3,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
1,11:21,1,10,PIT 20,0,3,Ben Roethlisberger pass complete short middle to Fitzgerald Toussaint for -1 yards (tackle by Derek Wolfe and DeMarcus Ware),0.280,-0.460
1,10:39,2,11,PIT 19,0,3,Jordan Todman left end for 3 yards (tackle by Darian Stewart),-0.460,-0.690
1,10:03,3,8,PIT 22,0,3,Ben Roethlisberger pass complete short right to Sammie Coates for 37 yards (tackle by Darian Stewart),-0.690,2.850
1,9:27,1,10,DEN 41,0,3,Jordan Todman right guard for 1 yard (tackle by Danny Trevathan),2.850,2.440
1,8:50,2,9,DEN 40,0,3,Ben Roethlisberger pass incomplete short middle intended for Martavis Bryant,2.440,1.750
1,8:47,3,9,DEN 40,0,3,Ben Roethlisberger pass complete short right to Markus Wheaton for 8 yards (tackle by Brandon Marshall),1.750,1.750
1,8:02,3,9,DEN 40,0,3,Timeout #1 by Pittsburgh Steelers,1.750,1.310
1,8:02,4,1,DEN 32,0,3,Ben Roethlisberger pass incomplete deep left intended for Markus Wheaton (defended by Aqib Talib),1.310,-1.070
1,7:56,1,10,DEN 32,0,3,Peyton Manning pass complete short middle to Owen Daniels for 4 yards (tackle by Will Allen),1.070,1.070
1,7:23,2,6,DEN 36,0,3,Ronnie Hillman right guard for 4 yards (tackle by James Harrison),1.070,0.890
1,6:39,3,2,DEN 40,0,3,Ronnie Hillman middle for no gain (tackle by James Harrison),0.890,-0.720
1,6:13,4,2,DEN 40,0,3,Britton Colquitt punts 57 yards,-0.720,0.380
1,6:04,1,10,PIT 3,0,3,Fitzgerald Toussaint middle for 5 yards (tackle by Derek Wolfe and Malik Jackson),-0.380,-0.420
1,5:21,2,5,PIT 8,0,3,Ben Roethlisberger pass incomplete short right intended for Martavis Bryant,-0.420,-0.840
1,5:17,3,5,PIT 8,0,3,"Penalty on Alejandro Villanueva: False Start, 4 yards (no play)",-0.840,-1.300
1,5:17,3,9,PIT 4,0,3,Ben Roethlisberger pass incomplete deep middle intended for Sammie Coates (defended by Josh Bush),-1.300,-2.490
1,5:12,4,9,PIT 4,0,3,"Jordan Berry punts 27 yards, out of bounds",-2.490,-3.510
1,5:06,1,10,PIT 31,0,3,Ronnie Hillman left tackle for 9 yards (tackle by Will Allen),3.510,4.180
1,4:21,2,1,PIT 22,0,3,Ronnie Hillman right tackle for -1 yards (tackle by Stephon Tuitt),4.180,3.340
1,3:48,3,2,PIT 23,0,3,Peyton Manning pass incomplete short left intended for Jordan Norwood (defended by Brandon Boykin),3.340,2.050
1,3:45,4,2,PIT 23,0,6,Brandon McManus 41 yard field goal good,2.050,3.000
1,3:45,,,DEN 35,0,6,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
1,3:40,1,10,PIT 20,0,6,Fitzgerald Toussaint right guard for 1 yard (tackle by Vance Walker and Shaquil Barrett),0.280,-0.130
1,3:17,2,9,PIT 21,0,6,Ben Roethlisberger pass complete deep right to Martavis Bryant for 23 yards (tackle by Danny Trevathan),-0.130,1.860
1,2:37,1,10,PIT 44,0,6,Martavis Bryant left end for 40 yards (tackle by Malik Jackson),1.860,4.510
1,2:02,1,10,DEN 16,0,6,Fitzgerald Toussaint left tackle for 15 yards (tackle by Bradley Roby),4.510,6.970
1,1:26,1,1,DEN 1,6,6,"Fitzgerald Toussaint right guard for 1 yard, touchdown",6.970,7.000
