#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,DEN 20,10,4:17,64,Field Goal
2,1,9:19,DEN 25,3,1:56,9,Punt
3,1,3:12,DEN 13,3,1:57,-2,Punt
4,2,11:25,DEN 20,3,0:39,-12,Punt
5,2,9:11,CAR 14,4,2:13,-1,Field Goal
6,2,6:32,DEN 40,5,2:09,36,Interception
7,2,3:17,DEN 20,3,1:22,8,Punt
8,3,10:48,DEN 34,7,2:30,54,Field Goal
9,3,5:44,DEN 7,4,2:32,8,Punt
10,3,0:19,DEN 32,5,2:02,18,Fumble
11,4,10:21,DEN 24,3,1:21,4,Punt
12,4,7:07,DEN 25,3,2:16,3,Punt
13,4,4:04,CAR 4,3,0:56,4,Touchdown
14,4,1:57,DEN 37,3,1:03,8,Punt
