Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Ron Parker,KAN,1,0,0,0,2,0.0,5,4,1,0,0,0,0,0,0
Sean Smith,KAN,1,5,0,5,3,0.0,3,3,0,0,0,0,0,0,0
Eric Berry,KAN,1,25,0,25,4,0.0,2,2,0,0,0,0,0,0,0
Josh Mauga,KAN,1,4,0,4,1,0.0,2,2,0,0,0,0,0,0,0
Marcus Peters,KAN,1,28,0,28,2,0.0,2,2,0,0,0,0,0,0,0
Justin Houston,KAN,0,0,0,0,0,2.0,3,3,0,2,4,0,0,0,0
Derrick Johnson,KAN,0,0,0,0,0,1.0,7,6,1,2,1,0,0,0,0
Jaye Howard,KAN,0,0,0,0,0,1.0,4,3,1,0,2,0,0,0,1
Mike DeVito,KAN,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Tamba Hali,KAN,0,0,0,0,0,0.0,4,4,0,1,1,0,0,0,0
Daniel Sorensen,KAN,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Husain Abdullah,KAN,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
Dontari Poe,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Frank Zombo,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dee Ford,KAN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Von Miller,DEN,0,0,0,0,0,1.0,2,2,0,1,3,0,0,0,0
Sylvester Williams,DEN,0,0,0,0,0,1.0,1,1,0,0,1,0,0,0,0
Brandon Marshall,DEN,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Darian Stewart,DEN,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Danny Trevathan,DEN,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
Vance Walker,DEN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
David Bruton,DEN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Chris Harris Jr.,DEN,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Bradley Roby,DEN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
T.J. Ward,DEN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Malik Jackson,DEN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Corey Nelson,DEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Derek Wolfe,DEN,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
Shaquil Barrett,DEN,0,0,0,0,1,0.0,1,0,1,0,1,0,0,0,0
Andre Caldwell,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Lorenzo Doss,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Lerentee McCray,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Shane Ray,DEN,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Kayvon Webster,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ronnie Hillman,DEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
