Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Andy Levitre,G,75,100%,0,0%,4,15%
Jake Matthews,T,75,100%,0,0%,4,15%
Ryan Schraeder,T,75,100%,0,0%,4,15%
Chris Chester,G,75,100%,0,0%,4,15%
Michael Person,C,75,100%,0,0%,0,0%
Matt Ryan,QB,75,100%,0,0%,0,0%
Julio Jones,WR,70,93%,0,0%,0,0%
Roddy White,WR,57,76%,0,0%,0,0%
Jacob Tamme,TE,54,72%,0,0%,0,0%
Tevin Coleman,RB,49,65%,0,0%,1,4%
Leonard Hankerson,WR,43,57%,0,0%,0,0%
Levine Toilolo,TE,35,47%,0,0%,18,67%
Patrick DiMarco,FB,23,31%,0,0%,15,56%
Terron Ward,RB,20,27%,0,0%,8,30%
Justin Hardy,WR,9,12%,0,0%,19,70%
Tony Moeaki,TE,9,12%,0,0%,5,19%
Devonta Freeman,RB,6,8%,0,0%,0,0%
Ricardo Allen,S,0,0%,63,100%,9,33%
Desmond Trufant,CB,0,0%,63,100%,4,15%
Robert Alford,CB,0,0%,63,100%,0,0%
Paul Worrilow,LB,0,0%,58,92%,4,15%
Justin Durant,LB,0,0%,53,84%,0,0%
Kroy Biermann,DE,0,0%,33,52%,22,81%
William Moore,SS,0,0%,33,52%,0,0%
Jonathan Babineaux,NT,0,0%,32,51%,0,0%
Vic Beasley,DE,0,0%,32,51%,0,0%
Tyson Jackson,DE,0,0%,31,49%,8,30%
Paul Soliai,NT,0,0%,31,49%,4,15%
Adrian Clayborn,DE,0,0%,31,49%,4,15%
Brooks Reed,LB,0,0%,31,49%,0,0%
Charles Godfrey,S,0,0%,30,48%,14,52%
Jalen Collins,CB,0,0%,30,48%,13,48%
O'Brien Schofield,LB,0,0%,26,41%,5,19%
Ra'Shede Hageman,DT,0,0%,20,32%,4,15%
Grady Jarrett,DT,0,0%,14,22%,0,0%
Philip Wheeler,LB,0,0%,9,14%,18,67%
Nathan Stupar,LB,0,0%,5,8%,23,85%
Akeem King,CB,0,0%,5,8%,19,70%
Kemal Ishmael,SS,0,0%,0,0%,19,70%
Eric Weems,WR,0,0%,0,0%,19,70%
Matthew Bosher,P,0,0%,0,0%,13,48%
Josh Harris,LS,0,0%,0,0%,9,33%
Matt Bryant,K,0,0%,0,0%,4,15%
