Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Russell Wilson,SEA,21,27,274,3,0,1,8,53,146.0,9,51,1,14,0,0,0,0,,0,0
Tarvaris Jackson,SEA,0,1,0,0,0,1,6,0,39.6,2,-2,0,-1,0,0,0,0,,0,0
Thomas Rawls,SEA,0,0,0,0,0,0,0,,,19,101,1,20,3,3,22,0,9,1,1
Tyler Lockett,SEA,0,0,0,0,0,0,0,,,1,7,0,7,7,7,90,0,29,1,0
DuJuan Harris,SEA,0,0,0,0,0,0,0,,,3,7,0,3,0,0,0,0,,0,0
Fred Jackson,SEA,0,0,0,0,0,0,0,,,1,5,0,5,2,2,13,1,8,0,0
Will Tukuafu,SEA,0,0,0,0,0,0,0,,,1,4,0,4,0,0,0,0,,0,0
Doug Baldwin,SEA,0,0,0,0,0,0,0,,,0,0,0,,7,5,94,2,53,0,0
Luke Willson,SEA,0,0,0,0,0,0,0,,,0,0,0,,3,2,36,0,22,0,0
Cooper Helfet,SEA,0,0,0,0,0,0,0,,,0,0,0,,4,1,13,0,13,0,0
B.J. Daniels,SEA,0,0,0,0,0,0,0,,,0,0,0,,1,1,6,0,6,0,0
Jermaine Kearse,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Teddy Bridgewater,MIN,17,28,118,0,1,4,24,25,55.4,1,2,0,2,0,0,0,0,,1,0
Jerick McKinnon,MIN,0,0,0,0,0,0,0,,,4,18,0,12,6,3,6,0,7,0,0
Adrian Peterson,MIN,0,0,0,0,0,0,0,,,8,18,0,5,4,4,6,0,3,0,0
Mike Wallace,MIN,0,0,0,0,0,0,0,,,0,0,0,,3,2,43,0,25,0,0
Jarius Wright,MIN,0,0,0,0,0,0,0,,,0,0,0,,2,2,24,0,17,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,,,0,0,0,,4,3,13,0,6,0,0
MyCole Pruitt,MIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,4,0,4,0,0
Rhett Ellison,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Matt Asiata,MIN,0,0,0,0,0,0,0,,,2,-1,0,3,1,0,0,0,,0,0
Stefon Diggs,MIN,0,0,0,0,0,0,0,,,1,-6,0,-6,6,2,22,0,14,0,0
