Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NYJ 20,0,0,Ryan Fitzpatrick right end for 3 yards (tackle by Jasper Brinkley),0.280,0.140
1,14:26,2,7,NYJ 23,0,0,Chris Ivory left guard for no gain (tackle by J.T. Thomas and Dominique Rodgers-Cromartie),0.140,-0.560
1,13:40,3,7,NYJ 23,0,0,Ryan Fitzpatrick pass incomplete short right intended for Bilal Powell,-0.560,-1.830
1,13:34,4,7,NYJ 23,0,0,"Ryan Quigley punts 42 yards, out of bounds",-1.830,-1.270
1,13:27,1,10,NYG 35,0,0,Eli Manning pass incomplete short right intended for Odell Beckham,1.270,0.720
1,13:21,2,10,NYG 35,0,0,Rashad Jennings right guard for no gain (tackle by Damon Harrison and Calvin Pace),0.720,0.040
1,12:42,3,10,NYG 35,0,0,Eli Manning pass incomplete short left intended for Odell Beckham,0.040,-1.040
1,12:33,4,10,NYG 35,0,0,Brad Wing punts 49 yards,-1.040,0.140
1,12:20,1,10,NYJ 16,0,0,Chris Ivory right end for 11 yards (tackle by Jasper Brinkley),-0.140,0.740
1,11:46,1,10,NYJ 27,0,0,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 5 yards (tackle by Dominique Rodgers-Cromartie),0.740,0.870
1,11:11,2,5,NYJ 32,0,0,Bilal Powell middle for 6 yards (tackle by Robert Ayers),0.870,1.470
1,10:32,1,10,NYJ 38,0,0,Ryan Fitzpatrick pass complete short left to Chris Ivory for 9 yards (tackle by Trevin Wade),1.470,2.140
1,10:01,2,1,NYJ 47,0,0,Chris Ivory middle for 6 yards (tackle by Jasper Brinkley and Mark Herzlich),2.140,2.460
1,9:24,1,10,NYG 47,0,0,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 13 yards (tackle by Prince Amukamara),2.460,3.310
1,8:44,1,10,NYG 34,0,0,Chris Ivory middle for 20 yards (tackle by Trevin Wade and Damontre Moore),3.310,3.310
1,7:57,1,10,NYG 34,0,0,Timeout #1 by New York Jets,3.310,4.650
1,7:57,1,10,NYG 14,0,0,Stevan Ridley right tackle for 3 yards (tackle by Uani Unga),4.650,4.520
1,7:20,2,7,NYG 11,0,0,Bilal Powell middle for -4 yards (tackle by Jason Pierre-Paul and Robert Ayers),4.520,3.060
1,6:34,3,11,NYG 15,0,0,Ryan Fitzpatrick pass complete short right to Bilal Powell for 9 yards (tackle by Jonathan Casillas and Dominique Rodgers-Cromartie),3.060,3.010
1,5:51,4,2,NYG 6,3,0,Randy Bullock 24 yard field goal good,3.010,3.000
1,5:51,,,NYJ 35,3,0,"Randy Bullock kicks off 66 yards, returned by Dwayne Harris for 20 yards (tackle by Mike Catapano)",0.000,-0.150
1,5:41,1,10,NYG 19,3,0,Orleans Darkwa right tackle for 4 yards (tackle by Leonard Williams and David Harris),0.150,0.210
1,5:10,2,6,NYG 23,3,0,Eli Manning pass complete short middle to Odell Beckham for 22 yards (tackle by Calvin Pryor and Darrin Walls),0.210,1.930
