Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,ARI 20,0,0,Carson Palmer pass complete short left to Larry Fitzgerald for 5 yards (tackle by Eric Kendricks and Brian Robison),0.280,0.410
1,14:24,2,5,ARI 25,0,0,David Johnson middle for 3 yards (tackle by Brian Robison),0.410,0.100
1,13:42,3,2,ARI 28,0,0,Carson Palmer pass complete short left to Darren Fells for 7 yards (tackle by Xavier Rhodes),0.100,1.270
1,13:00,1,10,ARI 35,0,0,David Johnson right tackle for 3 yards (tackle by Chad Greenway),1.270,1.130
1,12:23,2,7,ARI 38,0,0,Carson Palmer pass complete short left to David Johnson for 10 yards (tackle by Chad Greenway),1.130,2.130
1,11:52,1,10,ARI 48,0,0,"Carson Palmer pass complete deep left to Michael Floyd for 19 yards. Penalty on Scott Crichton: Defensive Offside (Declined), Penalty on Xavier Rhodes: Defensive Holding (Declined)",2.130,3.380
1,11:33,1,10,MIN 33,0,0,Carson Palmer pass complete short left to David Johnson for -4 yards (tackle by Chad Greenway),3.380,2.300
1,10:50,2,14,MIN 37,0,0,Carson Palmer pass complete short right to Larry Fitzgerald for 17 yards (tackle by Trae Waynes),2.300,4.240
1,10:11,1,10,MIN 20,0,0,David Johnson middle for 5 yards (tackle by Danielle Hunter and Eric Kendricks),4.240,4.450
1,9:33,2,5,MIN 15,0,0,David Johnson middle for 6 yards (tackle by Kenrick Ellis),4.450,4.450
1,8:48,2,5,MIN 15,0,0,Timeout #1 by Arizona Cardinals,4.450,5.140
1,8:48,1,9,MIN 9,0,0,Carson Palmer pass complete short left to Jaron Brown for 1 yard (tackle by Anthony Harris),5.140,4.570
,,,,,,,"MIN challenged the runner was down by contact ruling, and the play was upheld.",,
1,8:14,2,8,MIN 8,0,0,Carson Palmer pass complete short right to John Brown for -1 yards (tackle by Captain Munnerlyn),4.570,3.360
1,7:33,3,9,MIN 9,0,0,Carson Palmer pass incomplete short middle intended for David Johnson,3.360,2.830
1,7:28,4,9,MIN 9,0,3,Chandler Catanzaro 27 yard field goal good,2.830,3.000
1,7:28,,,ARI 35,0,3,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
1,7:23,1,10,MIN 20,0,3,Adrian Peterson right tackle for 4 yards (tackle by Tyrann Mathieu),0.280,0.270
1,6:51,2,6,MIN 24,0,3,Adrian Peterson middle for 4 yards (tackle by Justin Bethel and Tony Jefferson),0.270,0.100
1,6:07,3,2,MIN 28,0,3,Teddy Bridgewater pass complete short right to Matt Asiata for 22 yards (tackle by Rashad Johnson),0.100,2.260
1,5:33,1,10,,0,3,Teddy Bridgewater pass complete short right to Jarius Wright for 11 yards (tackle by Justin Bethel),2.260,2.980
1,5:15,1,10,ARI 39,0,3,Adrian Peterson middle for 21 yards (tackle by Tyrann Mathieu),2.980,4.370
1,4:39,1,10,ARI 18,0,3,Teddy Bridgewater pass complete short right to Kyle Rudolph for 9 yards (tackle by Tyrann Mathieu),4.370,5.420
1,4:05,2,1,ARI 9,6,3,"Adrian Peterson middle for 9 yards, touchdown",5.420,7.000
1,4:05,,,ARI 9,7,3,Blair Walsh kicks extra point good,0.000,0.000
1,4:05,,,MIN 35,7,3,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,3:57,1,10,ARI 20,7,3,David Johnson right tackle for 6 yards (tackle by Terence Newman),0.280,0.540
1,3:21,2,4,ARI 26,7,3,David Johnson middle for 1 yard (tackle by Eric Kendricks),0.540,-0.030
1,2:37,3,3,ARI 27,7,3,Carson Palmer pass complete short left to John Brown for 8 yards (tackle by Eric Kendricks),-0.030,1.270
1,2:03,1,10,ARI 35,7,3,Carson Palmer pass incomplete short left intended for Michael Floyd (defended by Xavier Rhodes),1.270,0.720
1,1:56,2,10,ARI 35,7,9,"Carson Palmer pass complete deep right to John Brown for 65 yards, touchdown",0.720,7.000
1,1:56,,,MIN 35,7,10,Chandler Catanzaro kicks extra point good,0.000,0.000
1,1:56,,,ARI 35,7,10,"Chandler Catanzaro kicks off 65 yards, returned by Cordarrelle Patterson for 23 yards (tackle by Brittan Golden)",0.000,-0.480
1,1:36,1,10,MIN 23,7,10,Adrian Peterson middle for 1 yard (tackle by Deone Bucannon),0.480,0.070
1,1:08,2,9,MIN 24,7,10,Teddy Bridgewater pass incomplete short right intended for Stefon Diggs,0.070,-0.630
1,1:03,3,9,MIN 24,7,10,Teddy Bridgewater pass complete short left to Jarius Wright for 6 yards (tackle by Calais Campbell),-0.630,-1.370
1,0:29,4,3,MIN 30,7,10,"Jeff Locke punts 42 yards, fair catch by Patrick Peterson",-1.370,-0.810
1,0:21,1,10,ARI 28,7,10,David Johnson middle for 4 yards (tackle by Chad Greenway),0.810,0.800
Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
