Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Leodis McKelvin,BUF,1,0,0,0,2,0.0,5,4,1,0,0,0,0,0,0
Mario Williams,BUF,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Corey Graham,BUF,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,0
Bacarri Rambo,BUF,0,0,0,0,1,0.0,7,7,0,1,1,0,0,0,0
Preston Brown,BUF,0,0,0,0,0,0.0,5,3,2,0,1,0,0,0,0
Marcell Dareus,BUF,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Stefan Charles,BUF,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Ronald Darby,BUF,0,0,0,0,2,0.0,4,4,0,0,0,0,0,0,0
Manny Lawson,BUF,0,0,0,0,0,0.0,4,4,0,2,0,0,0,0,0
Jerry Hughes,BUF,0,0,0,0,0,0.0,3,3,0,0,1,0,0,0,0
Duke Williams,BUF,0,0,0,0,0,0.0,3,3,0,0,1,0,0,0,0
Corbin Bryant,BUF,0,0,0,0,0,0.0,2,1,1,0,2,0,0,0,0
Marcus Easley,BUF,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
IK Enemkpali,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Nickell Robey-Coleman,BUF,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Anthony Dixon,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jordan Gay,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jonathan Meeks,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Garrison Sanborn,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Colton Schmidt,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Ed Reynolds,PHI,1,7,0,7,1,0.0,1,1,0,0,0,0,0,0,0
Fletcher Cox,PHI,0,0,0,0,0,1.0,8,7,1,2,1,0,0,0,0
Malcolm Jenkins,PHI,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
Mychal Kendricks,PHI,0,0,0,0,0,0.0,8,7,1,1,0,0,0,0,0
Kiko Alonso,PHI,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Connor Barwin,PHI,0,0,0,0,2,0.0,4,4,0,0,1,0,0,0,0
Eric Rowe,PHI,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
DeMeco Ryans,PHI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Brandon Graham,PHI,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Walter Thurmond,PHI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Bryan Braman,PHI,0,0,0,0,0,0.0,2,2,0,0,0,1,0,0,0
Bennie Logan,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Byron Maxwell,PHI,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,1
Beau Allen,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
E.J. Biggers,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Riley Cooper,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jon Dorenbos,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jaylen Watkins,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Vinny Curry,PHI,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
