Quarter,Time,Tm,Detail,SFO,DET
1.0,9:24,49ers,Vance McDonald 1 yard pass from Blaine Gabbert (Phil Dawson kick),7,0
,5:19,Lions,Matt Prater 36 yard field goal,7,3
2.0,14:15,Lions,T.J. Jones 29 yard pass from Matthew Stafford (Matt Prater kick),7,10
,11:26,49ers,Torrey Smith 16 yard pass from Blaine Gabbert (Phil Dawson kick),14,10
,8:54,Lions,Joique Bell 1 yard rush (Matt Prater kick),14,17
,0:35,49ers,Phil Dawson 40 yard field goal,17,17
,0:00,Lions,Matt Prater 38 yard field goal,17,20
3.0,8:25,Lions,Matt Prater 37 yard field goal,17,23
4.0,9:04,Lions,Calvin Johnson 1 yard pass from Matthew Stafford (pass failed),17,29
,3:07,Lions,Matt Prater 34 yard field goal,17,32
