Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Preston Smith,WAS,0,0,0,0,0,3.0,4,3,1,2,3,0,0,0,1
William Compton,WAS,0,0,0,0,0,1.0,8,7,1,1,2,0,0,0,0
Ricky Jean-Francois,WAS,0,0,0,0,0,1.0,2,2,0,2,1,0,0,0,0
Dashon Goldson,WAS,0,0,0,0,0,0.0,10,9,1,0,0,1,14,0,0
Mason Foster,WAS,0,0,0,0,0,0.0,8,7,1,1,0,0,0,0,0
Kyshoen Jarrett,WAS,0,0,0,0,1,0.0,8,6,2,0,0,0,0,0,0
DeAngelo Hall,WAS,0,0,0,0,0,0.0,4,4,0,0,0,1,17,1,1
Ryan Kerrigan,WAS,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Will Blackmon,WAS,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Bashaud Breeland,WAS,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,1
Quinton Dunbar,WAS,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Deshazor Everett,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Terrance Knighton,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Houston Bates,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Carlos Fields,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Trent Murphy,WAS,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Dashaun Phillips,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris Baker,WAS,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
Kirk Cousins,WAS,0,0,0,0,0,0.0,0,0,0,0,0,1,-3,0,0
Jason Hatcher,WAS,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0
Keenan Robinson,WAS,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Fletcher Cox,PHI,0,0,0,0,0,2.0,7,5,2,2,3,0,0,0,0
Kiko Alonso,PHI,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Malcolm Jenkins,PHI,0,0,0,0,1,0.0,6,6,0,1,0,0,0,0,0
Ed Reynolds,PHI,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Beau Allen,PHI,0,0,0,0,1,0.0,5,4,1,1,0,0,0,0,0
DeMeco Ryans,PHI,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
E.J. Biggers,PHI,0,0,0,0,2,0.0,4,3,1,0,0,0,0,0,0
Mychal Kendricks,PHI,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Connor Barwin,PHI,0,0,0,0,0,0.0,3,3,0,2,1,0,0,0,0
Eric Rowe,PHI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Brandon Bair,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Bryan Braman,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Najee Goode,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brandon Graham,PHI,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Taylor Hart,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jonathan Krause,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cedric Thornton,PHI,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Walter Thurmond,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jaylen Watkins,PHI,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Sam Bradford,PHI,0,0,0,0,0,0.0,0,0,0,0,0,2,-12,0,0
Brent Celek,PHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Vinny Curry,PHI,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Jason Kelce,PHI,0,0,0,0,0,0.0,0,0,0,0,0,1,3,0,0
Darren Sproles,PHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
