Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Sam Bradford,PHI,30,38,320,2,1,1,5,60,108.3,2,-2,0,-1,0,0,0,0,,0,0
DeMarco Murray,PHI,0,0,0,0,0,0,0,,,12,69,1,54,1,0,0,0,,1,1
Darren Sproles,PHI,0,0,0,0,0,0,0,,,3,24,1,13,3,3,20,0,14,0,0
Kenjon Barner,PHI,0,0,0,0,0,0,0,,,5,18,0,7,5,5,21,0,12,0,0
Ryan Mathews,PHI,0,0,0,0,0,0,0,,,4,11,0,7,2,1,7,0,7,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,,,0,0,0,,9,9,152,0,60,0,0
Jordan Matthews,PHI,0,0,0,0,0,0,0,,,0,0,0,,9,7,54,2,25,0,0
Brent Celek,PHI,0,0,0,0,0,0,0,,,0,0,0,,2,2,38,0,24,0,0
Nelson Agholor,PHI,0,0,0,0,0,0,0,,,0,0,0,,3,2,23,0,16,0,0
Trey Burton,PHI,0,0,0,0,0,0,0,,,0,0,0,,1,1,5,0,5,0,0
Riley Cooper,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Josh Huff,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Eli Manning,NYG,24,43,302,2,0,2,8,45,93.4,0,0,0,,0,0,0,0,,1,1
Rashad Jennings,NYG,0,0,0,0,0,0,0,,,27,170,1,35,5,2,6,0,3,0,0
Andre Williams,NYG,0,0,0,0,0,0,0,,,5,26,0,9,0,0,0,0,,0,0
Shane Vereen,NYG,0,0,0,0,0,0,0,,,4,12,0,4,8,6,72,0,15,0,0
Rueben Randle,NYG,0,0,0,0,0,0,0,,,0,0,0,,7,4,79,1,45,0,0
Will Tye,NYG,0,0,0,0,0,0,0,,,0,0,0,,8,5,67,1,18,0,0
Odell Beckham Jr.,NYG,0,0,0,0,0,0,0,,,0,0,0,,7,5,54,0,24,0,0
Hakeem Nicks,NYG,0,0,0,0,0,0,0,,,0,0,0,,4,2,24,0,19,0,0
Myles White,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
