Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Colin Kaepernick,SFO,33,46,335,2,0,5,37,75,106.7,9,51,0,14,0,0,0,0,,2,1
Carlos Hyde,SFO,0,0,0,0,0,0,0,,,13,43,0,10,4,4,18,0,11,0,0
Mike Davis,SFO,0,0,0,0,0,0,0,,,7,14,0,5,4,2,4,0,3,0,0
Jarryd Hayne,SFO,0,0,0,0,0,0,0,,,2,3,0,2,0,0,0,0,,0,0
Torrey Smith,SFO,0,0,0,0,0,0,0,,,0,0,0,,7,6,120,1,75,0,0
Vernon Davis,SFO,0,0,0,0,0,0,0,,,0,0,0,,7,5,62,0,43,0,0
Anquan Boldin,SFO,0,0,0,0,0,0,0,,,0,0,0,,10,6,60,1,14,0,0
Quinton Patton,SFO,0,0,0,0,0,0,0,,,0,0,0,,4,4,25,0,9,0,0
DeAndrew White,SFO,0,0,0,0,0,0,0,,,0,0,0,,2,2,18,0,10,0,0
Blake Bell,SFO,0,0,0,0,0,0,0,,,0,0,0,,3,1,11,0,11,0,0
Garrett Celek,SFO,0,0,0,0,0,0,0,,,0,0,0,,2,2,10,0,7,0,0
Bruce Miller,SFO,0,0,0,0,0,0,0,,,0,0,0,,2,1,7,0,7,0,0
Vance McDonald,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ben Roethlisberger,PIT,21,27,369,3,0,0,0,59,155.8,1,-1,0,-1,0,0,0,0,,0,0
DeAngelo Williams,PIT,0,0,0,0,0,0,0,,,20,77,3,16,5,4,15,0,11,0,0
Jordan Todman,PIT,0,0,0,0,0,0,0,,,1,11,0,11,0,0,0,0,,0,0
Antonio Brown,PIT,0,0,0,0,0,0,0,,,0,0,0,,11,9,195,1,59,0,0
Darrius Heyward-Bey,PIT,0,0,0,0,0,0,0,,,0,0,0,,5,4,77,1,41,0,0
Markus Wheaton,PIT,0,0,0,0,0,0,0,,,0,0,0,,4,2,67,0,48,0,0
Heath Miller,PIT,0,0,0,0,0,0,0,,,0,0,0,,2,2,15,1,13,0,0
Michael Vick,PIT,0,0,0,0,0,0,0,,,3,-3,0,-1,0,0,0,0,,0,0
