Quarter,Time,Tm,Detail,IND,CAR
1,13:41,Panthers,Graham Gano 39 yard field goal,0,3
,7:21,Panthers,Jonathan Stewart 3 yard rush (Graham Gano kick),0,10
2,10:24,Colts,Adam Vinatieri 47 yard field goal,3,10
,7:04,Colts,Adam Vinatieri 34 yard field goal,6,10
3,0:14,Panthers,Greg Olsen 27 yard pass from Cam Newton (Graham Gano kick),6,17
4,10:44,Panthers,Corey Brown 8 yard pass from Cam Newton (Graham Gano kick failed),6,23
,7:04,Colts,Andre Johnson 18 yard pass from Andrew Luck (Adam Vinatieri kick),13,23
,2:27,Colts,Coby Fleener 8 yard pass from Andrew Luck (Adam Vinatieri kick),20,23
,0:00,Colts,Adam Vinatieri 24 yard field goal,23,23
OT,12:04,Colts,Adam Vinatieri 50 yard field goal,26,23
,7:50,Panthers,Graham Gano 42 yard field goal,26,26
,5:22,Panthers,Graham Gano 52 yard field goal,26,29
