Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Oday Aboushi,G,64,100%,0,0%,4,14%
Brandon Brooks,G,64,100%,0,0%,4,14%
Ben Jones,C,64,100%,0,0%,4,14%
Derek Newton,T,64,100%,0,0%,4,14%
Brian Hoyer,QB,64,100%,0,0%,0,0%
DeAndre Hopkins,WR,57,89%,0,0%,0,0%
Nate Washington,WR,53,83%,0,0%,0,0%
C.J. Fiedorowicz,TE,44,69%,0,0%,6,21%
Keith Mumphery,WR,40,62%,0,0%,15,52%
Duane Brown,T,34,53%,0,0%,2,7%
Alfred Blue,RB,31,48%,0,0%,7,24%
Chris Clark,T,30,47%,0,0%,2,7%
Jaelen Strong,WR,28,44%,0,0%,0,0%
Jonathan Grimes,RB,18,28%,0,0%,16,55%
Chris Polk,RB,15,23%,0,0%,10,34%
Garrett Graham,TE,14,22%,0,0%,4,14%
Jay Prosch,FB,12,19%,0,0%,18,62%
Kendall Lamm,T,8,12%,0,0%,4,14%
Kevin Johnson,CB,0,0%,59,100%,4,14%
J.J. Watt,DE,0,0%,59,100%,2,7%
Quintin Demps,FS,0,0%,59,100%,2,7%
Brian Cushing,LB,0,0%,59,100%,2,7%
Johnathan Joseph,CB,0,0%,55,93%,0,0%
Andre Hal,SS,0,0%,54,92%,6,21%
John Simon,LB,0,0%,51,86%,10,34%
Jared Crick,DE,0,0%,50,85%,2,7%
Whitney Mercilus,LB,0,0%,47,80%,9,31%
Max Bullough,LB,0,0%,33,56%,23,79%
Vince Wilfork,NT,0,0%,30,51%,2,7%
Charles James,DB,0,0%,26,44%,17,59%
Eddie Pleasant,FS,0,0%,21,36%,11,38%
Christian Covington,NT,0,0%,12,20%,3,10%
Jadeveon Clowney,LB,0,0%,12,20%,0,0%
Brandon Dunn,DT,0,0%,10,17%,0,0%
Justin Tuggle,LB,0,0%,5,8%,23,79%
Kurtis Drummond,S,0,0%,3,5%,6,21%
Jumal Rolle,CB,0,0%,2,3%,17,59%
A.J. Bouye,CB,0,0%,2,3%,13,45%
Brian Peters,LB,0,0%,0,0%,23,79%
Shane Lechler,P,0,0%,0,0%,12,41%
Jon Weeks,LS,0,0%,0,0%,12,41%
Darryl Morris,CB,0,0%,0,0%,11,38%
Nick Novak,K,0,0%,0,0%,9,31%
