Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Johnny Manziel,CLE,15,33,168,1,0,3,24,26,71.3,4,31,0,11,0,0,0,0,,0,0
Isaiah Crowell,CLE,0,0,0,0,0,0,0,,,10,38,0,13,4,3,26,0,15,0,0
Duke Johnson,CLE,0,0,0,0,0,0,0,,,3,0,0,5,4,2,38,1,26,0,0
Gary Barnidge,CLE,0,0,0,0,0,0,0,,,0,0,0,,7,2,35,0,25,0,0
Dwayne Bowe,CLE,0,0,0,0,0,0,0,,,0,0,0,,5,3,31,0,16,0,0
Travis Benjamin,CLE,0,0,0,0,0,0,0,,,0,0,0,,6,3,22,0,9,0,0
Jim Dray,CLE,0,0,0,0,0,0,0,,,0,0,0,,1,1,13,0,13,0,0
Taylor Gabriel,CLE,0,0,0,0,0,0,0,,,0,0,0,,6,1,3,0,3,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CIN,21,27,234,3,0,2,15,29,139.8,6,5,0,6,0,0,0,0,,0,0
Giovani Bernard,CIN,0,0,0,0,0,0,0,,,13,72,0,13,1,1,14,0,14,0,0
Jeremy Hill,CIN,0,0,0,0,0,0,0,,,15,52,0,13,1,1,0,0,0,0,0
Mohamed Sanu,CIN,0,0,0,0,0,0,0,,,1,25,1,25,3,3,25,0,9,0,0
Marvin Jones,CIN,0,0,0,0,0,0,0,,,0,0,0,,6,5,78,0,29,0,0
Tyler Eifert,CIN,0,0,0,0,0,0,0,,,0,0,0,,6,5,53,3,19,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,,,0,0,0,,6,4,53,0,18,0,0
Rex Burkhead,CIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,7,0,7,0,0
Brandon Tate,CIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,4,0,4,0,0
A.J. McCarron,CIN,0,0,0,0,0,0,0,,,2,-2,0,-1,0,0,0,0,,0,0
