Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Nick Perry,GNB,0,0,0,0,0,2.5,4,2,2,2,3,0,0,0,0
Mike Neal,GNB,0,0,0,0,0,2.0,3,3,0,1,3,1,0,0,1
Clay Matthews,GNB,0,0,0,0,0,1.5,4,2,2,0,3,0,0,0,1
Morgan Burnett,GNB,0,0,0,0,0,0.0,13,6,7,0,0,0,0,0,0
Micah Hyde,GNB,0,0,0,0,1,0.0,8,3,5,0,0,0,0,0,0
Damarious Randall,GNB,0,0,0,0,1,0.0,8,4,4,0,0,0,0,0,0
Casey Hayward,GNB,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,0
Joe Thomas,GNB,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Ha Ha Clinton-Dix,GNB,0,0,0,0,2,0.0,5,3,2,0,0,0,0,0,0
Jake Ryan,GNB,0,0,0,0,0,0.0,5,2,3,1,0,0,0,0,0
Mike Daniels,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Letroy Guion,GNB,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Julius Peppers,GNB,0,0,0,0,0,0.0,2,1,1,1,2,0,0,0,0
B.J. Raji,GNB,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Chris Banjo,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Demetri Goodson,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ladarius Gunter,GNB,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
John Kuhn,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Andy Mulumba,GNB,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Quinten Rollins,GNB,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Datone Jones,GNB,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Mike Pennel,GNB,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Preston Smith,WAS,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
William Compton,WAS,0,0,0,0,0,0.0,12,6,6,0,0,0,0,0,0
Mason Foster,WAS,0,0,0,0,0,0.0,9,6,3,2,0,0,0,0,0
Will Blackmon,WAS,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
Bashaud Breeland,WAS,0,0,0,0,0,0.0,7,5,2,0,0,1,0,0,1
Dashon Goldson,WAS,0,0,0,0,1,0.0,7,2,5,0,0,0,0,0,0
DeAngelo Hall,WAS,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Quinton Dunbar,WAS,0,0,0,0,2,0.0,5,5,0,0,0,0,0,0,0
Chris Baker,WAS,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
Jason Hatcher,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Ryan Kerrigan,WAS,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Houston Bates,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Deshazor Everett,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ricky Jean-Francois,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Terrance Knighton,WAS,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Trent Murphy,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kirk Cousins,WAS,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0
