Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Whitney Mercilus,HOU,0,0,0,0,0,1.0,6,5,1,3,1,1,0,0,0
Quintin Demps,HOU,0,0,0,0,0,0.0,7,7,0,1,0,0,0,0,0
Brian Cushing,HOU,0,0,0,0,0,0.0,6,2,4,0,1,0,0,0,0
Kareem Jackson,HOU,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Benardrick McKinney,HOU,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
A.J. Bouye,HOU,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Johnathan Joseph,HOU,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Corey Moore,HOU,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Robert Nelson,HOU,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Eddie Pleasant,HOU,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Antonio Smith,HOU,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
Alfred Blue,HOU,0,,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Christian Covington,HOU,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Akeem Dent,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Joel Heath,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Charles James,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ufomba Kamalu,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Shane Lechler,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Keith Mumphery,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
D.J. Reader,HOU,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Vince Wilfork,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Julius Peppers,GNB,0,0,0,0,0,1.0,5,4,1,1,1,0,0,0,0
Dean Lowry,GNB,0,0,0,0,1,1.0,1,1,0,1,1,0,0,0,0
Morgan Burnett,GNB,0,0,0,0,1,0.0,9,7,2,0,1,1,35,0,0
Ha Ha Clinton-Dix,GNB,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Joe Thomas,GNB,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Letroy Guion,GNB,0,0,0,0,0,0.0,4,3,1,2,0,0,0,0,0
Micah Hyde,GNB,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Datone Jones,GNB,0,0,0,0,0,0.0,4,4,0,0,1,0,0,0,0
Nick Perry,GNB,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Jake Ryan,GNB,0,0,0,0,0,0.0,4,3,1,1,1,0,0,0,0
Ladarius Gunter,GNB,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,1
Quinten Rollins,GNB,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Josh Hawkins,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Damarious Randall,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jayrone Elliott,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Mike Pennel,GNB,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Aaron Ripkowski,GNB,0,,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kenny Clark,GNB,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
